
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.92              0.18              2.48        1000              0.88              0.98              2.01
2                       0.89              0.18              2.30        1000              0.86              0.94              1.70
4                       0.87              0.18              2.24        1000              0.85              0.93              1.90
8                       0.85              0.18              2.21        1000              0.82              0.92              1.77
16                      0.83              0.18              2.23        1000              0.81              0.90              1.74
32                      1.00              0.19              3.19        1000              0.97              1.15              2.07
64                      0.93              0.18              3.15        1000              0.89              0.99              1.45
128                     1.18              0.21              3.89        1000              1.15              1.28              2.35
256                     1.19              0.22              3.90        1000              1.16              1.22              1.92
512                     1.30              0.23              4.56        1000              1.26              1.33              2.59
1024                    1.51              0.22              5.41        1000              1.48              1.57              2.56
2048                    2.03              0.31              6.92        1000              2.01              2.10              2.43
4096                    2.59              0.44              7.93        1000              2.55              2.79              3.53
8192                    3.99              0.72             12.54        1000              3.96              4.12              4.43
16384                   7.46              1.80             21.88         100              7.12              8.79             11.44
32768                  12.07              3.41             33.10         100             12.04             12.35             13.27
65536                  30.58              6.87             92.63         100             30.24             32.55             35.15
131072                 67.49             10.48            241.95         100             67.03             70.44             72.01
262144                225.19             40.56            513.54         100            224.10            230.83            237.83
