
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
256                     1.06              0.13             10.82      100000              1.05              1.27              1.39
512                     1.11              0.15             11.94      100000              1.10              1.33              1.46
1024                    1.27              0.20             16.08      100000              1.26              1.49              1.62
2048                    1.47              0.25             22.61      100000              1.45              1.68              1.84
4096                    2.22              0.37             38.16      100000              2.20              2.45              2.65
8192                    3.24              0.53             70.21      100000              3.21              3.49              3.81
16384                   6.63              1.08            139.91      100000              6.59              7.07              8.26
32768                  14.32              2.06            286.26      100000             14.17             15.28             17.73
65536                  29.62              4.24            575.68      100000             29.31             31.90             35.48
131072                 60.79              8.66           1166.15      100000             60.26             65.52             68.78
262144                913.47             34.24           1778.86      100000            911.11            930.25            938.96
