
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
256                     3.79              0.39              8.86       10000              3.74              3.96              5.26
512                     4.26              0.40              9.94       10000              4.21              4.42              4.68
1024                    5.10              0.42             11.97       10000              5.07              5.36              5.99
2048                    7.14              0.60             15.79       10000              7.12              7.52              8.80
4096                    9.85              1.11             22.17       10000              9.62             10.28             12.49
8192                   15.18              2.23             34.67       10000             15.09             15.49             18.04
16384                  24.99              5.09             56.50       10000             24.92             25.58             28.48
32768                  45.41             10.21            101.63       10000             45.17             47.15             49.43
65536                  82.99             19.67            183.93       10000             82.77             85.83             87.58
131072                156.43             35.30            427.79       10000            155.84            161.33            164.37
262144                599.43            126.85           1276.72       10000            598.33            607.04            614.71
