
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.40              0.35              3.76        1000              1.37              1.91              2.20
2                       1.35              0.34              3.73        1000              1.31              1.94              2.37
4                       1.31              0.29              3.64        1000              1.26              1.83              2.23
8                       1.27              0.30              3.48        1000              1.24              1.69              2.09
16                      1.24              0.29              3.25        1000              1.20              1.66              1.99
32                      1.28              0.38              3.26        1000              1.25              1.71              2.02
64                      1.26              0.39              2.85        1000              1.22              1.64              2.03
128                     1.48              0.44              6.44        1000              1.44              2.02              2.40
256                     1.41              0.44              6.48        1000              1.39              1.78              2.06
512                     1.45              0.49              7.02        1000              1.41              1.82              2.10
1024                    1.60              0.52              9.28        1000              1.58              1.98              2.26
2048                    1.83              0.55             12.37        1000              1.83              2.19              2.39
4096                    2.42              0.75             17.85        1000              2.40              2.82              3.07
8192                    3.72              1.07             29.61        1000              3.68              4.16              4.39
16384                   8.70              4.45             58.44         100              8.62              9.59             10.17
32768                  18.59             10.89            114.79         100             18.36             21.38             22.01
65536                  41.11             27.65            222.79         100             40.78             44.37             48.47
131072                 86.91             62.41            439.79         100             86.91             94.83             98.12
262144                340.92             28.71            639.08         100            340.20            345.74            349.79
524288                880.31             64.41           1679.25         100            876.89            902.67            908.33
1048576              2353.47            173.19           4533.52         100           2330.30           2408.00           2919.54
