
Algorithm: 4

Procs: 2

Test: 1
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.49              0.29              0.70        1000              0.48              0.61              0.65
2                       0.49              0.28              0.70        1000              0.46              0.57              0.62
4                       0.48              0.26              0.69        1000              0.46              0.56              0.62
8                       0.48              0.26              0.70        1000              0.46              0.58              0.62
16                      0.49              0.27              0.71        1000              0.46              0.57              0.61
32                      0.53              0.25              0.81        1000              0.51              0.68              0.79
64                      0.51              0.25              0.77        1000              0.49              0.62              0.70
128                     0.60              0.31              0.90        1000              0.58              0.66              0.70
256                     0.62              0.33              0.91        1000              0.60              0.70              0.81
512                     0.65              0.33              0.98        1000              0.63              0.72              0.77
1024                    0.77              0.34              1.20        1000              0.74              0.82              0.85
2048                    0.97              0.37              1.58        1000              0.95              1.03              1.08
4096                    1.37              0.52              2.22        1000              1.34              1.44              1.52
8192                    2.14              0.86              3.42        1000              2.11              2.23              2.33
16384                   5.32              3.36              7.28         100              3.64             10.59             13.85
32768                   6.51              4.41              8.60         100              6.24              6.38             14.23
65536                  11.28              8.51             14.05         100             11.19             11.42             14.47
131072                 20.26             16.59             23.93         100             20.10             20.45             26.05
262144                 30.39             23.47             37.31         100             30.17             30.68             36.18
524288                 72.20             52.96             91.44         100             71.63             76.80             80.34
1048576               158.22            109.15            207.28         100            161.23            167.39            167.89

Procs: 4

Test: 1
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.73              0.32              1.37        1000              0.72              0.84              0.95
2                       0.72              0.32              1.39        1000              0.71              0.83              0.92
4                       0.72              0.32              1.39        1000              0.71              0.83              0.93
8                       0.73              0.31              1.39        1000              0.71              0.87              0.96
16                      0.73              0.31              1.39        1000              0.71              0.85              0.95
32                      0.80              0.32              1.63        1000              0.77              0.97              1.08
64                      0.78              0.33              1.58        1000              0.76              0.92              1.04
128                     1.03              0.36              2.20        1000              1.00              1.17              2.01
256                     1.08              0.37              2.24        1000              1.05              1.23              1.36
512                     1.16              0.37              2.44        1000              1.14              1.30              1.42
1024                    1.32              0.39              2.77        1000              1.29              1.46              1.61
2048                    1.73              0.46              3.46        1000              1.70              1.87              1.96
4096                    2.33              0.57              4.75        1000              2.30              2.50              2.77
8192                    3.44              0.85              7.16        1000              3.42              3.60              3.73
16384                   7.14              1.90             13.27         100              6.06             10.79             13.96
32768                  10.82              3.51             20.07         100             10.68             11.10             13.60
65536                  18.31              6.78             32.49         100             18.17             19.13             21.42
131072                 39.46             13.17             66.66         100             39.39             40.64             43.78
262144                189.85             25.65            276.03         100            188.24            195.60            209.32
524288                550.18            394.96            704.63         100            548.76            573.68            589.15
1048576              1093.13            777.38           1418.73         100           1091.09           1135.65           1143.65

Procs: 6

Test: 1
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.84              0.19              1.77        1000              0.79              0.94              1.04
2                       0.82              0.19              1.68        1000              0.80              0.97              1.05
4                       0.83              0.20              1.71        1000              0.81              0.96              1.07
8                       0.81              0.19              1.66        1000              0.79              0.95              1.04
16                      0.82              0.19              1.72        1000              0.79              0.96              1.05
32                      0.88              0.19              1.91        1000              0.85              1.04              1.24
64                      0.83              0.19              1.78        1000              0.82              0.98              1.08
