Algorithm,Procs,Size,Avg Latency(us) Mean,Avg Latency(us) Std Error
4,2,1,0.49,nan
4,2,2,0.49,nan
4,2,4,0.48,nan
4,2,8,0.48,nan
4,2,16,0.49,nan
4,2,32,0.53,nan
4,2,64,0.51,nan
4,2,128,0.6,nan
4,2,256,0.62,nan
4,2,512,0.65,nan
4,2,1024,0.77,nan
4,2,2048,0.97,nan
4,2,4096,1.37,nan
4,2,8192,2.14,nan
4,2,16384,5.32,nan
4,2,32768,6.51,nan
4,2,65536,11.28,nan
4,2,131072,20.26,nan
4,2,262144,30.39,nan
4,2,524288,72.2,nan
4,2,1048576,158.22,nan
4,4,1,0.73,nan
4,4,2,0.72,nan
4,4,4,0.72,nan
4,4,8,0.73,nan
4,4,16,0.73,nan
4,4,32,0.8,nan
4,4,64,0.78,nan
4,4,128,1.03,nan
4,4,256,1.08,nan
4,4,512,1.16,nan
4,4,1024,1.32,nan
4,4,2048,1.73,nan
4,4,4096,2.33,nan
4,4,8192,3.44,nan
4,4,16384,7.14,nan
4,4,32768,10.82,nan
4,4,65536,18.31,nan
4,4,131072,39.46,nan
4,4,262144,189.85,nan
4,4,524288,550.18,nan
4,4,1048576,1093.13,nan
4,6,1,0.84,nan
4,6,2,0.82,nan
4,6,4,0.83,nan
4,6,8,0.81,nan
4,6,16,0.82,nan
4,6,32,0.88,nan
4,6,64,0.83,nan
4,6,128,1.09,nan
4,6,256,1.11,nan
4,6,512,1.16,nan
4,6,1024,1.29,nan
4,6,2048,1.73,nan
4,6,4096,2.41,nan
4,6,8192,3.57,nan
4,6,16384,6.88,nan
4,6,32768,11.22,nan
4,6,65536,33.24,nan
4,6,131072,67.77,nan
4,6,262144,209.47,nan
4,6,524288,442.08,nan
4,6,1048576,896.67,nan
4,8,1,1250.26,nan
4,8,2,1310.94,nan
4,8,4,1302.76,nan
4,8,8,1323.68,nan
4,8,16,1237.53,nan
4,8,32,1191.35,nan
4,8,64,1301.9,nan
4,8,128,1336.92,nan
4,8,256,1246.97,nan
4,8,512,1300.14,nan
4,8,1024,1241.66,nan
4,8,2048,1349.91,nan
4,8,4096,1185.33,nan
4,8,8192,1230.51,nan
4,8,16384,1745.87,nan
4,8,32768,1127.13,nan
4,8,65536,1931.88,nan
4,8,131072,996.79,nan
4,8,262144,2288.7,nan
4,8,524288,2148.01,nan
4,8,1048576,2493.41,nan
