
Algorithm: 1

Procs: 2

Test: 1
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.17              0.07              0.26        1000              0.16              0.23              0.25
2                       0.21              0.09              0.32        1000              0.18              0.24              0.26
4                       0.17              0.07              0.26        1000              0.16              0.22              0.25
8                       0.19              0.07              0.30        1000              0.18              0.24              0.26
16                      0.16              0.07              0.26        1000              0.16              0.22              0.25
32                      0.21              0.07              0.34        1000              0.20              0.27              0.31
64                      0.22              0.07              0.36        1000              0.21              0.26              0.29
128                     0.29              0.11              0.46        1000              0.28              0.35              0.38
256                     0.30              0.12              0.47        1000              0.28              0.35              0.38
512                     0.33              0.13              0.53        1000              0.31              0.39              0.41
1024                    0.37              0.13              0.62        1000              0.36              0.43              0.46
2048                    0.51              0.16              0.85        1000              0.49              0.56              0.59
4096                    0.76              0.29              1.23        1000              0.74              0.83              0.86
8192                    1.23              0.53              1.92        1000              1.21              1.28              1.31
16384                   3.21              2.12              4.31         100              2.26              6.55              6.63
32768                   4.28              3.05              5.52         100              4.09              4.20              6.99
65536                   7.41              5.86              8.96         100              7.35              7.47              7.54
131072                 13.82             11.70             15.94         100             13.78             13.96             14.09
262144                 19.51             15.88             23.14         100             19.37             19.65             24.25
524288                 51.06             38.37             63.75         100             50.68             54.70             57.75
1048576               124.56             86.14            162.99         100            123.44            129.40            146.06

Test: 2
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.20              0.10              0.30        1000              0.19              0.28              0.29
2                       0.20              0.10              0.30        1000              0.19              0.29              0.30
4                       0.22              0.12              0.33        1000              0.20              0.29              0.31
8                       0.21              0.10              0.31        1000              0.19              0.29              0.30
16                      0.22              0.11              0.32        1000              0.20              0.29              0.31
32                      0.24              0.10              0.38        1000              0.23              0.32              0.34
64                      0.24              0.11              0.37        1000              0.23              0.32              0.34
128                     0.33              0.14              0.52        1000              0.31              0.40              0.41
256                     0.32              0.14              0.50        1000              0.31              0.40              0.42
512                     0.35              0.15              0.56        1000              0.34              0.43              0.46
1024                    0.40              0.15              0.64        1000              0.38              0.46              0.48
2048                    0.53              0.18              0.88        1000              0.51              0.61              0.64
4096                    0.79              0.33              1.26        1000              0.77              0.86              0.93
8192                    1.25              0.55              1.94        1000              1.23              1.31              1.44
16384                   3.29              2.16              4.43         100              2.29              6.66              7.93
32768                   4.09              2.99              5.19         100              3.97              4.11              4.17
65536                   7.40              5.88              8.91         100              7.35              7.48              7.53
131072                 13.87             11.75             15.99         100             13.84             14.02             14.10
262144                 19.68             16.15             23.21         100             19.58             19.78             22.33
524288                 50.68             37.98             63.39         100             50.30             53.27             59.32
1048576               124.49             86.31            162.68         100            123.44            131.09            133.66

Test: 3
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.17              0.07              0.27        1000              0.16              0.23              0.28
2                       0.21              0.07              0.34        1000              0.19              0.26              0.30
4                       0.18              0.07              0.28        1000              0.17              0.24              0.28
8                       0.20              0.08              0.32        1000              0.19              0.26              0.30
16                      0.16              0.07              0.26        1000              0.16              0.22              0.25
32                      0.21              0.08              0.34        1000              0.19              0.28              0.37
64                      0.22              0.08              0.35        1000              0.20              0.29              0.35
128                     0.28              0.10              0.45        1000              0.26              0.31              0.34
256                     0.28              0.12              0.43        1000              0.26              0.33              0.37
512                     0.31              0.11              0.50        1000              0.30              0.35              0.38
1024                    0.35              0.12              0.58        1000              0.34              0.39              0.42
2048                    0.48              0.14              0.82        1000              0.47              0.52              0.54
4096                    0.75              0.27              1.22        1000              0.73              0.79              0.82
8192                    1.20              0.52              1.87        1000              1.18              1.27              1.29
16384                   3.29              2.10              4.48         100              2.24              6.55              8.28
32768                   4.07              2.97              5.16         100              3.96              4.05              4.12
65536                   7.39              5.89              8.89         100              7.33              7.52              7.61
131072                 13.83             11.68             15.97         100             13.78             13.96             14.00
262144                 19.46             15.69             23.23         100             19.36             19.66             21.60
524288                 50.67             38.02             63.32         100             50.38             53.38             56.85
1048576               124.65             86.09            163.20         100            123.90            128.81            130.92

Test: 4
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
