
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.75
2                       0.68
4                       1.14
8                       0.81
16                      0.47
32                      0.47
64                      0.46
128                     0.50
256                     0.57
512                     1.03
1024                    1.08
2048                    1.27
4096                    4.92
8192                    4.49
16384                   6.30
32768                  11.50
65536                  19.53
131072                 41.63
262144                123.29
524288                253.95
1048576               764.78
