


--------------------------------------------
Algorithm: 0
--------------------------------------------


Procs: 2

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.26              0.14              0.38        1000              0.25              0.33              0.39
2                       0.27              0.14              0.40        1000              0.25              0.33              0.39
4                       0.25              0.13              0.36        1000              0.24              0.32              0.35
8                       0.25              0.12              0.37        1000              0.23              0.32              0.37
16                      0.25              0.12              0.38        1000              0.25              0.32              0.35
32                      0.31              0.16              0.46        1000              0.28              0.37              0.43
64                      0.29              0.13              0.45        1000              0.26              0.39              0.44
128                     0.37              0.18              0.55        1000              0.35              0.45              0.49
256                     0.35              0.18              0.52        1000              0.34              0.44              0.46
512                     0.41              0.19              0.62        1000              0.39              0.51              0.56
1024                    0.45              0.20              0.70        1000              0.43              0.50              0.54
2048                    0.58              0.22              0.94        1000              0.56              0.67              0.69
4096                    0.91              0.43              1.39        1000              0.88              1.01              1.06
8192                    1.46              0.71              2.21        1000              1.45              1.51              1.55
16384                   4.41              4.29              4.54         100              4.17              4.36             13.68
32768                   6.84              6.75              6.93         100              6.78              6.95              7.02
65536                   8.83              8.73              8.93         100              8.76              8.91              9.07
131072                 12.90             12.77             13.02         100             12.73             12.89             17.79
262144                 21.06             20.95             21.16         100             20.90             21.14             25.54
524288                 39.23             39.14             39.33         100             38.97             40.40             45.10
1048576                79.16             79.07             79.24         100             78.03             85.75             93.35

Test: 2
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.28              0.15              0.42        1000              0.25              0.36              0.39
2                       0.27              0.15              0.40        1000              0.25              0.36              0.37
4                       0.27              0.15              0.40        1000              0.25              0.37              0.39
8                       0.27              0.15              0.38        1000              0.25              0.35              0.38
16                      0.27              0.15              0.39        1000              0.25              0.37              0.39
32                      0.33              0.16              0.50        1000              0.30              0.48              0.51
64                      0.31              0.15              0.47        1000              0.29              0.39              0.44
128                     0.40              0.22              0.58        1000              0.38              0.44              0.46
256                     0.41              0.22              0.59        1000              0.40              0.52              0.56
512                     0.46              0.22              0.70        1000              0.45              0.51              0.56
1024                    0.52              0.24              0.80        1000              0.50              0.60              0.63
2048                    0.67              0.27              1.08        1000              0.65              0.76              0.78
4096                    1.03              0.48              1.58        1000              0.99              1.11              1.15
8192                    1.60              0.73              2.47        1000              1.58              1.64              1.73
16384                   3.84              3.78              3.90         100              3.81              3.99              4.10
32768                   6.40              6.32              6.48         100              6.27              6.56              6.69
65536                   8.30              8.19              8.41         100              8.23              8.42              8.54
131072                 12.18             12.12             12.25         100             12.07             12.32             16.49
262144                 19.90             19.85             19.95         100             19.77             19.95             25.25
524288                 36.90             36.82             36.98         100             36.76             37.02             41.90
1048576                75.80             75.75             75.85         100             75.44             81.50             84.89

Test: 3
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.26              0.14              0.39        1000              0.25              0.35              0.38
2                       0.27              0.15              0.39        1000              0.25              0.36              0.39
4                       0.27              0.14              0.40        1000              0.25              0.35              0.38
8                       0.26              0.14              0.38        1000              0.24              0.36              0.39
16                      0.25              0.14              0.36        1000              0.24              0.35              0.37
32                      0.29              0.14              0.45        1000              0.28              0.38              0.44
64                      0.31              0.15              0.46        1000              0.28              0.39              0.47
128                     0.39              0.20              0.57        1000              0.36              0.47              0.50
256                     0.38              0.20              0.56        1000              0.37              0.47              0.49
512                     0.43              0.20              0.66        1000              0.41              0.52              0.57
1024                    0.47              0.21              0.74        1000              0.46              0.53              0.56
2048                    0.62              0.24              1.01        1000              0.59              0.74              0.76
4096                    0.96              0.41              1.51        1000              0.93              1.02              1.08
8192                    1.51              0.70              2.31        1000              1.48              1.58              1.69
16384                   3.81              3.72              3.89         100              3.80              3.95              3.98
32768                   6.27              6.14              6.39         100              6.21              6.40              6.44
65536                   8.15              8.03              8.26         100              8.10              8.23              8.30
131072                 11.99             11.93             12.06         100             11.92             12.15             14.80
262144                 19.73             19.67             19.79         100             19.59             19.78             24.76
524288                 37.00             36.93             37.07         100             36.83             37.07             40.84
1048576                76.30             76.25             76.36         100             76.20             80.74             83.87

Test: 4
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.29              0.17              0.40        1000              0.28              0.37              0.40
2                       0.30              0.18              0.42        1000              0.27              0.39              0.41
4                       0.28              0.16              0.39        1000              0.27              0.36              0.39
8                       0.28              0.17              0.40        1000              0.26              0.38              0.41
16                      0.28              0.17              0.40        1000              0.25              0.37              0.39
32                      0.32              0.16              0.49        1000              0.30              0.41              0.46
64                      0.32              0.16              0.47        1000              0.29              0.42              0.48
128                     0.40              0.22              0.59        1000              0.38              0.48              0.50
256                     0.40              0.20              0.60        1000              0.39              0.49              0.51
512                     0.45              0.22              0.69        1000              0.43              0.55              0.59
1024                    0.49              0.22              0.75        1000              0.48              0.54              0.57
2048                    0.69              0.31              1.07        1000              0.67              0.80              0.84
4096                    0.97              0.41              1.53        1000              0.95              1.04              1.07
8192                    1.59              0.76              2.41        1000              1.56              1.65              1.71
16384                   4.08              4.00              4.16         100              4.07              4.24              4.29
32768                   7.28              7.25              7.31         100              7.19              7.34              7.43
65536                   9.27              9.23              9.31         100              9.18              9.37              9.45
131072                 13.70             13.61             13.78         100             13.57             13.78             18.02
262144                 22.37             22.29             22.44         100             22.24             22.44             27.62
524288                 42.25             42.18             42.32         100             41.96             42.46             48.85
1048576                85.39             85.37             85.41         100             84.40             92.78             95.75

Test: 5
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.31              0.19              0.43        1000              0.28              0.38              0.41
2                       0.30              0.18              0.43        1000              0.28              0.37              0.41
4                       0.30              0.18              0.42        1000              0.29              0.37              0.42
8                       0.31              0.18              0.44        1000              0.28              0.38              0.43
16                      0.30              0.19              0.42        1000              0.29              0.36              0.43
32                      0.36              0.18              0.54        1000              0.34              0.44              0.51
64                      0.36              0.19              0.53        1000              0.34              0.46              0.52
128                     0.46              0.26              0.66        1000              0.44              0.53              0.56
256                     0.45              0.26              0.65        1000              0.43              0.53              0.56
512                     0.51              0.27              0.75        1000              0.49              0.58              0.61
1024                    0.56              0.27              0.85        1000              0.56              0.61              0.64
2048                    0.75              0.35              1.16        1000              0.74              0.85              0.91
4096                    1.07              0.46              1.68        1000              1.06              1.12              1.15
8192                    1.72              0.82              2.62        1000              1.69              1.76              1.86
16384                   3.77              3.69              3.85         100              3.75              3.90              3.93
32768                   6.35              6.17              6.53         100              6.18              6.44             11.57
65536                   8.22              8.06              8.39         100              8.16              8.35              8.44
131072                 12.14             12.06             12.22         100             11.98             12.15             18.40
262144                 19.59             19.52             19.67         100             19.41             19.65             27.95
524288                 36.81             36.73             36.89         100             36.52             36.92             43.95
1048576                76.56             76.48             76.63         100             75.83             83.44             88.87


Procs: 4

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.86              0.55              1.13        1000              0.84              1.01              1.16
2                       0.89              0.58              1.17        1000              0.85              0.99              1.06
4                       0.88              0.56              1.15        1000              0.82              1.00              1.22
8                       0.84              0.53              1.11        1000              0.80              0.96              1.05
16                      0.79              0.50              1.06        1000              0.77              0.93              0.99
32                      0.96              0.56              1.22        1000              0.89              1.39              1.64
64                      0.85              0.48              1.10        1000              0.82              1.01              1.19
128                     1.38              0.92              1.68        1000              1.34              1.55              1.69
256                     1.40              0.90              1.74        1000              1.36              1.62              1.84
512                     1.56              0.94              2.01        1000              1.52              1.81              1.98
1024                    1.91              1.08              2.53        1000              1.85              2.13              2.43
2048                    2.74              1.64              3.52        1000              2.74              3.06              3.26
4096                    3.61              2.15              4.68        1000              3.60              3.94              4.15
8192                    6.24              5.28              8.28        1000              6.17              6.68              8.72
16384                   8.89              7.27             10.16         100              8.69             11.28             14.67
32768                  13.90             13.06             15.03         100             13.95             16.93             18.41
65536                  21.73             19.88             23.59         100             21.48             25.71             29.01
131072                 40.15             36.45             43.00         100             39.16             50.53             54.55
262144                 81.45             75.17             85.50         100             80.85             99.65            105.85
524288                174.14            165.96            179.51         100            170.59            206.71            209.30
1048576               516.33            224.49            671.09         100            515.96            524.56            528.35

Test: 2
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.88              0.55              1.14        1000              0.86              1.01              1.08
2                       0.89              0.57              1.14        1000              0.87              1.05              1.32
4                       0.87              0.53              1.12        1000              0.84              0.98              1.07
8                       0.83              0.54              1.08        1000              0.79              0.95              1.08
16                      0.82              0.51              1.08        1000              0.78              0.91              1.00
32                      0.92              0.53              1.21        1000              0.88              1.35              1.55
64                      0.86              0.48              1.14        1000              0.84              1.02              1.18
128                     1.38              0.93              1.69        1000              1.34              1.54              1.71
256                     1.44              0.96              1.77        1000              1.39              1.64              1.79
512                     1.54              0.93              1.97        1000              1.50              1.75              1.89
1024                    1.91              1.10              2.49        1000              1.86              2.15              2.50
2048                    2.77              1.69              3.57        1000              2.76              3.06              3.28
4096                    3.76              2.30              4.88        1000              3.69              4.06              4.29
8192                    6.16              5.21              8.23        1000              6.10              6.59              9.05
16384                   9.45              8.63             10.56         100              9.25             12.16             14.47
32768                  13.69             12.73             14.85         100             13.57             16.07             19.52
65536                  22.91             21.24             24.30         100             22.71             27.68             30.24
131072                 39.86             38.15             41.98         100             40.24             46.97             50.84
262144                 76.23             72.51             79.99         100             75.51             91.97             95.02
524288                161.50            155.61            166.72         100            159.70            193.34            204.95
1048576               514.35            223.78            668.84         100            513.62            520.45            523.43

Test: 3
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.86              0.54              1.15        1000              0.83              0.96              1.04
2                       0.86              0.53              1.14        1000              0.83              1.00              1.25
4                       0.85              0.51              1.12        1000              0.82              0.97              1.07
8                       0.82              0.50              1.10        1000              0.79              0.97              1.14
16                      0.78              0.48              1.04        1000              0.76              0.91              1.02
32                      0.94              0.53              1.25        1000              0.89              1.32              1.57
64                      0.89              0.50              1.16        1000              0.84              1.16              1.33
128                     1.38              0.90              1.71        1000              1.34              1.54              1.76
256                     1.40              0.91              1.72        1000              1.35              1.62              1.83
512                     1.54              0.92              2.01        1000              1.51              1.79              1.95
1024                    1.87              1.08              2.46        1000              1.84              2.10              2.37
2048                    2.76              1.69              3.58        1000              2.74              3.07              3.48
4096                    3.69              2.24              4.79        1000              3.67              4.05              4.42
8192                    6.02              5.09              7.96        1000              5.97              6.43              7.64
16384                   9.22              7.94             10.37         100              9.04             11.12             19.82
32768                  13.61             12.72             14.70         100             13.62             16.57             16.88
65536                  22.90             21.46             24.50         100             22.90             26.48             27.36
131072                 41.02             39.49             43.25         100             40.76             48.54             55.21
262144                 78.31             72.94             82.51         100             75.67             94.62            107.96
524288                172.64            164.62            177.41         100            174.79            202.35            210.73
1048576               514.77            224.49            669.25         100            514.35            521.30            539.95

Test: 4
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.88              0.56              1.15        1000              0.85              1.01              1.29
2                       0.86              0.55              1.11        1000              0.84              0.99              1.05
4                       0.85              0.53              1.10        1000              0.81              0.99              1.27
8                       0.80              0.52              1.05        1000              0.78              0.93              0.97
16                      0.77              0.49              1.00        1000              0.75              0.91              1.00
32                      0.90              0.51              1.16        1000              0.86              1.10              1.42
64                      0.88              0.49              1.15        1000              0.85              1.07              1.42
128                     1.38              0.93              1.66        1000              1.33              1.57              1.81
256                     1.38              0.89              1.71        1000              1.35              1.56              1.76
512                     1.53              0.92              1.98        1000              1.50              1.78              1.94
1024                    1.89              1.11              2.44        1000              1.86              2.14              2.38
2048                    2.73              1.67              3.50        1000              2.71              3.07              3.35
4096                    3.58              2.18              4.67        1000              3.56              3.88              4.19
8192                    6.22              5.23              8.31        1000              6.17              6.64              8.19
16384                   9.00              7.49             10.21         100              8.53             12.16             18.86
32768                  13.18             11.75             14.49         100             12.98             16.85             17.73
65536                  21.32             19.39             23.29         100             20.86             26.90             27.75
131072                 37.83             34.11             40.88         100             36.68             47.71             50.41
262144                 75.72             67.08             80.96         100             73.52             93.44            100.87
524288                165.38            157.79            170.82         100            163.04            205.50            209.41
1048576               516.76            223.92            672.17         100            516.90            525.11            528.12

Test: 5
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.85              0.53              1.11        1000              0.82              0.98              1.06
2                       0.85              0.53              1.10        1000              0.82              0.97              1.06
4                       0.83              0.51              1.08        1000              0.79              0.97              1.07
8                       0.78              0.47              1.04        1000              0.75              0.90              0.94
16                      0.76              0.46              1.03        1000              0.75              0.92              0.99
32                      0.91              0.52              1.18        1000              0.84              1.29              1.61
64                      0.87              0.47              1.16        1000              0.83              1.18              1.30
128                     1.35              0.87              1.69        1000              1.31              1.51              1.68
256                     1.37              0.89              1.72        1000              1.34              1.60              1.71
512                     1.52              0.93              1.96        1000              1.47              1.71              1.95
1024                    1.85              1.08              2.42        1000              1.81              2.10              2.36
2048                    2.65              1.64              3.41        1000              2.63              2.97              3.20
4096                    3.69              2.25              4.79        1000              3.65              4.06              4.35
8192                    5.98              5.06              7.91        1000              5.90              6.34              9.64
16384                   9.43              8.75             10.51         100              9.28             11.78             18.00
32768                  13.48             12.19             14.58         100             13.76             15.75             16.56
65536                  23.12             21.12             24.46         100             22.84             27.87             29.23
131072                 42.57             40.93             44.57         100             43.19             49.62             52.72
262144                 78.37             72.96             82.66         100             76.96             98.67            106.11
524288                166.39            160.65            171.85         100            165.15            195.75            205.01
1048576               507.25            223.54            659.33         100            507.33            512.44            515.09


Procs: 6

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.42              0.61              1.90        1000              1.36              1.54              1.65
2                       1.41              0.61              1.95        1000              1.34              1.54              1.91
4                       1.32              0.59              1.78        1000              1.26              1.41              1.71
8                       1.26              0.55              1.76        1000              1.21              1.39              1.56
16                      1.17              0.52              1.60        1000              1.13              1.32              1.40
32                      1.36              0.54              1.84        1000              1.29              1.66              1.97
64                      1.22              0.63              1.78        1000              1.17              1.47              2.28
128                     1.85              0.90              2.48        1000              1.80              2.04              2.21
256                     1.85              0.92              2.45        1000              1.79              2.00              2.21
512                     2.04              0.95              2.70        1000              1.97              2.23              2.44
1024                    2.42              1.12              3.04        1000              2.34              2.63              4.27
2048                    3.39              2.09              4.19        1000              3.35              3.68              4.16
4096                    4.41              2.79              5.57        1000              4.40              4.78              5.07
8192                    8.53              5.22             12.18        1000              8.45              8.90             12.03
16384                  10.62              7.32             12.77         100             10.31             13.85             15.33
32768                  18.71             15.73             21.30         100             18.41             23.22             24.46
65536                  34.98             31.45             37.77         100             34.07             44.77             45.59
131072                 68.54             63.27             72.15         100             67.35             82.81             90.21
262144                126.43            121.20            131.70         100            123.12            151.98            166.64
