
Algorithm: 1

Procs: 2

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.18              0.10              0.27        1000              0.18              0.25              0.29
2                       0.24              0.14              0.33        1000              0.22              0.31              0.33
4                       0.20              0.11              0.28        1000              0.19              0.25              0.29
8                       0.24              0.14              0.33        1000              0.22              0.32              0.35
16                      0.20              0.11              0.28        1000              0.19              0.26              0.30
32                      0.27              0.13              0.41        1000              0.26              0.36              0.41
64                      0.25              0.12              0.39        1000              0.23              0.33              0.41
128                     0.34              0.18              0.50        1000              0.33              0.41              0.47
256                     0.34              0.18              0.50        1000              0.33              0.40              0.42
512                     0.40              0.20              0.59        1000              0.40              0.49              0.54
1024                    0.43              0.20              0.66        1000              0.43              0.47              0.49
2048                    0.57              0.23              0.90        1000              0.52              0.68              0.76
4096                    0.86              0.37              1.34        1000              0.85              0.89              0.91
8192                    1.35              0.65              2.05        1000              1.30              1.59              1.65
16384                   3.22              3.15              3.30         100              3.16              3.30              3.36
32768                   5.44              5.34              5.55         100              5.40              5.54              5.58
65536                   7.13              6.98              7.27         100              7.07              7.28              7.44
131072                 10.71             10.57             10.85         100             10.62             10.85             13.69
262144                 17.47             17.39             17.56         100             17.30             17.92             21.49
524288                 32.80             32.73             32.86         100             32.50             33.51             37.17
1048576                69.99             69.91             70.08         100             69.45             73.83             75.07

Test: 2
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.19              0.10              0.27        1000              0.18              0.25              0.27
2                       0.26              0.15              0.38        1000              0.23              0.32              0.34
4                       0.20              0.11              0.29        1000              0.19              0.28              0.29
8                       0.25              0.16              0.34        1000              0.23              0.33              0.34
16                      0.20              0.12              0.29        1000              0.19              0.28              0.30
32                      0.29              0.14              0.43        1000              0.27              0.35              0.41
64                      0.25              0.12              0.39        1000              0.24              0.34              0.39
128                     0.34              0.18              0.50        1000              0.33              0.42              0.46
256                     0.34              0.17              0.50        1000              0.33              0.40              0.44
512                     0.39              0.19              0.60        1000              0.40              0.49              0.53
1024                    0.44              0.20              0.68        1000              0.43              0.48              0.50
2048                    0.57              0.23              0.92        1000              0.55              0.65              0.67
4096                    0.83              0.36              1.30        1000              0.80              0.99              1.04
8192                    1.39              0.66              2.13        1000              1.38              1.46              1.49
16384                   3.24              3.16              3.32         100              3.24              3.35              3.38
32768                   5.41              5.32              5.50         100              5.35              5.53              5.61
65536                   7.18              7.04              7.32         100              7.06              7.26             11.37
131072                 10.60             10.46             10.73         100             10.41             10.72             14.58
262144                 17.52             17.44             17.59         100             17.38             17.91             21.28
524288                 32.78             32.70             32.87         100             32.52             33.77             38.06
1048576                69.43             69.41             69.45         100             68.91             72.66             73.93

Test: 3
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.19              0.10              0.28        1000              0.18              0.26              0.28
2                       0.24              0.14              0.33        1000              0.23              0.30              0.33
4                       0.21              0.10              0.32        1000              0.19              0.24              0.27
8                       0.25              0.15              0.35        1000              0.22              0.28              0.32
16                      0.20              0.11              0.29        1000              0.19              0.28              0.31
32                      0.29              0.15              0.43        1000              0.27              0.40              0.45
64                      0.24              0.12              0.37        1000              0.23              0.31              0.36
128                     0.33              0.16              0.49        1000              0.32              0.40              0.41
256                     0.33              0.16              0.50        1000              0.32              0.41              0.43
512                     0.39              0.18              0.59        1000              0.38              0.45              0.49
1024                    0.43              0.20              0.67        1000              0.42              0.50              0.52
2048                    0.57              0.22              0.92        1000              0.54              0.68              0.72
4096                    0.86              0.37              1.34        1000              0.86              0.93              0.96
8192                    1.41              0.66              2.16        1000              1.38              1.56              1.61
16384                   3.30              3.22              3.37         100              3.23              3.42              3.47
32768                   5.37              5.26              5.47         100              5.34              5.53              5.62
65536                   7.13              6.99              7.27         100              7.08              7.23              7.63
131072                 10.73             10.61             10.86         100             10.60             11.11             13.54
262144                 17.49             17.38             17.60         100             17.24             18.29             21.44
524288                 32.68             32.58             32.77         100             32.34             33.97             37.35
1048576                66.19             66.16             66.22         100             65.65             69.86             71.15

Test: 4
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.19              0.10              0.28        1000              0.18              0.27              0.28
2                       0.23              0.14              0.33        1000              0.23              0.31              0.34
4                       0.21              0.11              0.30        1000              0.20              0.28              0.30
8                       0.24              0.14              0.34        1000              0.23              0.30              0.34
16                      0.21              0.12              0.30        1000              0.20              0.29              0.31
32                      0.29              0.14              0.43        1000              0.28              0.37              0.45
64                      0.25              0.12              0.39        1000              0.24              0.32              0.39
128                     0.34              0.19              0.49        1000              0.34              0.40              0.43
256                     0.35              0.18              0.52        1000              0.34              0.41              0.46
512                     0.40              0.19              0.60        1000              0.40              0.47              0.53
1024                    0.46              0.23              0.69        1000              0.45              0.51              0.53
2048                    0.60              0.28              0.93        1000              0.58              0.70              0.76
4096                    0.87              0.39              1.36        1000              0.86              0.95              0.98
8192                    1.34              0.67              2.02        1000              1.31              1.58              1.65
16384                   3.13              3.07              3.19         100              3.14              3.27              3.32
32768                   5.39              5.28              5.50         100              5.34              5.46              5.70
65536                   7.05              6.94              7.16         100              6.97              7.19              7.38
131072                 10.40             10.29             10.52         100             10.34             10.67             11.50
262144                 17.50             17.42             17.58         100             17.08             17.85             29.35
524288                 32.84             32.75             32.92         100             32.47             34.18             38.46
1048576                69.41             69.33             69.48         100             68.80             72.69             74.82

Test: 5
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.19              0.10              0.28        1000              0.17              0.27              0.28
2                       0.23              0.13              0.33        1000              0.22              0.30              0.32
4                       0.20              0.11              0.29        1000              0.19              0.28              0.29
8                       0.23              0.13              0.33        1000              0.22              0.31              0.32
16                      0.20              0.11              0.29        1000              0.19              0.28              0.30
32                      0.29              0.14              0.44        1000              0.29              0.38              0.43
64                      0.25              0.11              0.38        1000              0.25              0.30              0.36
128                     0.32              0.16              0.48        1000              0.32              0.38              0.40
256                     0.33              0.16              0.51        1000              0.32              0.41              0.44
512                     0.35              0.15              0.56        1000              0.35              0.40              0.43
1024                    0.43              0.21              0.66        1000              0.41              0.50              0.52
2048                    0.56              0.21              0.90        1000              0.54              0.64              0.68
4096                    0.85              0.41              1.29        1000              0.81              0.99              1.07
8192                    1.39              0.64              2.14        1000              1.37              1.43              1.51
16384                   3.24              3.17              3.32         100              3.24              3.39              3.46
32768                   5.46              5.36              5.55         100              5.43              5.62              5.78
65536                   7.16              7.04              7.27         100              7.09              7.32              7.43
131072                 10.65             10.53             10.78         100             10.58             10.91             11.59
262144                 17.43             17.34             17.51         100             17.25             17.94             20.76
524288                 32.80             32.72             32.88         100             32.43             33.82             38.36
1048576                65.75             65.69             65.81         100             65.20             69.57             70.50

Procs: 4

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.34              0.33              0.35        1000              0.28              0.59              0.68
2                       0.35              0.33              0.37        1000              0.29              0.58              0.65
4                       0.38              0.37              0.39        1000              0.41              0.58              0.63
8                       0.37              0.36              0.39        1000              0.32              0.55              0.68
16                      0.40              0.39              0.40        1000              0.40              0.54              0.61
32                      0.67              0.58              0.80        1000              0.61              1.09              1.17
64                      0.59              0.51              0.72        1000              0.55              0.96              1.04
128                     1.05              0.85              1.41        1000              1.02              1.30              1.41
256                     1.13              0.93              1.48        1000              1.10              1.38              1.65
512                     1.33              1.06              1.79        1000              1.31              1.60              1.77
1024                    1.57              1.29              2.13        1000              1.54              1.85              2.03
2048                    2.41              2.11              3.27        1000              2.38              2.79              3.02
4096                    3.45              2.99              4.54        1000              3.41              3.80              4.08
8192                    5.93              5.06              7.83        1000              5.88              6.21              6.48
16384                   8.00              6.35              9.13         100              7.79             10.60             13.11
32768                  11.78             11.21             12.72         100             11.24             15.77             16.42
65536                  18.52             17.25             20.01         100             18.09             23.35             25.84
131072                 34.60             32.78             36.92         100             33.68             41.16             44.90
262144                 67.63             64.86             71.09         100             65.14             87.19             93.18
524288                139.71            134.13            145.28         100            137.10            173.39            203.15
1048576               309.21            300.10            316.65         100            302.31            384.83            404.09

Test: 2
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.29              0.29              0.30        1000              0.25              0.52              0.60
2                       0.33              0.31              0.34        1000              0.26              0.54              0.66
4                       0.31              0.30              0.32        1000              0.25              0.54              0.57
8                       0.31              0.30              0.32        1000              0.25              0.50              0.63
16                      0.36              0.35              0.37        1000              0.36              0.54              0.68
32                      0.59              0.49              0.70        1000              0.49              1.13              1.21
64                      0.55              0.46              0.66        1000              0.51              0.86              0.97
128                     1.02              0.83              1.37        1000              1.00              1.25              1.39
256                     1.06              0.86              1.43        1000              1.04              1.32              1.48
512                     1.24              0.96              1.68        1000              1.22              1.53              1.67
1024                    1.53              1.24              2.09        1000              1.47              1.89              2.22
2048                    2.39              2.07              3.25        1000              2.36              2.75              2.94
4096                    3.68              3.22              4.85        1000              3.62              4.07              4.31
8192                    5.70              4.84              7.59        1000              5.67              6.02              6.39
16384                   8.86              7.93              9.89         100              8.80             11.59             12.99
32768                  12.85             11.63             13.98         100             12.69             15.89             17.24
65536                  20.35             18.69             21.82         100             20.68             24.55             28.38
131072                 36.90             34.57             39.04         100             36.32             44.95             50.71
262144                 74.26             70.43             77.08         100             71.95             97.26             98.81
524288                139.43            136.28            144.04         100            136.67            174.43            183.93
1048576               284.08            280.87            291.79         100            280.66            375.89            403.57

Test: 3
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
