Algorithm,Procs,Size,Avg Latency(us) Mean,Avg Latency(us) Std Error
2,2,1,0.2,0.007071067811865476
2,2,2,0.248,0.00860232526704263
2,2,4,0.22799999999999998,0.0058309518948453
2,2,8,0.246,0.009273618495495706
2,2,16,0.21999999999999997,0.008944271909999158
2,2,32,0.28200000000000003,0.009695359714832654
2,2,64,0.28800000000000003,0.007999999999999993
2,2,128,0.336,0.005099019513592782
2,2,256,0.36,0.004472135954999583
2,2,512,0.384,0.00509901951359279
2,2,1024,0.45999999999999996,0.004472135954999571
2,2,2048,0.5879999999999999,0.0020000000000000018
2,2,4096,0.868,0.003741657386773944
2,2,8192,1.436,0.0040000000000000036
2,2,16384,3.444,0.19177069640588992
2,2,32768,5.700000000000001,0.3450072463007117
2,2,65536,7.544,0.41816982196232205
2,2,131072,11.251999999999999,0.6014765165823184
2,2,262144,18.413999999999998,0.9586792998703998
2,2,524288,34.501999999999995,1.7368632646239024
2,2,1048576,71.05600000000001,3.529427148986078
2,4,1,0.33799999999999997,0.01593737745050923
2,4,2,0.36,0.013038404810405288
2,4,4,0.364,0.019646882704388496
2,4,8,0.358,0.015937377450509223
2,4,16,0.362,0.017720045146669344
2,4,32,0.612,0.008602325267042634
2,4,64,0.5619999999999999,0.015297058540778343
2,4,128,1.062,0.013564659966250546
2,4,256,1.1280000000000001,0.01624807680927189
2,4,512,1.3459999999999999,0.02039607805437112
2,4,1024,1.6,0.019999999999999973
2,4,2048,2.466,0.00812403840463601
2,4,4096,3.5520000000000005,0.053047148839499306
2,4,8192,5.904000000000001,0.05714892824891824
2,4,16384,8.288,0.06711184694225006
2,4,32768,12.228,0.13365627557282894
2,4,65536,19.892,0.3453606810278205
2,4,131072,35.956,0.3237066573303682
2,4,262144,70.262,1.4293124221107165
2,4,524288,147.16199999999998,3.0418060424688504
2,4,1048576,321.296,3.5436797259346147
2,6,1,0.72,0.01581138830084191
2,6,2,0.7300000000000001,0.004472135954999583
2,6,4,0.728,0.008000000000000007
2,6,8,0.72,0.007745966692414842
2,6,16,0.702,0.0037416573867739447
2,6,32,1.092,0.028530685235374192
2,6,64,1.044,0.025416530054277693
2,6,128,1.7599999999999998,0.006324555320336764
2,6,256,1.8379999999999999,0.004898979485566361
2,6,512,2.102,0.010677078252031336
2,6,1024,2.5959999999999996,0.005099019513592771
2,6,2048,3.6359999999999992,0.004000000000000015
2,6,4096,5.164,0.05653317610041031
2,6,8192,8.32,0.08786353054595536
2,6,16384,11.74,0.10597169433391176
2,6,32768,20.04,0.12887978895078975
2,6,65536,37.994,0.44951751912467225
2,6,131072,76.55600000000001,0.8561226547639061
2,6,262144,152.63000000000002,1.6008466509944048
2,6,524288,300.38800000000003,8.181404769353488
2,6,1048576,513.492,13.3190902091697
2,8,1,1958.736,156.4976165505405
2,8,2,1842.2419999999997,148.00147139133446
2,8,4,1879.184,69.9844015906402
2,8,8,1814.8220000000001,163.94610130771633
2,8,16,2169.242,135.2940732404786
2,8,32,1953.45,216.14198574085506
2,8,64,1761.012,206.38729678446782
2,8,128,1994.462,188.74706155063706
2,8,256,1837.9279999999999,157.62290206058253
2,8,512,2077.642,216.2858699822991
2,8,1024,1961.2120000000002,112.45195069006137
2,8,2048,1611.778,151.7643642756757
2,8,4096,2155.578,69.79981399688683
2,8,8192,2230.202,163.4859297737882
2,8,16384,2677.878,422.6539367189189
2,8,32768,2330.614,451.5667323065329
2,8,65536,2502.2999999999997,456.38225155016704
2,8,131072,2040.968,381.10845748159403
2,8,262144,2970.1099999999997,301.09441622188876
2,8,524288,2200.682,329.06079633405125
2,8,1048576,2780.728,577.3981066075642
