
Algorithm: 3

Procs: 2

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.30              0.18              0.41        1000              0.29              0.39              0.43
2                       0.30              0.18              0.41        1000              0.29              0.37              0.44
4                       0.31              0.20              0.43        1000              0.29              0.39              0.43
8                       0.30              0.18              0.42        1000              0.29              0.38              0.43
16                      0.30              0.19              0.41        1000              0.29              0.41              0.44
32                      0.37              0.20              0.54        1000              0.35              0.47              0.53
64                      0.36              0.18              0.53        1000              0.34              0.43              0.49
128                     0.42              0.24              0.60        1000              0.41              0.47              0.50
256                     0.46              0.27              0.65        1000              0.43              0.54              0.58
512                     0.47              0.24              0.71        1000              0.47              0.53              0.57
1024                    0.58              0.29              0.87        1000              0.56              0.65              0.68
2048                    0.72              0.30              1.15        1000              0.70              0.81              0.84
4096                    1.09              0.52              1.66        1000              1.05              1.17              1.20
8192                    1.67              0.75              2.59        1000              1.65              1.74              1.78
16384                   4.13              4.03              4.23         100              4.09              4.21              4.23
32768                   6.82              6.76              6.88         100              6.64              6.93             13.00
65536                   8.80              8.66              8.93         100              8.69              8.86             12.02
131072                 13.19             13.06             13.32         100             13.08             13.36             18.42
262144                 21.41             21.35             21.47         100             21.28             21.71             26.26
524288                 40.37             40.29             40.44         100             39.95             41.38             47.26
1048576                85.64             85.61             85.68         100             84.89             89.46             92.51

Test: 2
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.28              0.16              0.40        1000              0.26              0.37              0.39
2                       0.29              0.16              0.41        1000              0.26              0.38              0.41
4                       0.30              0.19              0.41        1000              0.26              0.36              0.39
8                       0.28              0.16              0.40        1000              0.26              0.37              0.40
16                      0.28              0.16              0.39        1000              0.26              0.35              0.39
32                      0.32              0.16              0.48        1000              0.30              0.40              0.46
64                      0.32              0.17              0.47        1000              0.30              0.41              0.47
128                     0.41              0.22              0.60        1000              0.38              0.49              0.51
256                     0.42              0.23              0.62        1000              0.40              0.49              0.53
512                     0.45              0.22              0.68        1000              0.44              0.55              0.62
1024                    0.54              0.26              0.82        1000              0.53              0.58              0.62
2048                    0.68              0.28              1.08        1000              0.66              0.81              0.83
4096                    1.03              0.51              1.56        1000              1.00              1.09              1.12
8192                    1.58              0.72              2.44        1000              1.57              1.63              1.70
16384                   3.99              3.90              4.07         100              3.98              4.14              4.21
32768                   6.68              6.59              6.77         100              6.52              6.68              6.74
65536                   8.79              8.69              8.88         100              8.70              8.91              9.02
131072                 12.90             12.82             12.97         100             12.84             13.31             13.39
262144                 21.40             21.33             21.48         100             21.18             22.05             25.72
524288                 42.29             42.22             42.36         100             41.97             43.37             46.97
1048576                83.25             83.19             83.31         100             82.73             89.53             91.83

Test: 3
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.30              0.18              0.42        1000              0.29              0.40              0.41
2                       0.30              0.18              0.43        1000              0.29              0.39              0.41
4                       0.31              0.19              0.43        1000              0.29              0.39              0.42
8                       0.30              0.18              0.41        1000              0.28              0.38              0.41
16                      0.30              0.18              0.42        1000              0.29              0.39              0.42
32                      0.37              0.19              0.56        1000              0.36              0.51              0.56
64                      0.36              0.18              0.55        1000              0.36              0.46              0.50
128                     0.45              0.25              0.65        1000              0.44              0.49              0.52
256                     0.46              0.25              0.68        1000              0.45              0.55              0.58
512                     0.50              0.25              0.76        1000              0.50              0.58              0.64
1024                    0.62              0.30              0.94        1000              0.60              0.69              0.72
2048                    0.76              0.31              1.21        1000              0.73              0.86              0.93
4096                    1.14              0.55              1.73        1000              1.11              1.22              1.26
8192                    1.72              0.78              2.65        1000              1.70              1.80              1.92
16384                   4.47              4.33              4.62         100              4.25              4.49             11.54
32768                   7.10              7.07              7.14         100              7.01              7.23              7.35
65536                   9.35              9.32              9.38         100              9.28              9.47              9.55
131072                 14.06             13.99             14.12         100             13.95             14.26             18.85
262144                 24.07             24.00             24.13         100             23.86             24.84             28.65
524288                 45.43             45.35             45.52         100             45.11             46.07             50.87
1048576                88.85             88.78             88.92         100             88.59             94.80             97.77

Test: 4
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.27              0.15              0.38        1000              0.26              0.36              0.38
2                       0.28              0.17              0.39        1000              0.25              0.35              0.38
4                       0.28              0.17              0.39        1000              0.26              0.35              0.38
8                       0.28              0.17              0.39        1000              0.26              0.36              0.39
16                      0.26              0.15              0.37        1000              0.25              0.36              0.38
32                      0.35              0.17              0.52        1000              0.32              0.45              0.49
64                      0.31              0.15              0.46        1000              0.29              0.38              0.43
128                     0.40              0.20              0.59        1000              0.38              0.43              0.46
256                     0.42              0.22              0.62        1000              0.40              0.49              0.51
512                     0.45              0.21              0.68        1000              0.44              0.50              0.54
1024                    0.53              0.26              0.80        1000              0.52              0.61              0.65
2048                    0.72              0.34              1.10        1000              0.70              0.80              0.85
4096                    1.00              0.44              1.57        1000              0.98              1.08              1.12
8192                    1.63              0.79              2.46        1000              1.60              1.70              1.76
16384                   4.08              4.00              4.16         100              4.07              4.20              4.28
32768                   7.14              7.08              7.20         100              7.03              7.26              9.83
65536                   9.25              9.19              9.32         100              9.18              9.39              9.47
131072                 13.90             13.84             13.95         100             13.72             14.25             18.94
262144                 22.70             22.62             22.78         100             22.48             23.46             27.61
524288                 44.15             44.10             44.19         100             43.64             45.73             49.79
1048576                88.78             88.76             88.79         100             88.73             93.35             96.12

Test: 5
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.34              0.20              0.47        1000              0.31              0.41              0.46
2                       0.33              0.21              0.46        1000              0.31              0.39              0.44
4                       0.33              0.19              0.46        1000              0.31              0.42              0.46
8                       0.32              0.19              0.44        1000              0.30              0.38              0.43
16                      0.33              0.21              0.46        1000              0.30              0.41              0.44
32                      0.38              0.20              0.57        1000              0.37              0.49              0.56
64                      0.39              0.19              0.59        1000              0.38              0.48              0.52
128                     0.43              0.23              0.63        1000              0.42              0.48              0.50
256                     0.46              0.25              0.66        1000              0.45              0.55              0.60
512                     0.50              0.26              0.74        1000              0.49              0.56              0.60
1024                    0.59              0.29              0.88        1000              0.58              0.66              0.68
2048                    0.78              0.36              1.20        1000              0.75              0.86              0.94
4096                    1.10              0.48              1.72        1000              1.08              1.21              1.25
8192                    1.74              0.84              2.65        1000              1.71              1.80              1.88
16384                   4.20              4.12              4.28         100              4.15              4.25              4.34
32768                   7.03              6.97              7.08         100              6.84              7.00             15.23
65536                   9.15              9.09              9.22         100              8.95              9.15             16.41
131072                 13.49             13.42             13.56         100             13.33             13.65             19.78
262144                 22.01             21.92             22.11         100             21.80             22.57             26.89
524288                 41.27             41.18             41.36         100             40.99             42.21             44.89
1048576                86.88             86.85             86.90         100             86.47             91.45             94.98

Procs: 4

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.24              0.31              1.84        1000              1.21              1.40              1.52
2                       1.38              0.31              1.97        1000              1.20              1.45              1.67
4                       1.21              0.31              1.81        1000              1.17              1.35              1.61
8                       1.15              0.29              1.70        1000              1.11              1.29              1.45
16                      1.11              0.28              1.65        1000              1.07              1.27              1.48
32                      1.56              0.27              2.61        1000              1.53              1.88              2.17
64                      1.32              0.25              2.17        1000              1.28              1.57              1.74
128                     2.06              0.39              3.46        1000              2.01              2.26              2.68
