Algorithm,Procs,Size,Avg Latency(us) Mean,Avg Latency(us) Std Error
3,2,1,0.29800000000000004,0.011999999999999999
3,2,2,0.3,0.008366600265340756
3,2,4,0.306,0.008124038404635959
3,2,8,0.29600000000000004,0.007483314773547877
3,2,16,0.29400000000000004,0.011661903789690599
3,2,32,0.358,0.01067707825203131
3,2,64,0.34800000000000003,0.014628738838327793
3,2,128,0.42200000000000004,0.008602325267042627
3,2,256,0.44400000000000006,0.009797958971132722
3,2,512,0.47400000000000003,0.011224972160321823
3,2,1024,0.5720000000000001,0.01655294535724684
3,2,2048,0.732,0.017435595774162694
3,2,4096,1.0719999999999998,0.025179356624028332
3,2,8192,1.668,0.02922327839240491
3,2,16384,4.174,0.08152300288875519
3,2,32768,6.954000000000001,0.08795453370918406
3,2,65536,9.068,0.11586198686368189
3,2,131072,13.508,0.21557829204258955
3,2,262144,22.318,0.4988727292606804
3,2,524288,42.702000000000005,0.9272885203646166
3,2,1048576,86.67999999999999,1.0489375577220976
3,4,1,1.2319999999999998,0.023323807579381222
3,4,2,1.2399999999999998,0.03646916505762093
3,4,4,1.182,0.010198039027185577
3,4,8,1.124,0.009797958971132677
3,4,16,1.092,0.008000000000000007
3,4,32,1.4000000000000001,0.04147288270665544
3,4,64,1.31,0.007745966692414842
3,4,128,2.0599999999999996,0.008366600265340736
3,4,256,2.078,0.014628738838327836
3,4,512,2.352,0.014628738838327804
3,4,1024,2.7380000000000004,0.009695359714832626
3,4,2048,3.678,0.01933907960581371
3,4,4096,5.0680000000000005,0.01743559577416267
3,4,8192,8.315999999999999,0.024207436873820442
3,4,16384,16.442,0.12126005112979314
3,4,32768,27.826,0.12789057822998548
3,4,65536,43.892,0.09794896630388679
3,4,131072,76.98,0.15122830422906952
3,4,262144,142.81,0.2668520189168536
3,4,524288,268.284,1.2916059770688613
3,4,1048576,521.48,2.5710950974244504
3,6,1,2.336,0.02461706725018231
3,6,2,2.25,0.01923538406167133
3,6,4,2.11,0.014491376746189421
3,6,8,1.9740000000000002,0.007483314773547888
3,6,16,1.8820000000000001,0.006633249580710769
3,6,32,2.624,0.03867815921162746
3,6,64,2.2879999999999994,0.008602325267042615
3,6,128,3.414,0.010295630140987017
3,6,256,3.4219999999999997,0.011135528725660062
3,6,512,3.7960000000000003,0.014352700094407271
3,6,1024,4.37,0.012247448713915846
3,6,2048,5.856,0.01691153452528774
3,6,4096,8.028,0.018547236990991506
3,6,8192,13.094,0.06508456038109205
3,6,16384,25.330000000000002,0.12856904759700133
3,6,32768,41.4,0.0900555384193557
3,6,65536,71.078,0.20989044761494122
3,6,131072,134.156,0.38889073015437153
3,6,262144,256.892,0.5856312833174149
3,6,524288,495.762,0.8993075113663881
3,6,1048576,947.034,1.2973457519104226
3,8,1,3.7120000000000006,0.0594474557908074
3,8,2,3.4400000000000004,0.05138093031466049
3,8,4,3.178,0.03706750598570125
3,8,8,2.932,0.03541186241925154
3,8,16,2.794,0.025019992006393568
3,8,32,3.664,0.0428485705712571
3,8,64,3.496,0.02135415650406264
3,8,128,4.824,0.011224972160321773
3,8,256,4.692,0.022671568097509302
3,8,512,5.344,0.007483314773547877
3,8,1024,6.202,0.052668776329054805
3,8,2048,8.26,0.024698178070456954
3,8,4096,11.686,0.02271563338320125
3,8,8192,18.53,0.06655824516917454
3,8,16384,34.172000000000004,0.15473848907107787
3,8,32768,55.779999999999994,0.0858487041253393
3,8,65536,95.488,0.33284230500343565
3,8,131072,179.57,0.9355800339896084
3,8,262144,344.914,1.5430962380875657
3,8,524288,655.0939999999999,3.0569569836685715
3,8,1048576,1283.576,4.629434738712715
3,10,1,4.7299999999999995,0.0960728889958035
3,10,2,4.3759999999999994,0.06273754856543255
3,10,4,4.044,0.05491812087098395
3,10,8,3.746,0.05316013544000806
3,10,16,3.508,0.03261901286060021
3,10,32,4.826,0.027495454169735055
3,10,64,4.386,0.013638181696985916
3,10,128,6.16,0.0044721359549994835
3,10,256,6.1579999999999995,0.022226110770892846
3,10,512,7.024000000000001,0.02293468988235938
3,10,1024,8.288,0.019595917942265395
3,10,2048,10.988,0.04004996878900156
3,10,4096,15.004,0.010295630140986781
3,10,8192,23.686,0.06423394741100726
3,10,16384,42.862,0.18064883060789436
3,10,32768,69.686,0.10424010744430372
3,10,65536,119.766,0.22231958978011868
3,10,131072,224.51,0.629722160956718
3,10,262144,430.07,0.7516182541689586
3,10,524288,812.9780000000001,1.7888834506473557
3,10,1048576,1589.2779999999998,2.757679096631804
3,12,1,5.2620000000000005,0.16520895859486553
3,12,2,4.928,0.09473119866232026
3,12,4,4.55,0.08167006795638154
3,12,8,4.166,0.040938978980917445
3,12,16,3.9219999999999997,0.03979949748426478
3,12,32,5.586,0.048228622207149976
3,12,64,4.928,0.02672077843177479
3,12,128,7.256,0.026381811916545785
3,12,256,7.298,0.02154065922853803
3,12,512,8.368,0.017720045146669344
3,12,1024,9.98,0.013038404810405224
3,12,2048,13.212,0.031048349392520283
3,12,4096,17.919999999999998,0.03209361307176224
3,12,8192,28.427999999999997,0.09035485598461217
3,12,16384,51.17399999999999,0.08891569040388803
3,12,32768,83.358,0.10561249926026689
3,12,65536,143.33999999999997,0.4089131937220895
3,12,131072,270.252,0.5546115757897578
3,12,262144,504.466,1.0860276239580702
3,12,524288,974.592,1.8303043462768684
3,12,1048576,1923.4080000000001,4.320808257722174
3,14,1,5.314,0.17113152836341997
3,14,2,4.9719999999999995,0.14461673485458043
3,14,4,4.672,0.09313431161500045
3,14,8,4.392,0.059949979149287465
3,14,16,4.159999999999999,0.035637059362410906
3,14,32,6.268,0.039673668849754706
3,14,64,5.4479999999999995,0.060942595940770394
3,14,128,8.360000000000001,0.017606816861659037
3,14,256,8.556000000000001,0.018055470085267807
3,14,512,9.658000000000001,0.014966629547095978
3,14,1024,11.686,0.038157568056678026
3,14,2048,15.315999999999999,0.043543082114154454
3,14,4096,20.518,0.04662617290749894
3,14,8192,32.94800000000001,0.021307275752663547
3,14,16384,58.983999999999995,0.23724670703720996
3,14,32768,96.55199999999999,0.11555950847939778
3,14,65536,167.412,0.44117343528367536
3,14,131072,314.95200000000006,0.866749098643891
3,14,262144,587.964,1.5126387539660637
3,14,524288,1139.2,2.2149040611277075
3,14,1048576,2251.572,5.267909832181961
3,16,1,6.364,0.1696054244415549
3,16,2,6.036,0.14790537515587457
3,16,4,5.604000000000001,0.0826801064343776
3,16,8,5.11,0.04301162633521321
3,16,16,4.824000000000001,0.044226688774991876
3,16,32,6.814,0.06830812543175221
3,16,64,6.144,0.030430248109405884
3,16,128,9.572,0.03611094017053577
3,16,256,9.629999999999999,0.052725705305856324
3,16,512,10.998,0.025179356624028336
3,16,1024,12.892000000000001,0.013564659966250666
3,16,2048,17.084,0.019390719429665068
3,16,4096,23.227999999999998,0.02709243436828804
3,16,8192,36.73,0.04888762624632142
3,16,16384,67.066,0.1895151708966849
3,16,32768,110.34,0.10798147989354474
3,16,65536,190.042,0.248302235189294
3,16,131072,359.088,0.6972761289474908
3,16,262144,669.818,0.855823579950912
3,16,524288,1320.3200000000002,5.726599339922429
3,16,1048576,2562.7760000000003,5.195728630327019
3,18,1,6.828,0.11257886124845996
3,18,2,6.575999999999999,0.09952889027814994
3,18,4,6.122,0.05266877632905488
3,18,8,5.6979999999999995,0.013564659966250567
3,18,16,5.452000000000001,0.007999999999999985
3,18,32,7.894,0.049254441424098946
3,18,64,7.26,0.06670832032063163
3,18,128,11.175999999999998,0.036687872655688056
3,18,256,11.411999999999999,0.03891015291668746
3,18,512,12.684000000000001,0.03919183588453105
3,18,1024,14.982,0.02615339366124399
3,18,2048,19.619999999999997,0.040987803063838125
3,18,4096,26.583999999999996,0.07685050422736339
3,18,8192,41.604,0.09698453484963537
3,18,16384,75.86,0.07127411872481981
3,18,32768,124.05,0.0789303490426845
3,18,65536,213.92400000000004,0.30362147486631946
3,18,131072,394.78599999999994,0.6116747501736476
3,18,262144,748.3839999999999,0.9865323106720848
3,18,524288,1483.346,4.735503774679095
3,18,1048576,2864.6780000000003,7.202594949044346
3,20,1,6.470000000000001,0.1568757470101736
3,20,2,6.4719999999999995,0.15464152094440875
3,20,4,6.248,0.08737276463521101
3,20,8,6.024,0.050159744815937955
3,20,16,5.89,0.02469817807045686
3,20,32,8.766,0.04214261501141106
3,20,64,7.998,0.047265209192385874
3,20,128,12.508,0.044204072210600534
3,20,256,12.675999999999998,0.05268775948927784
3,20,512,14.156,0.04985980344927161
3,20,1024,16.868000000000002,0.04872371086031972
3,20,2048,21.944,0.038157568056678116
3,20,4096,29.6,0.031144823004795066
3,20,8192,46.476000000000006,0.11621531740695776
3,20,16384,83.266,0.0765898165554671
3,20,32768,137.868,0.0351283361404989
3,20,65536,237.64000000000001,0.3763641853311785
3,20,131072,435.54799999999994,0.274579678781951
3,20,262144,828.2879999999999,0.8903617242446954
3,20,524288,1636.3319999999999,1.263362180849188
3,20,1048576,3171.408,1.5942440214722922
3,22,1,6.790000000000001,0.09628083921528721
3,22,2,6.948,0.09956907150315308
3,22,4,6.65,0.05648008498577172
3,22,8,6.3420000000000005,0.03152776554086881
3,22,16,6.202000000000001,0.017720045146669347
3,22,32,9.606,0.05741080037762924
3,22,64,8.532,0.040792156108742275
3,22,128,13.546000000000001,0.08704022058795588
3,22,256,13.648000000000001,0.09536246641105714
3,22,512,15.374,0.05182663407939983
3,22,1024,18.381999999999998,0.043520110293977655
3,22,2048,23.967999999999996,0.05323532661682462
3,22,4096,32.461999999999996,0.0645290632196065
3,22,8192,50.748000000000005,0.07088018058667739
3,22,16384,91.53999999999999,0.14017845768876022
3,22,32768,151.51399999999998,0.23029546239559215
3,22,65536,261.12,0.5311026266174924
3,22,131072,478.28599999999994,0.602159447322713
3,22,262144,927.4440000000001,3.5872365408486826
3,22,524288,1778.8919999999998,2.7768136415683187
3,22,1048576,3478.978,3.8087890464030845
3,24,1,7.096000000000001,0.0464327470649756
3,24,2,7.359999999999999,0.05059644256269397
3,24,4,7.037999999999999,0.02817800560721069
3,24,8,6.82,0.022135943621178707
3,24,16,6.752,0.011575836902790246
3,24,32,10.696,0.04273172123844276
3,24,64,9.394000000000002,0.020396078054371023
3,24,128,15.047999999999998,0.07754998388136516
3,24,256,15.291999999999998,0.08163332652783428
3,24,512,16.98,0.047853944456021424
3,24,1024,20.389999999999997,0.0756306816047558
3,24,2048,26.355999999999995,0.04955804677345516
3,24,4096,35.636,0.068308125431752
3,24,8192,55.662,0.05877074101966095
3,24,16384,99.924,0.13048371545905632
3,24,32768,164.79199999999997,0.1700411714850252
3,24,65536,284.264,0.5197941900406295
3,24,131072,518.7939999999999,0.4293553306994086
3,24,262144,1011.86,1.4225118628679183
3,24,524288,1933.784,1.717563972607701
3,24,1048576,3786.362,3.534347747463428
3,26,1,6.828,0.03469870314579496
3,26,2,6.818,0.0549909083394701
3,26,4,6.728,0.009165151389911698
3,26,8,6.715999999999999,0.012083045973594476
3,26,16,6.728,0.013928388277184033
3,26,32,10.774,0.06982836100038428
3,26,64,9.626000000000001,0.021587033144922864
3,26,128,15.506,0.06329296959378687
3,26,256,15.811999999999998,0.07651143705355448
3,26,512,17.726,0.03043024810940602
3,26,1024,21.332,0.01827566688249685
3,26,2048,28.133999999999997,0.1795717126943999
3,26,4096,37.994,0.13724430771438198
3,26,8192,59.553999999999995,0.10171528891961107
3,26,16384,106.44800000000001,0.16356650023767086
3,26,32768,176.448,0.199884966918473
3,26,65536,302.86199999999997,1.138592991371366
3,26,131072,582.7520000000001,1.9352503713990057
3,26,262144,1061.016,0.5372671588697565
3,26,524288,2073.32,1.9766587970613128
3,26,1048576,4054.81,3.505629757974989
3,28,1,7.275999999999999,0.013638181696985765
3,28,2,7.298,0.016852299546352787
3,28,4,7.252,0.008602325267042587
3,28,8,7.220000000000001,0.010954451150103413
3,28,16,7.228,0.015620499351813328
3,28,32,11.559999999999999,0.047010637094172636
3,28,64,10.334,0.02839013913315681
3,28,128,16.808,0.05607138307550477
3,28,256,17.264,0.16222207001514954
3,28,512,19.131999999999998,0.05774080013300837
3,28,1024,23.190000000000005,0.022360679774997973
3,28,2048,30.278,0.06938299503480654
3,28,4096,41.065999999999995,0.12878664527038475
3,28,8192,64.184,0.10419213022104795
3,28,16384,114.17,0.15306861206661596
3,28,32768,189.02,0.32214903383372
3,28,65536,345.49999999999994,3.041927020820848
3,28,131072,599.4559999999999,1.0452588196231585
3,28,262144,1137.268,1.5023428370382141
3,28,524288,2217.696,0.9695854784391059
3,28,1048576,4334.008,3.203854553502647
3,30,1,7.562,0.02887905815638728
3,30,2,7.7299999999999995,0.18828170383762743
3,30,4,7.587999999999999,0.03652396473549947
3,30,8,7.508,0.03072458299147441
3,30,16,7.478,0.03184336665618128
3,30,32,12.03,0.06526867548832269
3,30,64,10.822,0.07206941098690894
3,30,128,17.738,0.09866103587536486
3,30,256,18.024,0.059380131357213976
3,30,512,20.162,0.04487761134463345
3,30,1024,24.660000000000004,0.0457165178026498
3,30,2048,32.312,0.07946068210127602
3,30,4096,43.808,0.12756958885251637
3,30,8192,68.91,0.19235384061671357
3,30,16384,143.75799999999998,5.867433340055936
3,30,32768,209.138,3.452566291905195
3,30,65536,346.534,1.6275705821868447
3,30,131072,639.9220000000001,1.5038364272752567
3,30,262144,1216.018,1.3682156262811656
3,30,524288,2370.478,3.3636191817742715
3,30,1048576,4640.782000000001,6.023484373682672
3,32,1,9.474,0.023790754506740498
3,32,2,9.432,0.034263683398023645
3,32,4,9.294,0.020639767440550273
3,32,8,9.202000000000002,0.013190905958273014
3,32,16,9.212,0.02222611077089277
3,32,32,13.916,0.2285300855467393
3,32,64,12.762,0.05023942674832205
3,32,128,20.182,0.035552777669262375
3,32,256,20.288,0.04973932046178366
3,32,512,22.672000000000004,0.030232432915662123
3,32,1024,26.738,0.02596150997149399
3,32,2048,35.17,0.04722287581247031
3,32,4096,47.856,0.13930541985149017
3,32,8192,74.308,0.28773946548918256
3,32,16384,142.426,9.823382614965174
3,32,32768,252.4,4.65480504425266
3,32,65536,367.054,1.416197726308018
3,32,131072,679.818,0.7320068305692201
3,32,262144,1296.226,0.6381661225731213
3,32,524288,2536.266,1.8445124016931715
3,32,1048576,5126.4800000000005,10.204856196929002
3,34,1,11.341999999999999,0.05571355310873655
3,34,2,11.22,0.049295030175464945
3,34,4,11.154,0.02379075450674078
3,34,8,11.098,0.012806248474865646
3,34,16,11.202,0.06272160712226674
3,34,32,15.934000000000001,0.05427706698044731
3,34,64,14.77,0.02774887385102317
3,34,128,22.44,0.05882176467941086
3,34,256,22.687999999999995,0.10041912168506542
3,34,512,25.439999999999998,0.19447364860052418
3,34,1024,29.416000000000004,0.016911534525287802
3,34,2048,38.414,0.11578428218026802
3,34,4096,52.732000000000006,1.0696653682343842
3,34,8192,83.932,1.052289884014857
3,34,16384,142.47600000000003,1.1180635044575955
3,34,32768,228.89399999999995,0.3120993431585519
3,34,65536,387.836,0.6218166932464906
3,34,131072,723.266,0.4991653032813927
3,34,262144,1377.432,0.8652710557969827
3,34,524288,2672.218,1.5334255769354677
3,34,1048576,5433.710000000001,13.89552877727223
3,36,1,11.638,0.03733630940518904
3,36,2,11.592,0.027459060435491983
3,36,4,11.554,0.045782092569038375
3,36,8,11.52,0.043011626335213105
3,36,16,11.472000000000001,0.024166091947188967
3,36,32,16.552,0.16088505213350282
3,36,64,15.39,0.09203260291874821
3,36,128,23.384000000000004,0.030099833886584923
3,36,256,23.887999999999998,0.16350535159437468
3,36,512,26.46,0.04110960958218879
3,36,1024,31.28,0.1313011804973588
3,36,2048,40.828,0.1523942256123899
3,36,4096,54.624,0.13673331708109823
3,36,8192,88.94399999999999,0.30218537357059433
3,36,16384,149.358,0.14347125147568568
3,36,32768,242.01,0.2893613657695165
3,36,65536,410.468,0.36547776950178146
3,36,131072,773.082,6.942711574017738
3,36,262144,1456.616,0.7315914160239787
3,36,524288,2831.928,2.107452016061111
3,36,1048576,5760.548,12.418043082547346
3,38,1,12.056000000000001,0.01860107523773827
3,38,2,12.014000000000001,0.008124038404635787
3,38,4,11.940000000000001,0.02302172886644253
3,38,8,11.889999999999999,0.028106938645110484
3,38,16,11.886,0.02111871208194284
3,38,32,17.146,0.07852388171760231
3,38,64,15.952000000000002,0.0869137503505634
3,38,128,24.394,0.06903622237637279
3,38,256,24.854000000000003,0.09091754506144567
3,38,512,27.7,0.036469165057620545
3,38,1024,32.652,0.04705316142407352
3,38,2048,42.666000000000004,0.06599999999999888
3,38,4096,57.166,0.029086079144497467
3,38,8192,92.828,0.1535708305636188
3,38,16384,157.43,0.15915401345866262
3,38,32768,256.06000000000006,0.3378165182462255
3,38,65536,433.284,0.17744294857784645
3,38,131072,813.084,2.434909854594199
3,38,262144,1539.7599999999998,1.1417968295629637
3,38,524288,2996.566,3.9983779211074983
3,38,1048576,6087.900000000001,4.238033742197029
3,40,1,12.424000000000001,0.01630950643029999
3,40,2,12.366000000000001,0.016911534525287777
3,40,4,12.312000000000001,0.017720045146669233
3,40,8,12.322,0.0635137780328015
3,40,16,12.288,0.022671568097509198
3,40,32,17.68,0.14074800176201474
3,40,64,16.476000000000003,0.09511046209539717
3,40,128,25.622000000000003,0.11804236527620034
3,40,256,25.946000000000005,0.11245443521711371
