Algorithm,Procs,Size,Avg Latency(us) Mean,Avg Latency(us) Std Error
0,2,1,0.28,0.009486832980505133
0,2,2,0.28200000000000003,0.007348469228349527
0,2,4,0.274,0.008124038404635959
0,2,8,0.274,0.010295630140986998
0,2,16,0.27,0.009486832980505138
0,2,32,0.32199999999999995,0.011575836902790227
0,2,64,0.31799999999999995,0.011575836902790225
0,2,128,0.404,0.01503329637837291
0,2,256,0.398,0.01655294535724685
0,2,512,0.45199999999999996,0.01685229954635272
0,2,1024,0.49800000000000005,0.019339079605813724
0,2,2048,0.662,0.02922327839240492
0,2,4096,0.9880000000000001,0.028000000000000004
0,2,8192,1.576,0.04433959855479073
0,2,16384,3.982,0.11989161772200761
0,2,32768,6.628,0.1907196895970629
0,2,65536,8.553999999999998,0.2154205189855412
0,2,131072,12.581999999999999,0.32081770524707626
0,2,262144,20.53,0.5285357130790692
0,2,524288,38.438,1.0545681580628155
0,2,1048576,78.642,1.7846635537265843
0,4,1,0.866,0.0060000000000000045
0,4,2,0.8699999999999999,0.008366600265340763
0,4,4,0.8560000000000001,0.008717797887081354
0,4,8,0.8140000000000001,0.010770329614268992
0,4,16,0.784,0.01029563014098699
0,4,32,0.9259999999999999,0.010770329614268992
0,4,64,0.8699999999999999,0.0070710678118654805
0,4,128,1.3739999999999999,0.00599999999999996
0,4,256,1.3980000000000001,0.011999999999999983
0,4,512,1.5380000000000003,0.006633249580710805
0,4,1024,1.886,0.011661903789690562
0,4,2048,2.73,0.021213203435596434
0,4,4096,3.6659999999999995,0.0320312347560939
0,4,8192,6.1240000000000006,0.052687759489277945
0,4,16384,9.198,0.1122229922965876
0,4,32768,13.572,0.11939011684389962
0,4,65536,22.395999999999997,0.36357392645788
0,4,131072,40.286,0.7741873158351282
0,4,262144,78.016,1.0115710553391692
0,4,524288,168.01,2.355156045785499
0,4,1048576,513.892,1.7214249911047552
0,6,1,0.992,0.1084158659975559
0,6,2,0.9959999999999999,0.10500476179678708
0,6,4,0.978,0.08765842800324451
0,6,8,0.9799999999999999,0.073824115301167
0,6,16,0.9560000000000001,0.05591064299397743
0,6,32,1.1640000000000001,0.05221110992882645
0,6,64,1.0639999999999998,0.046968074263269495
0,6,128,1.6300000000000001,0.05830951894845301
0,6,256,1.6700000000000004,0.04658325879540847
0,6,512,1.844,0.051048996072400876
0,6,1024,2.1879999999999997,0.060613529842766925
0,6,2048,3.15,0.06457553716385178
0,6,4096,4.162000000000001,0.06755738301621816
0,6,8192,8.45,0.0412310562561766
0,6,16384,10.672,0.22039509976403748
0,6,32768,18.436,0.15400000000000005
0,6,65536,33.92,0.37866872065170587
0,6,131072,66.60000000000001,0.9923154740303115
0,6,262144,129.99200000000002,1.5750853945104064
0,6,524288,257.128,5.724181513544098
0,6,1048576,920.9739999999999,1.2073342536348406
0,8,1,0.9720000000000001,0.029732137494637014
0,8,2,0.9400000000000001,0.020976176963403023
0,8,4,0.938,0.023108440016582684
0,8,8,1.0080000000000002,0.0267207784317748
0,8,16,0.9959999999999999,0.026758176320519328
0,8,32,1.37,0.033615472627943205
0,8,64,1.1700000000000002,0.020248456731316575
0,8,128,1.932,0.024166091947189126
0,8,256,1.9619999999999997,0.014628738838327805
0,8,512,2.184,0.015033296378372897
0,8,1024,2.586,0.013638181696985842
0,8,2048,3.474,0.017492855684535874
0,8,4096,4.936,0.03695943722515264
0,8,8192,7.586,0.07420242583635654
0,8,16384,13.684000000000001,0.21442014830700964
0,8,32768,22.486,0.37393314910555836
0,8,65536,43.48800000000001,0.5389007329740796
0,8,131072,87.86800000000001,0.9507965081972055
0,8,262144,176.574,1.4810185684183734
0,8,524288,348.56800000000004,2.3846328857918584
0,8,1048576,616.7760000000001,16.26242743258214
0,10,1,1.46,0.12401612798341995
0,10,2,1.452,0.10091580649234293
0,10,4,1.444,0.09657121724406295
0,10,8,1.492,0.06319810123729983
0,10,16,1.454,0.05793099343184092
0,10,32,1.704,0.056089214649520595
0,10,64,1.5439999999999998,0.031080540535840095
0,10,128,2.238,0.03624913792078373
0,10,256,2.248,0.031368774282716255
0,10,512,2.432,0.030724582991474392
0,10,1024,2.9619999999999997,0.032465366161495826
0,10,2048,3.7920000000000003,0.035693136595149534
0,10,4096,5.433999999999999,0.08925245094673886
0,10,8192,8.488,0.07116178749862878
0,10,16384,15.092000000000002,0.31385346899468863
0,10,32768,27.267999999999994,0.31537913691301794
0,10,65536,53.384,0.6786648657474464
0,10,131072,102.94599999999998,3.7715601546309707
0,10,262144,205.36999999999998,8.549047315344561
0,10,524288,404.53999999999996,18.367320980480528
0,10,1048576,740.118,14.727134616075189
0,12,1,1.166,0.08857764955111418
0,12,2,1.184,0.0849470423263812
0,12,4,1.186,0.07704544113703288
0,12,8,1.294,0.05988321968631947
0,12,16,1.2719999999999998,0.04872371086031932
0,12,32,1.552,0.04872371086031932
0,12,64,1.384,0.04589117562233505
0,12,128,2.1420000000000003,0.03916631205513229
0,12,256,2.138,0.03773592452822642
0,12,512,2.34,0.02428991560298227
0,12,1024,2.9120000000000004,0.02289104628451921
0,12,2048,3.8579999999999997,0.02437211521390791
0,12,4096,5.5920000000000005,0.03746998799039043
0,12,8192,8.75,0.0824621125123533
0,12,16384,15.922,0.2152997909892158
0,12,32768,31.753999999999998,0.3510925803830095
0,12,65536,63.034000000000006,0.9108380756204695
0,12,131072,129.5,1.178019524456197
0,12,262144,258.39199999999994,2.385123476887519
0,12,524288,500.02400000000006,16.854525386376206
0,12,1048576,865.134,40.94721182205206
0,14,1,1.386,0.05334791467339656
0,14,2,1.384,0.06021627686929838
0,14,4,1.3719999999999999,0.05944745579080739
0,14,8,1.436,0.05334791467339656
0,14,16,1.378,0.04831148931672464
0,14,32,1.7099999999999997,0.04868264577855234
0,14,64,1.462,0.03292415526630868
0,14,128,2.226,0.032649655434629
0,14,256,2.202,0.022891046284519153
0,14,512,2.362,0.015937377450509216
0,14,1024,3.02,0.0070710678118654805
0,14,2048,3.846,0.019390719429665332
0,14,4096,5.8740000000000006,0.060299253726725344
0,14,8192,9.128,0.04586937976471872
0,14,16384,16.634,0.1948743184721884
0,14,32768,35.264,0.16705089044958724
0,14,65536,71.98400000000001,0.4215518947887659
0,14,131072,150.23,4.064638975358084
0,14,262144,291.804,4.675479226774515
0,14,524288,572.078,19.365515330091274
0,14,1048576,1061.672,15.283467996498704
0,16,1,1.408,0.06851277253184256
0,16,2,1.394,0.0749399759807808
0,16,4,1.386,0.07187489130426565
0,16,8,1.3379999999999999,0.0537028863283902
0,16,16,1.3119999999999998,0.05073460357586328
0,16,32,1.624,0.06004997918400971
0,16,64,1.552,0.04282522621072769
0,16,128,2.474,0.03264965543462899
0,16,256,2.466,0.031080540535840095
0,16,512,2.6580000000000004,0.02576819745345025
0,16,1024,3.178,0.02395829710142188
0,16,2048,4.279999999999999,0.03435112807463531
0,16,4096,5.76,0.016431676725154956
0,16,8192,8.772,0.028178005607210566
0,16,16384,17.322000000000003,0.1396567220007687
0,16,32768,29.637999999999998,0.250487524639452
0,16,65536,53.827999999999996,0.48490617649190587
0,16,131072,102.374,0.4347021969118629
0,16,262144,200.70199999999997,1.9203525717950876
0,16,524288,393.432,3.2472425225104398
0,16,1048576,357.80000000000007,1.3224333631604979
0,18,1,1.598,0.19087692369692044
0,18,2,1.5979999999999999,0.18402173784637507
0,18,4,1.5899999999999999,0.16446884203398526
0,18,8,1.5559999999999998,0.14928496240412154
0,18,16,1.536,0.13052202879207783
0,18,32,1.832,0.10036931802099686
0,18,64,1.754,0.0953205119583398
0,18,128,2.784,0.05758472019555189
0,18,256,2.79,0.05648008498577174
0,18,512,2.962,0.03597221149720988
0,18,1024,3.63,0.036606010435446215
0,18,2048,4.726000000000001,0.0488466989672792
0,18,4096,6.35,0.0672309452558865
0,18,8192,9.190000000000001,0.06074537019394965
0,18,16384,18.57,0.15556349186104046
0,18,32768,31.145999999999997,0.1926551322960278
0,18,65536,55.916,0.47755209139946153
0,18,131072,107.36600000000001,0.568063376745941
0,18,262144,208.334,1.5949407512506546
0,18,524288,403.774,7.884622755718876
0,18,1048576,517.27,1.12620158053521
0,20,1,1.352,0.10489995233554686
