
Algorithm: 0

Procs: 2

Test: 1
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.24              0.13              0.36        1000              0.24              0.31              0.35
2                       0.66              0.57              0.75        1000              0.63              0.75              0.81
4                       0.65              0.57              0.73        1000              0.63              0.75              0.81
8                       0.28              0.16              0.41        1000              0.28              0.34              0.38
16                      0.28              0.16              0.40        1000              0.28              0.33              0.39
32                      0.30              0.14              0.47        1000              0.29              0.42              0.48
64                      0.29              0.14              0.44        1000              0.27              0.39              0.45
128                     0.37              0.18              0.56        1000              0.36              0.42              0.43
256                     0.39              0.19              0.59        1000              0.38              0.46              0.54
512                     0.43              0.20              0.67        1000              0.42              0.49              0.52
1024                    0.51              0.22              0.81        1000              0.50              0.60              0.62
2048                    0.69              0.24              1.14        1000              0.68              0.75              0.77
4096                    1.03              0.39              1.67        1000              1.01              1.11              1.18
8192                    1.63              0.66              2.61        1000              1.59              1.71              1.79
16384                   4.30              2.86              5.74         100              2.90              8.64             12.41
32768                   5.19              3.58              6.81         100              5.03              5.23              5.30
65536                   9.20              7.06             11.34         100              9.06              9.31             13.67
131072                 16.69             13.83             19.55         100             16.55             16.82             21.29
262144                 21.67             17.76             25.57         100             21.49             21.74             27.72
524288                 56.58             42.53             70.63         100             56.18             59.26             64.57
1048576               131.20             91.23            171.17         100            131.41            135.99            137.70

Test: 2
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.17              0.08              0.27        1000              0.16              0.24              0.26
2                       0.49              0.41              0.57        1000              0.47              0.58              0.64
4                       0.43              0.35              0.52        1000              0.42              0.52              0.58
8                       0.20              0.09              0.31        1000              0.19              0.27              0.29
16                      0.22              0.09              0.35        1000              0.22              0.28              0.32
32                      0.20              0.07              0.34        1000              0.19              0.28              0.30
64                      0.22              0.07              0.36        1000              0.20              0.27              0.31
128                     0.27              0.11              0.44        1000              0.26              0.33              0.36
256                     0.28              0.11              0.45        1000              0.26              0.36              0.38
512                     0.32              0.12              0.52        1000              0.30              0.39              0.43
1024                    0.36              0.12              0.60        1000              0.34              0.43              0.47
2048                    0.50              0.15              0.85        1000              0.47              0.57              0.59
4096                    0.76              0.29              1.23        1000              0.74              0.85              0.88
8192                    1.23              0.54              1.91        1000              1.21              1.29              1.33
16384                   3.23              2.11              4.34         100              2.25              6.55              8.25
32768                   4.13              3.01              5.26         100              3.95              4.07              6.18
