Algorithm,Procs,Size,Avg Latency(us) Mean,Avg Latency(us) Std Error
0,2,1,0.18600000000000003,0.013638181696985852
0,2,2,0.5139999999999999,0.03668787265568829
0,2,4,0.49800000000000005,0.041400483088968904
0,2,8,0.22800000000000004,0.013928388277184123
0,2,16,0.22999999999999998,0.014491376746189442
0,2,32,0.22799999999999998,0.01827566688249706
0,2,64,0.22799999999999998,0.016552945357246843
0,2,128,0.298,0.01959591794226542
0,2,256,0.312,0.02009975124224178
0,2,512,0.35,0.02073644135332772
0,2,1024,0.396,0.028740215726399825
0,2,2048,0.532,0.03954743986657036
0,2,4096,0.8099999999999999,0.055045435778091546
0,2,8192,1.3,0.0825832912882503
0,2,16384,3.444,0.21409343754538573
0,2,32768,4.324,0.2179816506038984
0,2,65536,7.709999999999999,0.3725855606434579
0,2,131072,14.388,0.5755814451491642
0,2,262144,19.965999999999998,0.7945602557389845
0,2,524288,52.544000000000004,1.0384632877478137
0,4,1,0.8719999999999999,0.03733630940518895
0,4,2,0.8819999999999999,0.03200000000000001
0,4,4,0.882,0.0351283361405006
0,4,8,0.874,0.02942787793912433
0,4,16,0.86,0.027928480087537882
0,4,32,1.0100000000000002,0.02880972058177589
0,4,64,0.97,0.02366431913239847
0,4,128,1.35,0.03435112807463532
0,4,256,1.3559999999999999,0.02204540768504858
0,4,512,1.4659999999999997,0.02204540768504862
0,4,1024,1.638,0.019078784028338885
0,4,2048,2.1719999999999997,0.023537204591879607
0,4,4096,4.068,0.05462600113499072
0,4,8192,6.06,0.04335896677735766
0,4,16384,11.25,0.07981227975693972
0,4,32768,17.064,0.034146742157927915
0,4,65536,17.759999999999998,0.027748873851023006
0,4,131072,51.129999999999995,3.38767767061744
0,4,262144,63.754,0.38071774321667684
0,4,524288,463.3639999999999,1.785823619510058
0,8,1,0.916,0.018055470085267783
0,8,2,0.9200000000000002,0.015811388300841885
0,8,4,0.9120000000000001,0.020346989949375803
0,8,8,0.916,0.0150332963783729
0,8,16,0.9019999999999999,0.013190905958272915
0,8,32,1.142,0.009695359714832642
0,8,64,1.0379999999999998,0.014966629547095779
0,8,128,1.342,0.009695359714832623
0,8,256,1.392,0.009695359714832642
0,8,512,1.4899999999999998,0.008366600265340763
0,8,1024,1.6780000000000002,0.008602325267042634
0,8,2048,2.182,0.012806248474865667
0,8,4096,3.04,0.01224744871391592
0,8,8192,3.804,0.016911534525287732
0,8,16384,8.272,0.14252719038836056
