Algorithm,Procs,Size,Avg Latency(us) Mean,Avg Latency(us) Std Error
1,2,1,0.17600000000000002,0.005999999999999998
1,2,2,0.194,0.008124038404635957
1,2,4,0.192,0.011575836902790224
1,2,8,0.19000000000000003,0.007071067811865473
1,2,16,0.178,0.011135528725660043
1,2,32,0.21799999999999997,0.0058309518948453
1,2,64,0.22199999999999998,0.004898979485566355
1,2,128,0.29200000000000004,0.009695359714832657
1,2,256,0.296,0.006782329983125267
1,2,512,0.324,0.007483314773547879
1,2,1024,0.37,0.008366600265340763
1,2,2048,0.502,0.008602325267042635
1,2,4096,0.7639999999999999,0.006782329983125273
1,2,8192,1.262,0.03541186241925153
1,2,16384,3.2600000000000002,0.015491933384829668
1,2,32768,4.1240000000000006,0.04118252056394805
1,2,65536,7.386,0.009273618495495687
1,2,131072,13.833999999999998,0.014352700094407287
1,2,262144,19.32,0.14923136399564277
1,2,524288,50.774,0.08669486720677361
1,2,1048576,124.61600000000001,0.0911921049214242
1,4,1,0.5919999999999999,0.01624807680927192
1,4,2,0.5760000000000001,0.018330302779823355
1,4,4,0.5760000000000001,0.015684387141358114
1,4,8,0.58,0.014491376746189437
1,4,16,0.5660000000000001,0.012083045973594561
1,4,32,0.616,0.0150332963783729
1,4,64,0.5940000000000001,0.009797958971132701
1,4,128,0.866,0.00979795897113272
1,4,256,0.8779999999999999,0.0058309518948453055
1,4,512,0.952,0.010198039027185565
1,4,1024,1.0719999999999998,0.008000000000000009
1,4,2048,1.4060000000000001,0.006782329983125273
1,4,4096,1.956,0.006782329983125273
1,4,8192,3.142,0.015297058540778348
1,4,16384,6.308,0.03006659275674577
1,4,32768,11.876000000000001,0.04945705207551294
1,4,65536,22.247999999999998,0.13097327971765885
1,4,131072,41.404,0.13504073459515867
1,4,262144,63.468,0.3288221403737901
1,4,524288,142.154,0.33189757456179086
1,4,1048576,317.582,0.8431690222013609
1,6,1,0.708,0.01933907960581371
1,6,2,0.692,0.021307275752662516
1,6,4,0.688,0.012409673645990845
1,6,8,0.682,0.01624807680927191
1,6,16,0.664,0.009273618495495711
1,6,32,0.704,0.010295630140986991
1,6,64,0.672,0.010677078252031312
1,6,128,0.922,0.008602325267042622
1,6,256,0.9139999999999999,0.012083045973594565
1,6,512,0.944,0.011661903789690587
1,6,1024,1.052,0.008000000000000007
1,6,2048,1.314,0.00979795897113272
1,6,4096,1.81,0.007745966692414842
1,6,8192,2.842,0.012000000000000009
1,6,16384,5.848000000000001,0.0356931365951495
1,6,32768,10.884,0.03613862199918542
1,6,65536,20.198,0.08058535847162353
1,6,131072,37.251999999999995,0.14374978260853172
1,6,262144,99.674,0.8184167642466769
1,6,524288,236.06599999999997,1.8508689850986209
1,6,1048576,547.5719999999999,4.371619150841022
1,8,1,0.702,0.022671568097509264
1,8,2,0.6900000000000001,0.02774887385102321
1,8,4,0.6839999999999999,0.030757112998459398
1,8,8,0.6779999999999999,0.025377155080899036
1,8,16,0.6639999999999999,0.02181742422927142
1,8,32,0.726,0.0196468827043885
1,8,64,0.688,0.020832666655999647
1,8,128,1.016,0.0201494416796099
1,8,256,1.008,0.017435595774162708
1,8,512,1.0500000000000003,0.013038404810405309
1,8,1024,1.1939999999999997,0.011224972160321832
1,8,2048,1.464,0.007483314773547889
1,8,4096,2.058,0.011575836902790277
1,8,8192,3.2800000000000002,0.015165750888103069
1,8,16384,6.82,0.02073644135332762
1,8,32768,12.9,0.0320936130717624
1,8,65536,24.044,0.06485368146836357
1,8,131072,47.745999999999995,0.1203577999134252
1,8,262144,136.03400000000002,1.424484468149793
1,8,524288,322.662,3.6883863680476923
1,8,1048576,783.384,7.999917874578455
1,10,1,0.666,0.018601075237738265
1,10,2,0.66,0.01643167672515498
1,10,4,0.66,0.020248456731316585
1,10,8,0.638,0.015937377450509223
1,10,16,0.634,0.015684387141358114
1,10,32,0.6660000000000001,0.012083045973594561
1,10,64,0.646,0.008124038404635967
1,10,128,0.8779999999999999,0.014282856857085713
1,10,256,0.8640000000000001,0.015684387141358135
1,10,512,0.8720000000000001,0.01319090595827293
1,10,1024,0.976,0.010295630140987007
1,10,2048,1.166,0.010295630140987007
1,10,4096,1.6480000000000001,0.009695359714832635
1,10,8192,2.7560000000000002,0.009273618495495668
1,10,16384,6.3420000000000005,0.027092434368288155
1,10,32768,12.516,0.025019992006393692
1,10,65536,23.178000000000004,0.05944745579080731
1,10,131072,45.263999999999996,0.19361301609137802
1,10,262144,162.414,1.8723397127658232
1,10,524288,399.7099999999999,3.407205599901483
1,10,1048576,997.842,6.29260470711453
1,12,1,0.772,0.020099751242241795
1,12,2,0.722,0.020346989949375803
1,12,4,0.7300000000000001,0.021213203435596423
1,12,8,0.74,0.022583179581272428
1,12,16,0.7040000000000001,0.02461706725018234
1,12,32,0.768,0.012409673645990866
1,12,64,0.74,0.014832396974191338
1,12,128,1.002,0.01907878402833893
1,12,256,1.0240000000000002,0.013638181696985868
1,12,512,1.016,0.014696938456699081
1,12,1024,1.15,0.012247448713915863
1,12,2048,1.406,0.011224972160321797
1,12,4096,1.916,0.012884098726725137
1,12,8192,3.13,0.012247448713915882
1,12,16384,7.134,0.03722902093797268
1,12,32768,14.070000000000002,0.06228964600958966
1,12,65536,27.753999999999998,0.08370185183136644
1,12,131072,57.524,0.3553392744969243
1,12,262144,208.706,2.3099861471446106
1,12,524288,495.7339999999999,4.483568444888515
1,12,1048576,1255.064,10.067893821450445
1,14,1,1.094,0.08213403679352427
1,14,2,1.078,0.07439085965358919
1,14,4,1.06,0.0614817045957576
1,14,8,1.048,0.05257375771237966
1,14,16,1.044,0.043428101501216926
1,14,32,1.082,0.048928519290900266
1,14,64,1.06,0.03807886552931953
1,14,128,1.316,0.023790754506740616
