
Algorithm: 3

Procs: 2

Test: 1
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.23              0.11              0.34        1000              0.22              0.31              0.33
2                       0.25              0.11              0.40        1000              0.25              0.32              0.37
4                       0.23              0.11              0.35        1000              0.22              0.31              0.33
8                       0.26              0.11              0.41        1000              0.25              0.33              0.37
16                      0.23              0.11              0.34        1000              0.22              0.31              0.33
32                      0.29              0.11              0.46        1000              0.26              0.36              0.40
64                      0.27              0.11              0.42        1000              0.25              0.34              0.35
128                     0.36              0.16              0.55        1000              0.34              0.44              0.45
256                     0.37              0.16              0.57        1000              0.35              0.45              0.47
512                     0.41              0.17              0.65        1000              0.39              0.49              0.52
1024                    0.47              0.18              0.75        1000              0.45              0.55              0.58
2048                    0.61              0.20              1.01        1000              0.58              0.69              0.72
4096                    0.91              0.36              1.46        1000              0.89              1.01              1.05
8192                    1.43              0.63              2.23        1000              1.42              1.50              1.58
16384                   3.81              2.52              5.09         100              2.67              7.53             11.14
32768                   4.73              3.45              6.00         100              4.55              4.68              5.12
65536                   8.37              6.65             10.09         100              8.32              8.46              8.49
131072                 15.79             13.37             18.22         100             15.59             15.75             24.64
262144                 23.26             17.51             29.01         100             23.11             23.42             28.79
524288                 57.82             41.30             74.34         100             57.41             61.72             63.00
1048576               137.07             91.82            182.32         100            136.31            141.20            142.82

Test: 2
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.23              0.10              0.35        1000              0.21              0.30              0.32
2                       0.25              0.10              0.41        1000              0.25              0.31              0.36
4                       0.23              0.10              0.35        1000              0.21              0.30              0.32
8                       0.25              0.10              0.39        1000              0.25              0.32              0.37
16                      0.23              0.11              0.35        1000              0.21              0.31              0.32
32                      0.29              0.12              0.47        1000              0.27              0.39              0.48
64                      0.26              0.11              0.41        1000              0.24              0.35              0.41
128                     0.33              0.14              0.53        1000              0.32              0.36              0.39
256                     0.34              0.14              0.53        1000              0.32              0.40              0.46
512                     0.38              0.15              0.62        1000              0.37              0.43              0.48
1024                    0.43              0.15              0.71        1000              0.41              0.46              0.48
2048                    0.57              0.18              0.96        1000              0.55              0.61              0.64
4096                    0.86              0.33              1.39        1000              0.84              0.92              0.97
8192                    1.39              0.61              2.18        1000              1.37              1.46              1.50
16384                   3.77              2.44              5.10         100              2.60              7.40              9.20
32768                   4.62              3.34              5.89         100              4.46              4.59              7.14
65536                   8.31              6.59             10.03         100              8.26              8.43              8.45
131072                 15.60             13.22             17.98         100             15.51             15.72             20.12
262144                 23.80             17.99             29.60         100             23.63             24.07             28.52
524288                 56.76             40.57             72.96         100             56.36             61.17             62.18
1048576               135.28             90.84            179.71         100            134.49            138.93            143.37

Test: 3
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.23              0.11              0.35        1000              0.22              0.33              0.35
2                       0.25              0.11              0.39        1000              0.25              0.34              0.39
4                       0.23              0.11              0.35        1000              0.22              0.32              0.34
8                       0.25              0.11              0.40        1000              0.25              0.33              0.38
16                      0.23              0.11              0.35        1000              0.22              0.32              0.36
32                      0.29              0.11              0.47        1000              0.28              0.38              0.43
64                      0.27              0.11              0.44        1000              0.28              0.33              0.40
128                     0.34              0.14              0.54        1000              0.32              0.43              0.46
256                     0.35              0.15              0.55        1000              0.33              0.45              0.49
512                     0.40              0.16              0.64        1000              0.38              0.49              0.52
1024                    0.45              0.17              0.72        1000              0.42              0.54              0.57
2048                    0.59              0.20              0.98        1000              0.57              0.69              0.72
4096                    0.87              0.34              1.41        1000              0.86              0.98              1.02
8192                    1.41              0.63              2.19        1000              1.39              1.52              1.57
16384                   3.83              2.48              5.19         100              2.62              7.43             11.09
32768                   4.66              3.40              5.92         100              4.51              4.63              7.31
65536                   8.40              6.70             10.10         100              8.35              8.50              8.65
131072                 15.75             13.35             18.14         100             15.69             15.90             17.98
262144                 24.54             18.34             30.74         100             24.29             24.73             28.91
524288                 57.19             41.15             73.22         100             56.80             60.32             62.24
1048576               135.17             90.81            179.53         100            134.22            139.43            142.27

Test: 4
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.22              0.10              0.33        1000              0.21              0.27              0.33
2                       0.26              0.10              0.41        1000              0.25              0.30              0.37
4                       0.23              0.10              0.36        1000              0.22              0.28              0.34
8                       0.25              0.10              0.40        1000              0.25              0.30              0.36
16                      0.23              0.10              0.36        1000              0.22              0.28              0.34
32                      0.28              0.10              0.47        1000              0.27              0.37              0.41
64                      0.25              0.10              0.41        1000              0.25              0.34              0.39
128                     0.32              0.13              0.51        1000              0.31              0.37              0.40
256                     0.34              0.15              0.53        1000              0.32              0.40              0.47
512                     0.37              0.14              0.60        1000              0.36              0.42              0.47
1024                    0.43              0.15              0.70        1000              0.41              0.47              0.50
2048                    0.57              0.18              0.95        1000              0.55              0.59              0.62
4096                    0.85              0.33              1.37        1000              0.83              0.92              0.95
8192                    1.38              0.60              2.16        1000              1.36              1.45              1.49
16384                   3.73              2.49              4.97         100              2.61              7.48              7.71
32768                   4.58              3.33              5.83         100              4.44              4.56              4.59
65536                   8.26              6.52              9.99         100              8.21              8.41              8.48
131072                 15.47             13.06             17.88         100             15.43             15.68             17.83
262144                 23.49             17.53             29.45         100             23.35             23.83             27.38
524288                 56.28             40.15             72.41         100             55.96             58.89             61.10
1048576               134.10             89.20            179.01         100            132.52            137.04            160.09

Test: 5
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.23              0.10              0.36        1000              0.23              0.29              0.32
2                       0.25              0.10              0.40        1000              0.25              0.31              0.36
4                       0.26              0.10              0.42        1000              0.25              0.31              0.35
8                       0.26              0.10              0.42        1000              0.25              0.32              0.36
16                      0.26              0.10              0.41        1000              0.25              0.32              0.36
32                      0.29              0.10              0.47        1000              0.27              0.38              0.44
64                      0.28              0.10              0.46        1000              0.26              0.37              0.43
