
Mapping: core
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.82              0.13              3.84        1000              0.78              1.07              1.79
2                       0.82              0.13              3.81        1000              0.78              1.01              1.98
4                       0.80              0.13              3.77        1000              0.77              0.97              1.56
8                       0.81              0.12              3.81        1000              0.77              1.02              1.73
16                      0.80              0.11              3.82        1000              0.77              0.96              1.74
32                      0.90              0.12              4.05        1000              0.87              1.07              1.90
64                      0.87              0.11              4.47        1000              0.83              0.99              1.64
128                     1.02              0.14              4.83        1000              0.99              1.24              1.52
256                     1.02              0.15              5.04        1000              1.00              1.19              1.67
512                     1.11              0.16              5.36        1000              1.09              1.28              1.52
1024                    1.25              0.17              6.07        1000              1.24              1.39              1.79
2048                    1.67              0.21              8.02        1000              1.65              1.80              2.26
4096                    2.39              0.38             11.61        1000              2.34              2.51              2.99
8192                    3.65              0.67             17.28        1000              3.63              3.82              4.12
16384                   6.63              1.72             28.77         100              6.29              7.90              8.39
32768                  10.97              3.37             46.49         100             10.90             11.40             11.97
65536                  28.27              6.53            110.73         100             28.07             29.33             31.54
131072                 65.84             11.21            298.37         100             65.62             67.47             68.58
262144                213.65             37.40            642.54         100            213.44            216.31            217.44
524288                469.81             81.72           1350.50         100            470.08            474.52            475.38
1048576              1055.94            198.64           3013.12         100           1056.02           1061.81           1063.89

Mapping: numa
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.08              0.15              4.30        1000              1.06              1.21              1.85
2                       1.08              0.15              4.41        1000              1.06              1.18              1.78
4                       1.08              0.15              4.32        1000              1.06              1.19              1.96
8                       1.09              0.14              4.47        1000              1.06              1.20              1.74
16                      1.07              0.15              4.32        1000              1.06              1.17              1.75
32                      1.32              0.15              4.93        1000              1.30              1.48              2.02
64                      1.26              0.15              5.26        1000              1.22              1.36              2.29
128                     1.56              0.27              5.74        1000              1.54              1.72              2.14
256                     1.61              0.30              6.03        1000              1.59              1.74              2.14
512                     1.75              0.30              6.49        1000              1.74              1.88              2.07
1024                    2.03              0.33              7.42        1000              2.02              2.14              2.45
2048                    2.63              0.44              9.54        1000              2.61              2.76              3.50
4096                    3.78              0.88             12.96        1000              3.76              3.98              4.57
8192                    6.34              1.67             20.14        1000              6.32              6.51              7.41
16384                  12.15              4.19             33.03         100             11.93             13.36             14.78
32768                  22.58              9.50             54.33         100             22.45             23.39             24.39
65536                  48.37             20.39            119.59         100             48.16             49.58             50.16
131072                111.64             39.47            325.38         100            111.58            113.27            114.20
262144                197.23             30.29            545.25         100            197.17            199.60            199.96
524288                532.09            118.45           1418.43         100            532.60            535.99            540.91
1048576              1348.56            361.54           3426.15         100           1336.23           1466.36           1525.67

Mapping: node
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.66              0.12              4.63        1000              1.61              1.77              3.75
2                       1.63              0.11              4.56        1000              1.61              1.73              2.42
4                       1.65              0.11              4.64        1000              1.61              1.75              3.36
8                       1.65              0.11              4.61        1000              1.61              1.75              3.18
16                      1.67              0.12              4.66        1000              1.61              1.81              3.75
32                      1.82              0.11              5.53        1000              1.79              1.95              3.06
64                      1.99              0.12              5.80        1000              1.94              2.09              3.70
128                     2.20              0.12              6.52        1000              2.16              2.31              3.80
256                     2.49              0.14              6.90        1000              2.44              2.57              4.16
512                     2.92              0.16              8.09        1000              2.89              3.04              4.62
1024                    4.15              0.21             11.12        1000              4.15              4.35              4.83
2048                    5.29              0.27             14.40        1000              5.25              5.53              7.06
4096                    8.33              0.34             22.43        1000              8.29              8.70              9.93
8192                   14.34              0.51             38.20        1000             14.31             14.96             16.03
16384                  23.36              1.08             61.64         100             23.27             24.64             25.37
32768                  45.90              2.06            114.16         100             45.91             47.13             48.16
65536                  92.27              4.10            242.00         100             92.10             94.26             94.88
131072                196.62              8.26            548.14         100            196.56            199.78            200.66
262144                621.54            291.56           1049.10         100            621.73            627.08            630.36
524288               1298.16            504.52           2287.35         100           1298.09           1324.96           1336.91
1048576              2797.17           1033.31           5171.34         100           2793.48           2818.15           2883.67
