
# OSU MPI Gather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
256                     1.88              0.22             35.47       50000              1.83              2.32              2.65
512                     2.03              0.36             43.26       50000              1.97              2.46              2.79
1024                    2.40              0.63             46.07       50000              2.36              2.79              3.12
2048                    3.20              0.14             61.95       50000              3.17              3.64              4.36
4096                    6.12              0.17             92.94       50000              6.09              6.80              7.99
8192                   12.39              0.23            150.05       50000             12.36             13.40             14.39
16384                  28.34              0.48            294.81       50000             28.29             30.76             32.70
32768                  56.19              0.94            566.65       50000             56.06             59.68             62.05
65536                 103.18              1.87           1164.57       50000            102.77            110.55            114.72
131072                157.91              4.31           2586.80       50000            156.88            165.14            171.24
262144               2219.04             61.67           4059.10       50000           2218.93           2234.37           2247.97
