Algorithm,Procs,Size,Avg Latency(us) Mean,Avg Latency(us) Std Error
0,2,1024,0.498,0.0193390796058137
0,4,1024,1.886,0.0116619037896905
0,6,1024,2.188,0.0606135298427669
0,8,1024,2.586,0.0136381816969858
0,10,1024,2.962,0.0324653661614958
0,12,1024,2.9120000000000004,0.0228910462845192
0,14,1024,3.02,0.0070710678118654
0,16,1024,3.178,0.0239582971014218
0,18,1024,3.63,0.0366060104354462
0,20,1024,3.522,0.0251793566240283
0,22,1024,3.4480000000000004,0.0156204993518132
0,24,1024,3.498,0.0283548937575156
2,2,1024,0.5,0.0158113883008419
2,4,1024,1.924,0.0097979589711327
2,6,1024,2.898000000000001,0.0058309518948452
2,8,1024,3.968,0.0086023252670426
2,10,1024,3.568,0.032155870381627
2,12,1024,4.416,0.0150332963783729
2,14,1024,4.88,0.0350713558335004
2,16,1024,5.608,0.0096953597148326
2,18,1024,5.460000000000001,0.0170293863659263
2,20,1024,6.162,0.0091651513899116
2,22,1024,7.024000000000001,0.0116619037896905
2,24,1024,7.698,0.0096953597148327
3,2,1024,0.5720000000000001,0.0165529453572468
3,4,1024,2.7380000000000004,0.0096953597148326
3,6,1024,4.37,0.0122474487139158
3,8,1024,6.202,0.0526687763290548
3,10,1024,8.288,0.0195959179422653
3,12,1024,9.98,0.0130384048104052
3,14,1024,11.686,0.038157568056678
3,16,1024,12.892,0.0135646599662506
3,18,1024,14.982,0.0261533936612439
3,20,1024,16.868000000000002,0.0487237108603197
3,22,1024,18.382,0.0435201102939776
3,24,1024,20.39,0.0756306816047558
5,2,1024,0.446,0.0024494897427831
5,4,1024,1.618,0.0115758369027901
5,6,1024,2.132,0.0096953597148326
5,8,1024,2.448,0.0086023252670426
5,10,1024,2.868,0.0142828568570857
5,12,1024,2.964,0.0074833147735478
5,14,1024,3.088,0.0171464281994822
5,16,1024,3.148,0.0278208554864871
5,18,1024,3.476,0.0112249721603217
5,20,1024,3.4880000000000004,0.0115758369027901
5,22,1024,3.5420000000000003,0.0101980390271855
5,24,1024,3.532,0.0086023252670426
-1,2,1024,0.56,0
-1,3,1024,1.11,0
-1,4,1024,1.6700000000000002,0
-1,5,1024,2.22,0
-1,6,1024,2.7700000000000005,0
-1,7,1024,3.3200000000000003,0
-1,8,1024,3.87,0
-1,9,1024,4.42,0
-1,10,1024,4.97,0
-1,11,1024,5.52,0
-1,12,1024,6.08,0
-1,13,1024,7.5600000000000005,0
-1,14,1024,9.030000000000001,0
-1,15,1024,10.510000000000002,0
-1,16,1024,11.900000000000002,0
-1,17,1024,13.260000000000002,0
-1,18,1024,14.740000000000002,0
-1,19,1024,16.21,0
-1,20,1024,17.69,0
-1,21,1024,19.17,0
-1,22,1024,20.64,0
-1,23,1024,22.11,0
-1,24,1024,23.58,0
