Test	Processes	Size		Total		Communication	Sorting		Merging
1	1		1000000		0.120305	0.000000	0.120305	0.000000
2	1		1000000		0.117715	0.000000	0.117715	0.000000
3	1		1000000		0.116165	0.000000	0.116165	0.000000
1	2		2000000		0.251808	0.064235	0.118508	0.069065
2	2		2000000		0.254372	0.066607	0.118251	0.069514
3	2		2000000		0.385644	0.168381	0.115161	0.102101
1	4		4000000		0.604628	0.225214	0.117518	0.261895
2	4		4000000		0.624717	0.258615	0.115717	0.250384
3	4		4000000		0.599705	0.245656	0.117521	0.236529
1	8		8000000		0.914912	0.333539	0.117301	0.464072
2	8		8000000		0.936013	0.338966	0.115344	0.481703
3	8		8000000		1.416017	0.785680	0.116249	0.514087
1	16		16000000	1.752993	0.734109	0.117645	0.901238
2	16		16000000	1.570664	0.553729	0.114577	0.902358
3	16		16000000	1.832604	0.788095	0.115440	0.929070
1	32		32000000	3.653940	1.556040	0.117631	1.980269
2	32		32000000	3.480139	1.364736	0.116521	1.998882
3	32		32000000	3.206873	1.132661	0.117108	1.957104
1	64		64000000	6.819096	2.348106	0.116231	4.354759
2	64		64000000	6.819364	2.400946	0.114398	4.304021
3	64		64000000	7.386644	2.955631	0.115201	4.315812
1	128		128000000	14.987098	4.760496	0.125142	10.101460
2	128		128000000	15.494988	5.244245	0.126871	10.123873
3	128		128000000	15.002254	4.852894	0.128512	10.020847
