Test	Processes	Size		Total		Communication	Sorting		Merging
1	1		2015809		0.245555	0.000000	0.000000	0.245555
2	1		2015809		0.246856	0.000000	0.000000	0.246856
3	1		2015809		0.247296	0.000000	0.000000	0.247296
1	2		4031618		0.627135	0.127010	0.251646	0.248480
2	2		4031618		0.628855	0.129108	0.252573	0.247174
3	2		4031618		0.629369	0.128686	0.250710	0.249972
1	4		8063236		1.350671	0.285042	0.244868	0.820761
2	4		8063236		1.357132	0.291484	0.247833	0.817815
3	4		8063236		1.350330	0.287754	0.243623	0.818952
1	8		16126472	2.565778	0.547157	0.268287	1.750333
2	8		16126472	2.597270	0.555519	0.266114	1.775637
3	8		16126472	2.609905	0.545291	0.270488	1.794126
1	16		32252944	5.080606	1.088760	0.266324	3.725522
2	16		32252944	5.088638	1.069428	0.258345	3.760865
3	16		32252944	4.987854	1.070596	0.243609	3.673649
1	32		64505888	10.079993	2.059336	0.268701	7.751957
2	32		64505888	10.109763	2.070809	0.268370	7.770583
3	32		64505888	10.092856	2.058754	0.265593	7.768509
1	64		129011776	20.610388	4.041775	0.267868	16.300745
2	64		129011776	20.605827	4.035915	0.265349	16.304563
3	64		129011776	20.716992	4.058560	0.264327	16.394105
1	128		258023552	47.872188	8.357568	0.292080	39.222541
2	128		258023552	47.898852	8.380955	0.291602	39.226295
3	128		258023552	48.111902	8.379777	0.294527	39.437598
1	2	3	
