Test	Processes	Size		Total		Communication	Sorting		Merging
1	1		100000		0.015892	0.000000	0.015892	0.000000
2	1		100000		0.009503	0.000000	0.009503	0.000000
3	1		100000		0.009645	0.000000	0.009645	0.000000
1	2		200000		0.026134	0.008548	0.009614	0.007971
2	2		200000		0.025131	0.007383	0.009677	0.008071
3	2		200000		0.024443	0.006900	0.009625	0.007917
1	4		400000		0.055263	0.020910	0.011112	0.023242
2	4		400000		0.054160	0.018374	0.012343	0.023443
3	4		400000		0.051098	0.016430	0.009609	0.025060
1	8		800000		0.085021	0.031027	0.009511	0.044484
2	8		800000		0.084502	0.030655	0.009562	0.044285
3	8		800000		0.084232	0.030939	0.009512	0.043781
1	16		1600000		0.159049	0.057031	0.009706	0.092311
2	16		1600000		0.159055	0.057639	0.009657	0.091759
3	16		1600000		0.156980	0.057288	0.009513	0.090179
1	32		3200000		0.300750	0.104453	0.009600	0.186697
2	32		3200000		0.309434	0.109170	0.009941	0.190322
3	32		3200000		0.309811	0.108340	0.009446	0.192025
1	64		6400000		0.651796	0.215197	0.009644	0.426956
2	64		6400000		0.635929	0.208325	0.009562	0.418042
3	64		6400000		0.632664	0.211156	0.009736	0.411773
1	128		12800000	1.454895	0.471033	0.010725	0.973137
2	128		12800000	1.432676	0.465161	0.010558	0.956957
3	128		12800000	1.512351	0.481980	0.010569	1.019803
