
Procs: 48

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.88              0.76              4.54        1000              2.81              3.02              5.30
2                       2.94              0.73              4.59        1000              2.76              2.96              5.38
4                       2.82              0.70              4.46        1000              2.75              2.91              3.87
8                       2.78              0.70              4.43        1000              2.74              2.91              4.12
16                      2.79              0.70              4.45        1000              2.76              2.91              4.61
32                      3.13              0.82              4.97        1000              3.04              3.80              4.22
64                      3.50              0.82              5.44        1000              3.37              3.80              4.67
128                     4.09              1.61              6.22        1000              4.02              4.32              6.85
256                     4.36              1.68              6.56        1000              4.31              4.60              6.04
512                     4.65              1.76              7.05        1000              4.58              4.88              7.33
1024                    5.59              2.19              8.62        1000              5.50              6.04              7.12
2048                    6.81              3.93             10.34        1000              6.77              7.04              8.32
4096                    9.94              5.98             14.59        1000              9.91             10.21             12.33
8192                   14.50              9.19             21.30        1000             14.41             14.95             17.17
16384                  26.41             13.56             33.76         100             26.18             28.32             28.95
32768                  44.05             23.20             58.88         100             43.88             46.73             48.64
65536                  81.09             42.38            108.44         100             80.81             84.19             86.43
131072                166.75             79.43            242.28         100            166.54            174.14            175.55
262144                332.31            157.10            495.00         100            332.41            343.12            349.56
524288                651.65            314.45            979.50         100            653.13            667.86            672.60
1048576              1136.61            417.85           1733.33         100           1136.58           1170.17           1186.90

Test: 2
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.87              0.73              4.54        1000              2.81              2.99              4.99
2                       2.84              0.72              4.51        1000              2.79              2.97              4.88
4                       2.85              0.72              4.52        1000              2.79              2.94              4.86
8                       2.83              0.72              4.49        1000              2.78              2.93              4.97
16                      2.81              0.73              4.45        1000              2.78              2.93              3.52
32                      3.16              0.85              5.00        1000              3.07              3.84              4.01
64                      3.58              0.83              5.51        1000              3.42              3.84              6.10
128                     4.13              1.69              6.25        1000              4.08              4.35              6.22
256                     4.41              1.68              6.63        1000              4.33              4.61              7.49
512                     4.69              1.75              7.14        1000              4.64              4.92              6.45
1024                    5.67              2.24              8.70        1000              5.57              6.13              8.05
2048                    6.92              4.02             10.50        1000              6.87              7.15              9.40
4096                    9.78              6.10             14.16        1000              9.73             10.06             12.45
8192                   14.63              9.37             21.09        1000             14.54             15.02             17.25
16384                  26.13             13.20             34.53         100             25.99             27.59             29.45
32768                  43.40             22.33             57.48         100             43.29             46.23             49.12
65536                  81.53             42.05            108.60         100             81.50             84.96             87.92
131072                166.77             77.44            238.84         100            167.13            173.40            176.00
262144                329.23            153.57            481.33         100            328.88            339.48            347.01
524288                652.90            298.45            960.68         100            652.62            671.04            676.92
1048576              1143.60            363.08           1663.77         100           1144.31           1180.61           1185.04

Test: 3
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.80              0.70              4.47        1000              2.77              2.99              3.57
2                       2.79              0.70              4.46        1000              2.76              2.94              3.89
4                       2.79              0.71              4.44        1000              2.74              2.93              4.77
8                       2.80              0.70              4.44        1000              2.75              2.91              4.20
16                      2.78              0.72              4.43        1000              2.74              2.92              3.12
32                      3.17              0.84              4.99        1000              3.06              3.84              5.25
64                      3.55              0.82              5.46        1000              3.40              3.81              4.78
128                     4.11              1.63              6.26        1000              4.06              4.32              6.32
256                     4.40              1.71              6.61        1000              4.35              4.61              6.37
512                     4.64              1.72              7.08        1000              4.59              4.91              6.30
1024                    5.59              2.20              8.60        1000              5.52              5.96              7.29
2048                    6.83              3.93             10.19        1000              6.78              7.06              9.27
4096                    9.76              5.92             14.19        1000              9.72             10.07             11.67
8192                   14.17              9.12             20.05        1000             14.10             14.57             16.72
16384                  25.95             13.88             33.54         100             25.68             27.95             29.33
32768                  43.88             23.41             57.76         100             43.65             46.65             48.17
65536                  81.19             42.53            109.32         100             81.17             84.65             85.98
131072                167.02             79.03            240.98         100            167.05            174.06            175.80
262144                333.26            159.37            489.65         100            332.84            343.16            346.53
524288                640.97            317.53            967.62         100            640.69            659.73            665.93
1048576              1094.58            371.89           1616.85         100           1094.13           1131.27           1143.80

Test: 4
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.82              0.71              4.54        1000              2.78              2.97              3.95
