


--------------------------------------------
Algorithm: 0
--------------------------------------------


Procs: 26

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.19              0.54              3.63        1000              1.16              1.32              1.89
2                       1.20              0.51              3.62        1000              1.17              1.33              2.17
4                       1.22              0.57              3.66        1000              1.17              1.33              1.88
8                       1.19              0.52              3.62        1000              1.17              1.32              1.81
16                      1.18              0.50              3.59        1000              1.15              1.30              1.87
32                      1.53              0.71              3.89        1000              1.48              1.73              2.50
64                      1.39              0.64              3.73        1000              1.37              1.54              1.82
128                     2.29              1.18              4.85        1000              2.25              2.56              3.28
256                     2.32              1.20              4.83        1000              2.27              2.51              3.33
512                     2.56              1.45              5.23        1000              2.52              2.71              3.85
1024                    3.40              1.90              5.93        1000              3.36              3.64              4.56
2048                    4.33              2.60              6.90        1000              4.31              4.57              5.28
4096                    7.03              2.83             10.01        1000              6.15              6.61             10.49
8192                    9.90              5.63             13.60        1000              9.87             10.27             11.39
16384                  20.54              9.41             32.83         100             19.98             24.54             27.27
32768                  35.33             16.61             54.81         100             35.49             39.37             40.54
65536                  64.36             31.19             97.75         100             64.16             70.42             71.59
131072                123.14             59.83            184.74         100            122.98            130.53            133.23
262144                238.43            118.61            355.97         100            238.25            249.24            252.71
524288                464.80            235.12            687.74         100            464.80            480.48            483.53
1048576               450.53            418.51            486.62         100            450.10            470.94            485.32

Test: 2
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.17              0.49              3.61        1000              1.15              1.30              1.73
2                       1.17              0.51              3.60        1000              1.16              1.29              1.58
4                       1.19              0.53              3.64        1000              1.16              1.32              1.57
8                       1.19              0.53              3.61        1000              1.16              1.31              1.79
16                      1.19              0.49              3.56        1000              1.16              1.30              1.47
32                      1.52              0.74              3.97        1000              1.48              1.74              2.37
64                      1.45              0.65              3.73        1000              1.40              1.58              1.91
128                     2.34              1.19              4.91        1000              2.29              2.59              3.26
256                     2.36              1.22              4.83        1000              2.31              2.51              3.37
512                     2.61              1.50              5.22        1000              2.57              2.80              3.67
1024                    3.34              1.91              5.91        1000              3.28              3.59              5.26
2048                    4.38              2.70              6.98        1000              4.37              4.62              5.16
4096                    6.33              2.98              9.14        1000              6.30              6.76              8.32
8192                    9.88              5.60             13.67        1000              9.84             10.30             12.95
16384                  20.08             10.14             31.50         100             19.60             23.17             25.36
32768                  35.90             18.48             54.57         100             36.22             39.34             40.19
65536                  64.85             32.86             98.71         100             65.29             69.65             70.98
131072                124.56             63.22            184.63         100            124.78            132.38            137.85
262144                242.06            122.75            358.76         100            242.68            251.57            255.96
524288                476.63            244.47            703.21         100            476.06            490.10            496.20
1048576               479.28            435.32            523.88         100            468.63            503.21            545.55

Test: 3
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.18              0.54              3.64        1000              1.16              1.30              1.59
2                       1.23              0.56              3.71        1000              1.15              1.31              1.70
4                       1.17              0.54              3.64        1000              1.15              1.33              1.45
8                       1.16              0.48              3.56        1000              1.14              1.29              1.48
16                      1.16              0.47              3.54        1000              1.14              1.28              1.55
