Algorithm,Procs,Size,Avg Latency(us) Mean,Avg Latency(us) Std Error
0,2,1,0.20399999999999996,0.024207436873820407
0,2,2,0.22999999999999998,0.020248456731316585
0,2,4,0.22199999999999998,0.02107130750570548
0,2,8,0.22599999999999998,0.02135415650406262
0,2,16,0.23399999999999999,0.01691153452528776
0,2,32,0.26999999999999996,0.026645825188948452
0,2,64,0.262,0.025377155080899036
0,2,128,0.34,0.030166206257996715
0,2,256,0.342,0.03455430508634198
0,2,512,0.392,0.02709243436828813
0,2,1024,0.42200000000000004,0.03455430508634199
0,2,2048,0.5640000000000001,0.040074929819027744
0,2,4096,0.834,0.06660330322138687
0,2,8192,1.33,0.09772410142846032
0,2,16384,3.056,0.27368960520998975
0,2,32768,5.2219999999999995,0.39516325740129227
0,2,65536,6.8420000000000005,0.5076356961443903
0,2,131072,10.213999999999999,0.6981231982966902
0,2,262144,16.526,1.1119199611482828
0,2,524288,30.845999999999997,1.9722312237666246
0,2,1048576,65.204,3.832044623957294
0,4,1,0.454,0.0256124969497314
0,4,2,0.45600000000000007,0.025416530054277672
0,4,4,0.45600000000000007,0.024207436873820414
0,4,8,0.45,0.02469817807045694
0,4,16,0.45199999999999996,0.022671568097509268
0,4,32,0.654,0.008717797887081354
0,4,64,0.6120000000000001,0.01827566688249706
0,4,128,0.9400000000000001,0.02683281572999748
0,4,256,1.002,0.02517935662402835
0,4,512,1.1640000000000001,0.025019992006393602
0,4,1024,1.424,0.02336664289109584
0,4,2048,1.922,0.022671568097509243
0,4,4096,2.822,0.023108440016582705
0,4,8192,5.064,0.048228622207149976
0,4,16384,8.062000000000001,0.11922248110151033
0,4,32768,12.878,0.1094257739291799
0,4,65536,22.339999999999996,0.15073154945133466
0,4,131072,42.43,0.227705950734714
0,4,262144,85.11,0.5671331413345558
0,4,524288,172.186,1.7101011665980475
0,4,1048576,430.37399999999997,2.955665068981931
0,6,1,0.8739999999999999,0.041904653679513924
0,6,2,0.882,0.05453439281774392
0,6,4,0.85,0.03209361307176243
0,6,8,0.8480000000000001,0.03773592452822641
0,6,16,0.8420000000000002,0.031208973068654475
0,6,32,1.1420000000000001,0.03184336665618128
0,6,64,0.8939999999999999,0.020396078054371155
0,6,128,1.5959999999999999,0.03762977544445355
0,6,256,1.668,0.03720215047547654
0,6,512,1.848,0.03199999999999998
0,6,1024,2.23,0.032093613071762436
0,6,2048,2.664,0.03325657829663176
0,6,4096,3.804,0.040447496832313384
0,6,8192,6.802,0.0572188780036798
0,6,16384,9.489999999999998,0.10173494974687905
0,6,32768,16.716,0.12126829758844627
0,6,65536,32.282,0.31323154374998724
0,6,131072,63.968,1.4933231398461624
0,6,262144,125.26399999999998,2.901283509069736
0,6,524288,253.004,2.6837671284968048
0,6,1048576,776.716,1.3640256595826938
0,8,1,0.9639999999999999,0.026000000000000002
0,8,2,0.95,0.02345207879911714
0,8,4,0.916,0.025416530054277665
0,8,8,1.012,0.017146428199482262
0,8,16,1.034,0.0201494416796099
0,8,32,1.4280000000000002,0.03440930106817049
0,8,64,1.1780000000000002,0.038910152916687445
0,8,128,1.918,0.024779023386727717
0,8,256,1.954,0.02158703314492292
0,8,512,2.232,0.03569313659514946
0,8,1024,2.572,0.02672077843177474
0,8,2048,3.3879999999999995,0.005830951894845275
0,8,4096,5.191999999999999,0.028879058156387336
0,8,8192,8.042000000000002,0.03455430508634193
0,8,16384,15.175999999999998,0.17471691389215888
0,8,32768,21.932,0.19772202709865158
0,8,65536,42.74,0.383562250488757
0,8,131072,87.002,0.614446092021098
0,8,262144,173.84199999999998,1.5345566134880788
0,8,524288,352.064,3.4098645134374483
0,8,1048576,657.242,7.189638655732283
0,10,1,1.142,0.06851277253184254
0,10,2,1.1860000000000002,0.06607571414672715
0,10,4,1.1460000000000001,0.06860029154456997
0,10,8,1.2659999999999998,0.021118712081942895
0,10,16,1.2559999999999998,0.01860107523773829
0,10,32,1.65,0.04460941604639091
0,10,64,1.35,0.053197744313081545
0,10,128,2.052,0.054166410255803404
0,10,256,2.0639999999999996,0.03789459064299282
0,10,512,2.238,0.02709243436828814
0,10,1024,2.71,0.028284271247461922
0,10,2048,3.3900000000000006,0.02097617696340305
0,10,4096,5.548,0.04211887937730543
0,10,8192,8.472,0.0558032257132148
0,10,16384,16.338,0.15428544973522298
0,10,32768,26.342000000000002,0.3140445828222478
0,10,65536,52.852,0.5256843159159311
0,10,131072,106.63199999999999,0.6822712070723775
0,10,262144,215.33,1.6095309875861328
0,10,524288,417.762,9.97153418486844
0,10,1048576,767.6600000000001,12.91785160156285
0,12,1,1.106,0.06153048025166063
0,12,2,1.136,0.064389440128021
0,12,4,1.1320000000000001,0.06118823416311342
0,12,8,1.404,0.034438350715445126
0,12,16,1.394,0.030430248109405873
0,12,32,1.8679999999999999,0.028354893757515633
0,12,64,1.334,0.050852728540364475
0,12,128,2.14,0.056656861896861144
0,12,256,2.1919999999999997,0.04164132562731402
0,12,512,2.382,0.033075670817082486
0,12,1024,2.9679999999999995,0.02557342370508883
0,12,2048,3.7079999999999997,0.01854723699099139
0,12,4096,6.004,0.06845436436049927
0,12,8192,9.302,0.033970575502925975
0,12,16384,17.34,0.27801079115746574
0,12,32768,31.074,0.4160240377670499
0,12,65536,62.653999999999996,0.5769020714124725
0,12,131072,125.104,1.2448156490018882
0,12,262144,256.062,2.9031541467858677
0,12,524288,513.504,4.264124294623687
0,12,1048576,886.0559999999999,27.526785791297886
0,14,1,1.1400000000000001,0.08625543461139129
0,14,2,1.154,0.08997777503361591
0,14,4,1.1320000000000001,0.06621178142898738
0,14,8,1.332,0.042941821107167766
0,14,16,1.3219999999999998,0.03277193921634787
0,14,32,1.7879999999999998,0.046411205543489154
0,14,64,1.326,0.04905099387372287
0,14,128,2.162,0.04054626986542657
0,14,256,2.1659999999999995,0.028390139133156817
0,14,512,2.31,0.025884358211089635
0,14,1024,2.932,0.020832666655999643
0,14,2048,3.6160000000000005,0.008717797887081335
0,14,4096,6.276,0.034146742157927734
0,14,8192,9.95,0.049091750834534424
0,14,16384,17.804,0.20274614669581265
0,14,32768,35.32,0.07842193570679054
0,14,65536,70.08,1.7097251241062115
0,14,131072,134.784,7.305902134575852
