
Algorithm: 5

Procs: 2

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.20              0.11              0.30        1000              0.19              0.29              0.30
2                       0.25              0.14              0.36        1000              0.23              0.34              0.36
4                       0.21              0.12              0.31        1000              0.20              0.30              0.32
8                       0.25              0.15              0.36        1000              0.23              0.35              0.37
16                      0.21              0.12              0.31        1000              0.20              0.31              0.32
32                      0.29              0.14              0.44        1000              0.28              0.37              0.43
64                      0.28              0.13              0.43        1000              0.28              0.35              0.42
128                     0.33              0.17              0.49        1000              0.32              0.41              0.42
256                     0.34              0.17              0.52        1000              0.33              0.43              0.46
512                     0.38              0.18              0.59        1000              0.37              0.47              0.51
1024                    0.45              0.21              0.68        1000              0.45              0.50              0.54
2048                    0.62              0.28              0.95        1000              0.60              0.71              0.76
4096                    0.89              0.39              1.39        1000              0.88              0.97              1.00
8192                    1.39              0.71              2.07        1000              1.34              1.60              1.72
16384                   3.12              3.05              3.19         100              3.11              3.25              3.27
32768                   5.24              5.10              5.37         100              5.21              5.36              5.60
65536                   6.86              6.75              6.97         100              6.81              6.93              7.03
131072                 10.25             10.12             10.39         100             10.17             10.39             11.51
262144                 16.97             16.90             17.03         100             16.81             17.04             21.75
524288                 32.10             31.99             32.20         100             31.89             32.18             37.38
1048576                68.89             68.85             68.92         100             68.41             72.83             77.36

Test: 2
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.20              0.11              0.29        1000              0.19              0.27              0.30
2                       0.24              0.14              0.34        1000              0.24              0.33              0.36
4                       0.21              0.12              0.30        1000              0.20              0.29              0.31
8                       0.26              0.15              0.36        1000              0.23              0.32              0.36
16                      0.21              0.12              0.30        1000              0.20              0.27              0.31
32                      0.29              0.14              0.44        1000              0.28              0.36              0.43
64                      0.26              0.12              0.39        1000              0.24              0.34              0.41
128                     0.34              0.17              0.51        1000              0.33              0.41              0.47
256                     0.35              0.18              0.53        1000              0.35              0.42              0.44
512                     0.41              0.19              0.62        1000              0.41              0.51              0.55
1024                    0.44              0.21              0.68        1000              0.44              0.48              0.51
2048                    0.62              0.29              0.95        1000              0.59              0.71              0.78
4096                    0.89              0.38              1.39        1000              0.87              0.92              0.95
8192                    1.46              0.69              2.22        1000              1.43              1.60              1.68
16384                   3.30              3.23              3.37         100              3.29              3.40              3.48
32768                   5.31              5.22              5.41         100              5.26              5.42              5.52
65536                   7.02              6.92              7.11         100              6.94              7.14              7.19
131072                 10.34             10.25             10.44         100             10.31             10.46             10.57
262144                 17.10             17.04             17.16         100             16.90             17.19             21.39
524288                 32.11             31.97             32.26         100             31.89             32.14             36.34
1048576                69.06             69.05             69.07         100             68.71             72.51             73.32

Test: 3
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.20              0.11              0.29        1000              0.19              0.27              0.30
2                       0.24              0.15              0.34        1000              0.23              0.29              0.33
4                       0.21              0.12              0.30        1000              0.20              0.27              0.30
8                       0.24              0.15              0.34        1000              0.23              0.31              0.34
16                      0.22              0.12              0.31        1000              0.20              0.28              0.31
32                      0.30              0.16              0.44        1000              0.29              0.40              0.45
64                      0.26              0.13              0.39        1000              0.25              0.32              0.36
128                     0.34              0.18              0.50        1000              0.33              0.39              0.42
256                     0.34              0.17              0.51        1000              0.32              0.40              0.43
512                     0.40              0.20              0.61        1000              0.40              0.47              0.53
1024                    0.45              0.22              0.69        1000              0.44              0.53              0.54
2048                    0.57              0.23              0.92        1000              0.55              0.66              0.71
4096                    0.86              0.39              1.32        1000              0.83              1.02              1.10
8192                    1.43              0.69              2.18        1000              1.42              1.49              1.54
16384                   3.26              3.19              3.34         100              3.27              3.38              3.41
32768                   5.26              5.15              5.37         100              5.18              5.37              5.40
65536                   6.99              6.87              7.10         100              6.94              7.06              7.12
131072                 10.40             10.29             10.52         100             10.35             10.51             10.66
262144                 17.03             16.95             17.10         100             16.95             17.12             20.48
524288                 32.17             32.08             32.27         100             31.99             32.28             37.19
1048576                67.11             67.03             67.19         100             66.70             71.08             72.50

Test: 4
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.19              0.10              0.29        1000              0.18              0.27              0.29
2                       0.22              0.12              0.32        1000              0.20              0.29              0.31
4                       0.25              0.15              0.36        1000              0.23              0.30              0.34
8                       0.21              0.12              0.31        1000              0.20              0.30              0.32
16                      0.26              0.14              0.38        1000              0.23              0.31              0.34
32                      0.27              0.12              0.42        1000              0.27              0.34              0.39
64                      0.30              0.14              0.46        1000              0.30              0.37              0.44
128                     0.32              0.16              0.48        1000              0.31              0.40              0.41
256                     0.35              0.18              0.51        1000              0.33              0.45              0.48
512                     0.37              0.18              0.56        1000              0.35              0.45              0.50
1024                    0.44              0.21              0.67        1000              0.42              0.48              0.50
2048                    0.58              0.23              0.93        1000              0.56              0.69              0.71
4096                    0.85              0.41              1.30        1000              0.81              1.00              1.07
8192                    1.44              0.69              2.18        1000              1.41              1.48              1.62
16384                   3.28              3.21              3.35         100              3.29              3.39              3.43
32768                   5.15              5.07              5.24         100              5.14              5.30              5.34
65536                   6.92              6.83              7.01         100              6.83              7.03              7.15
131072                 10.27             10.17             10.37         100             10.19             10.39             11.52
262144                 17.01             16.95             17.07         100             16.93             17.11             17.22
524288                 31.97             31.94             32.01         100             31.80             32.16             36.20
1048576                68.41             68.38             68.44         100             67.95             72.83             74.34

Test: 5
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.20              0.11              0.29        1000              0.19              0.28              0.30
2                       0.25              0.14              0.36        1000              0.24              0.32              0.34
4                       0.21              0.12              0.31        1000              0.20              0.29              0.31
8                       0.25              0.14              0.35        1000              0.24              0.32              0.34
16                      0.21              0.12              0.30        1000              0.20              0.29              0.32
32                      0.29              0.14              0.45        1000              0.28              0.40              0.45
64                      0.26              0.12              0.40        1000              0.25              0.32              0.36
128                     0.34              0.17              0.51        1000              0.34              0.40              0.43
256                     0.34              0.17              0.51        1000              0.33              0.43              0.46
512                     0.40              0.19              0.61        1000              0.40              0.46              0.50
1024                    0.45              0.22              0.68        1000              0.44              0.53              0.55
2048                    0.61              0.28              0.95        1000              0.60              0.70              0.78
4096                    0.90              0.41              1.40        1000              0.88              0.98              1.03
8192                    1.49              0.68              2.31        1000              1.33              1.60              1.68
16384                   3.20              3.15              3.25         100              3.20              3.32              3.34
32768                   5.32              5.20              5.44         100              5.26              5.42              5.50
