Algorithm,Procs,Size,Avg Latency(us) Mean,Avg Latency(us) Std Error
5,2,1,0.198,0.0020000000000000018
5,2,2,0.24,0.00547722557505166
5,2,4,0.21800000000000003,0.008
5,2,8,0.242,0.008602325267042629
5,2,16,0.22200000000000003,0.00969535971483266
5,2,32,0.288,0.00489897948556635
5,2,64,0.272,0.007999999999999997
5,2,128,0.334,0.0040000000000000036
5,2,256,0.344,0.002449489742783167
5,2,512,0.392,0.007348469228349533
5,2,1024,0.446,0.00244948974278318
5,2,2048,0.6,0.010488088481701525
5,2,4096,0.8780000000000001,0.009695359714832666
5,2,8192,1.4419999999999997,0.016552945357246864
5,2,16384,3.232,0.03261901286060011
5,2,32768,5.256,0.030430248109405804
5,2,65536,6.965999999999999,0.033406586176980065
5,2,131072,10.322000000000001,0.02745906043549203
5,2,262144,17.03,0.02121320343559673
5,2,524288,32.07600000000001,0.03458323293158151
5,2,1048576,68.072,0.45177870689088495
5,4,1,0.6,0.020736441353327723
5,4,2,0.6119999999999999,0.01907878402833893
5,4,4,0.612,0.020346989949375806
5,4,8,0.61,0.014832396974191338
5,4,16,0.596,0.01568438714135811
5,4,32,0.826,0.02111871208194287
5,4,64,0.8,0.02683281572999748
5,4,128,1.152,0.01280624847486568
5,4,256,1.188,0.01392838827718413
5,4,512,1.3459999999999999,0.016309506430300064
5,4,1024,1.6179999999999999,0.011575836902790194
5,4,2048,2.5379999999999994,0.005830951894845351
5,4,4096,3.38,0.05079370039680119
5,4,8192,5.372,0.04651881339845205
5,4,16384,9.52,0.16364595931461307
5,4,32768,15.479999999999999,0.1555956297586794
5,4,65536,22.972,0.36997837774659187
5,4,131072,38.608,0.5172852211304702
5,4,262144,69.492,0.8073252132814898
5,4,524288,128.0,1.8551280279269151
5,4,1048576,264.182,6.029526847108324
5,6,1,0.9,0.025495097567963927
5,6,2,0.9179999999999999,0.024372115213907884
5,6,4,0.9,0.016431676725154998
5,6,8,0.9,0.01923538406167135
5,6,16,0.9119999999999999,0.019849433241279198
5,6,32,1.1099999999999999,0.014491376746189395
5,6,64,1.088,0.013928388277184131
