
Operation: bcast
Node: THIN

--------------------------------------------
Test: 

Algorithm: 4
Procs: 8
Mapping: socket
Warmup: 2000
--------------------------------------------

Iterations: 10000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.20              0.26              3.93       10000              2.15              2.46              2.75
2                       1.33              0.61              1.66       10000              1.31              1.49              1.68
4                       1.34              0.61              1.66       10000              1.33              1.51              1.68
8                       1.35              0.62              1.66       10000              1.33              1.50              1.69
16                      1.33              0.61              1.65       10000              1.32              1.50              1.65
32                      1.34              0.62              1.65       10000              1.32              1.50              1.65
64                      1.88              0.72              2.36       10000              1.78              2.50              2.85
128                     1.74              0.67              2.21       10000              1.70              2.09              2.37
256                     2.72              1.33              3.23       10000              2.71              2.99              3.17
512                     2.81              1.34              3.37       10000              2.79              3.10              3.34
1024                    3.16              1.42              3.83       10000              3.13              3.46              3.76
2048                    3.99              1.56              4.97       10000              3.71              4.07              4.47
4096                    5.27              2.87              6.02       10000              5.26              5.61              5.82
8192                    7.38              3.79              8.48       10000              7.36              7.81              8.73
16384                  11.33              5.80             12.84       10000             11.30             11.76             14.13
32768                  19.96             12.57             22.55       10000             19.91             20.58             23.21
65536                  35.98             23.51             41.69       10000             35.86             37.07             39.61
131072                 67.06             48.17             77.98       10000             66.67             70.25             72.06
262144                132.00             95.28            154.10       10000            131.63            136.13            138.02
524288                302.71            224.73            352.22       10000            305.81            311.12            312.64
1048576               613.62            447.63            737.28       10000            620.30            672.52            674.57

Iterations: 20000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.17              0.26              3.88       20000              2.14              2.40              2.61
2                       1.31              0.60              1.69       20000              1.29              1.51              1.69
4                       1.31              0.60              1.68       20000              1.29              1.50              1.70
8                       1.31              0.60              1.68       20000              1.29              1.50              1.69
16                      1.31              0.60              1.68       20000              1.29              1.49              1.70
32                      1.31              0.60              1.68       20000              1.29              1.50              1.69
64                      1.96              0.76              2.49       20000              1.84              2.61              3.03
128                     1.93              0.68              2.55       20000              1.75              2.18              2.48
256                     2.71              1.32              3.21       20000              2.70              2.95              3.15
512                     2.80              1.33              3.33       20000              2.78              3.06              3.24
1024                    3.16              1.40              3.81       20000              3.13              3.47              3.76
2048                    3.72              1.54              4.49       20000              3.70              4.05              4.34
4096                    5.24              2.81              5.96       20000              5.22              5.57              5.83
8192                    7.20              3.71              8.19       20000              7.19              7.63              7.97
16384                  11.17              5.66             12.59       20000             11.15             11.56             14.08
32768                  19.35             11.94             21.95       20000             19.28             19.89             23.17
65536                  36.14             23.79             41.95       20000             35.93             37.03             39.82
131072                 66.18             46.88             77.21       20000             65.99             69.27             70.92
262144                132.97             94.02            154.37       20000            132.64            136.58            138.01
524288                311.90            213.53            379.81       20000            317.96            325.86            327.85
1048576               582.91            422.25            690.78       20000            591.03            602.40            606.20

Iterations: 50000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.14              0.25              3.87       50000              2.12              2.40              2.63
2                       1.31              0.61              1.65       50000              1.29              1.48              1.65
4                       1.38              0.61              1.78       50000              1.29              1.48              1.67
8                       1.32              0.61              1.66       50000              1.29              1.49              1.72
16                      1.31              0.60              1.66       50000              1.29              1.49              1.69
32                      1.31              0.61              1.65       50000              1.29              1.49              1.67
64                      1.90              0.74              2.43       50000              1.80              2.50              2.82
128                     1.75              0.69              2.26       50000              1.71              2.10              2.42
256                     2.69              1.33              3.21       50000              2.67              2.94              3.13
512                     2.78              1.35              3.33       50000              2.77              3.04              3.25
1024                    3.13              1.40              3.79       50000              3.10              3.42              3.72
2048                    3.68              1.54              4.47       50000              3.66              4.00              4.29
4096                    5.25              2.85              5.92       50000              5.21              5.57              5.94
8192                    7.17              3.77              8.08       50000              7.17              7.61              7.96
16384                  11.12              5.73             12.56       50000             11.10             11.53             13.77
32768                  19.39             11.93             22.22       50000             19.33             19.92             22.60
65536                  35.87             23.68             42.12       50000             35.78             36.84             39.44
131072                 66.34             47.31             78.14       50000             66.10             69.49             70.90
262144                132.12             93.54            153.61       50000            131.77            135.77            137.38
524288                301.51            213.77            356.83       50000            294.75            317.32            319.20
1048576               580.55            447.35            667.40       50000            574.78            639.79            644.87

Iterations: 100000
