Algorithm,Numprocs,Size,Avg Latency(us) mean,Avg Latency(us) sd
0,2,2,0.238,0.0614492
0,2,4,0.248,0.0661513
0,2,8,0.248,0.0661513
0,2,16,0.244,0.0581722
0,4,2,0.576,0.0185472
0,4,4,0.582,0.0172047
0,4,8,0.576,0.0205913
0,4,16,0.556,0.0300666
0,8,2,0.948,0.162899
0,8,4,0.954,0.157683
0,8,8,0.974,0.081878
0,8,16,0.968,0.0702567
0,16,2,1.112,0.0285657
0,16,4,1.124,0.032619
0,16,8,1.118,0.0278568
0,16,16,1.102,0.0271293
1,2,2,0.288,0.0805978
1,2,4,0.3,0.0734847
1,2,8,0.296,0.074458
1,2,16,0.3,0.0737564
1,4,2,0.32,0.0167332
1,4,4,0.32,0.00894427
1,4,8,0.316,0.008
1,4,16,0.35,0.0126491
1,8,2,1.132,0.0526878
1,8,4,1.132,0.0271293
1,8,8,1.118,0.0337046
1,8,16,1.12,0.0275681
1,16,2,1.782,0.0213542
1,16,4,1.798,0.00979796
1,16,8,1.794,0.032
1,16,16,1.788,0.0256125
2,2,2,0.21,0.0154919
2,2,4,0.224,0.0149666
2,2,8,0.224,0.0135647
2,2,16,0.226,0.008
2,4,2,0.33,0.0109545
2,4,4,0.34,0.0209762
2,4,8,0.332,0.0116619
2,4,16,0.36,0.0167332
2,8,2,1.022,0.0331059
2,8,4,1.022,0.0263818
2,8,8,1.026,0.0382623
2,8,16,1.004,0.0272764
2,16,2,1.572,0.0318748
2,16,4,1.592,0.0318748
2,16,8,1.568,0.0203961
2,16,16,1.552,0.0248193
