Algorithm,Numprocs,Size,Avg Latency(us) mean,Avg Latency(us) sd
0,2,1,0.20875,0.0161536
0,2,2,0.21,0.0158114
0,2,4,0.21,0.0158114
0,2,8,0.20625,0.00992157
0,2,16,0.2025,0.00433013
0,2,32,0.24125,0.0145237
0,2,64,0.23625,0.0111102
0,2,128,0.30875,0.0116592
0,2,256,0.32625,0.00856957
0,2,512,0.35875,0.00599479
0,2,1024,0.415,0.00866025
0,2,2048,0.53,0.0132288
0,2,4096,0.82125,0.0105327
0,2,8192,1.33125,0.00599479
0,2,16384,3.0225,0.0405432
0,2,32768,5.17375,0.085723
0,2,65536,6.7275,0.0672216
0,2,131072,9.67625,0.0726184
0,2,262144,15.2062,0.264052
0,2,524288,28.6662,0.653948
0,2,1048576,63.6212,3.19431
0,4,1,0.575,0.0141421
0,4,2,0.57125,0.0126861
0,4,4,0.56875,0.0126861
0,4,8,0.57,0.0111803
0,4,16,0.54625,0.0111102
0,4,32,0.79375,0.0432832
0,4,64,0.78,0.0482183
0,4,128,1.1,0.0173205
0,4,256,1.1525,0.0147902
0,4,512,1.31,0.0122474
0,4,1024,1.61625,0.0186665
0,4,2048,2.47,0.0674537
0,4,4096,3.56625,0.0593586
0,4,8192,6.03375,0.0842522
0,4,16384,8.96625,0.308178
0,4,32768,14.1138,0.47778
0,4,65536,22.075,0.466503
0,4,131072,39.6688,1.41455
0,4,262144,77.3975,3.06392
0,4,524288,162.536,5.22131
0,4,1048576,481.896,2.17776
0,8,1,0.93375,0.057432
0,8,2,0.8925,0.00968246
0,8,4,0.89,0.00866025
0,8,8,0.93625,0.0131696
0,8,16,0.91125,0.0189984
0,8,32,1.28875,0.0559994
0,8,64,1.09,0.0278388
0,8,128,1.8525,0.0147902
0,8,256,1.99375,0.0228788
0,8,512,2.11375,0.0239466
0,8,1024,2.48625,0.0121835
0,8,2048,3.4075,0.0185405
0,8,4096,4.74125,0.0404467
0,8,8192,7.23,0.0387298
0,8,16384,13.7913,0.198585
0,8,32768,22.6875,0.754317
0,8,65536,43.9375,4.71065
0,8,131072,89.2963,8.62385
0,8,262144,181.862,11.6044
0,8,524288,362.556,17.9543
0,8,1048576,603.575,27.1026
0,16,1,1.19125,0.122621
0,16,2,1.13625,0.0131696
0,16,4,1.1275,0.0178536
0,16,8,1.125,0.0187083
0,16,16,1.12375,0.0223257
0,16,32,1.4375,0.024367
0,16,64,1.39,0.0447214
0,16,128,2.405,0.0447214
0,16,256,2.3625,0.0408503
0,16,512,2.52875,0.0261904
0,16,1024,3.07,0.0158114
0,16,2048,4.10875,0.0176334
0,16,4096,5.8125,0.0281736
0,16,8192,8.51375,0.0614283
0,16,16384,17.8325,0.297689
0,16,32768,27.935,0.471673
0,16,65536,50.4412,1.51201
0,16,131072,96.8438,2.27261
0,16,262144,190.121,3.35912
0,16,524288,372.395,4.65777
0,16,1048576,343.781,3.87062
0,32,1,1.79625,0.0540688
0,32,2,1.755,0.0223607
0,32,4,1.805,0.0788987
0,32,8,1.97375,0.0733037
0,32,16,1.7425,0.0204634
0,32,32,2.29375,0.0638235
0,32,64,2.2875,0.0307205
0,32,128,3.05625,0.0273576
