Operation: bcast  , Node: THIN


--------------------------------------------
Algorithm: 0
--------------------------------------------


**Mapping: core**

Procs: 2


Iter: 10000 , Warmup: 200
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.23              0.13              0.33       10000              0.22              0.30              0.32
2                       0.23              0.14              0.33       10000              0.22              0.30              0.32
4                       0.23              0.14              0.33       10000              0.22              0.30              0.32
8                       0.23              0.14              0.31       10000              0.22              0.29              0.31
16                      0.21              0.13              0.30       10000              0.20              0.28              0.30
32                      0.26              0.14              0.38       10000              0.24              0.35              0.41
64                      0.25              0.13              0.37       10000              0.24              0.32              0.35
128                     0.30              0.15              0.44       10000              0.29              0.36              0.42
256                     0.30              0.16              0.45       10000              0.29              0.38              0.40
512                     0.32              0.14              0.49       10000              0.31              0.37              0.41
1024                    0.38              0.18              0.57       10000              0.37              0.43              0.45
2048                    0.50              0.19              0.81       10000              0.49              0.58              0.60
4096                    0.73              0.33              1.12       10000              0.71              0.81              0.83
8192                    1.24              0.60              1.88       10000              1.23              1.29              1.36
16384                   2.72              2.68              2.77       10000              2.70              2.81              2.88
32768                   4.62              4.53              4.72       10000              4.59              4.77              4.84
65536                   5.86              5.77              5.95       10000              5.83              5.97              6.07
131072                  8.47              8.37              8.56       10000              8.42              8.59              8.76
262144                 14.15             13.99             14.30       10000             14.01             14.40             16.74
524288                 24.98             24.87             25.09       10000             24.84             25.36             28.29
1048576                54.89             54.89             54.90       10000             54.64             58.07             59.27


Iter: 30000 , Warmup: 600
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.18              0.09              0.27       30000              0.17              0.25              0.27
2                       0.18              0.09              0.26       30000              0.17              0.25              0.26
4                       0.18              0.10              0.27       30000              0.17              0.25              0.27
8                       0.18              0.09              0.26       30000              0.17              0.25              0.27
16                      0.18              0.09              0.27       30000              0.17              0.25              0.27
32                      0.22              0.10              0.35       30000              0.21              0.28              0.32
64                      0.23              0.10              0.36       30000              0.23              0.30              0.37
128                     0.28              0.13              0.42       30000              0.27              0.34              0.36
256                     0.29              0.14              0.44       30000              0.28              0.35              0.37
512                     0.33              0.16              0.50       30000              0.32              0.40              0.43
1024                    0.36              0.16              0.56       30000              0.35              0.41              0.43
2048                    0.50              0.19              0.80       30000              0.48              0.59              0.62
4096                    0.73              0.33              1.13       30000              0.72              0.78              0.94
8192                    1.24              0.59              1.89       30000              1.23              1.28              1.34
16384                   2.71              2.66              2.76       30000              2.67              2.89              2.98
32768                   4.85              4.73              4.97       30000              4.79              4.93              5.05
65536                   6.06              5.95              6.16       30000              6.02              6.18              6.28
131072                  8.68              8.58              8.79       30000              8.64              8.88              9.10
262144                 13.44             13.33             13.55       30000             13.36             13.81             16.22
524288                 24.08             23.97             24.18       30000             23.98             24.53             27.35
1048576                53.44             53.41             53.46       30000             53.07             57.13             58.75


Iter: 100000 , Warmup: 2000
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
