Operation: bcast  , Node: THIN


--------------------------------------------
Algorithm: 0
--------------------------------------------


**Mapping: core**

Procs: 2


Iter: 10000 , Warmup: 200
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.25              0.15              0.36       10000              0.24              0.32              0.36
2                       0.25              0.15              0.35       10000              0.24              0.32              0.35
4                       0.24              0.14              0.34       10000              0.23              0.31              0.33
8                       0.23              0.13              0.32       10000              0.22              0.30              0.33
16                      0.22              0.12              0.31       10000              0.21              0.28              0.31
32                      0.24              0.12              0.36       10000              0.23              0.30              0.35
64                      0.24              0.12              0.35       10000              0.22              0.31              0.36
128                     0.32              0.16              0.48       10000              0.32              0.39              0.42
256                     0.33              0.17              0.49       10000              0.33              0.40              0.42
512                     0.35              0.17              0.53       10000              0.35              0.44              0.47
1024                    0.40              0.18              0.62       10000              0.40              0.45              0.48
2048                    0.57              0.22              0.92       10000              0.55              0.65              0.69
4096                    0.82              0.37              1.27       10000              0.82              0.88              0.93
8192                    1.42              0.68              2.17       10000              1.42              1.47              1.50
16384                   3.00              2.93              3.07       10000              2.97              3.13              3.18
32768                   5.10              4.99              5.21       10000              5.07              5.21              5.31
65536                   6.60              6.50              6.71       10000              6.57              6.76              6.87
131072                  9.97              9.78             10.16       10000              9.65             10.11             12.22
262144                 15.46             15.39             15.52       10000             15.37             15.76             18.44
524288                 28.58             28.51             28.65       10000             28.47             28.84             31.98
1048576                60.73             60.68             60.78       10000             60.45             63.90             64.98


Iter: 30000 , Warmup: 600
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.20              0.11              0.30       30000              0.19              0.28              0.30
2                       0.21              0.11              0.30       30000              0.20              0.28              0.30
4                       0.20              0.11              0.30       30000              0.19              0.28              0.30
8                       0.21              0.11              0.30       30000              0.20              0.28              0.30
16                      0.20              0.11              0.29       30000              0.19              0.28              0.30
32                      0.25              0.12              0.38       30000              0.22              0.36              0.41
64                      0.24              0.12              0.37       30000              0.23              0.32              0.36
128                     0.30              0.15              0.46       30000              0.30              0.35              0.36
256                     0.32              0.16              0.48       30000              0.32              0.40              0.42
512                     0.36              0.16              0.56       30000              0.35              0.45              0.48
1024                    0.41              0.19              0.63       30000              0.40              0.49              0.50
2048                    0.56              0.21              0.91       30000              0.55              0.62              0.64
4096                    0.83              0.38              1.28       30000              0.82              0.93              0.97
8192                    1.42              0.68              2.16       30000              1.41              1.47              1.52
16384                   2.97              2.90              3.04       30000              2.95              3.07              3.17
32768                   5.38              5.24              5.51       30000              5.27              5.48              5.68
65536                   6.77              6.65              6.89       30000              6.73              6.89              7.04
131072                  9.74              9.61              9.87       30000              9.70              9.94             11.64
262144                 15.26             15.17             15.36       30000             15.21             15.62             18.09
524288                 28.51             28.43             28.59       30000             28.37             29.07             32.02
1048576                59.75             59.71             59.79       30000             59.45             63.04             64.24


Iter: 100000 , Warmup: 2000
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.22              0.11              0.33      100000              0.21              0.30              0.31
2                       0.21              0.11              0.32      100000              0.20              0.30              0.31
4                       0.21              0.11              0.31      100000              0.20              0.29              0.30
8                       0.21              0.11              0.30      100000              0.20              0.28              0.30
16                      0.21              0.11              0.31      100000              0.20              0.29              0.31
32                      0.25              0.11              0.39      100000              0.24              0.31              0.35
64                      0.26              0.11              0.40      100000              0.26              0.31              0.33
128                     0.33              0.17              0.49      100000              0.32              0.42              0.45
256                     0.34              0.17              0.50      100000              0.33              0.41              0.43
