
Operation: bcast  , Node: THIN

--------------------------------------------

Test: 1

Algorithm: 1
Procs: 4
Mapping: L3cache
Warmup: 5000
--------------------------------------------

Iterations: 10000

# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.31              0.30              0.32       10000              0.25              0.53              0.63
2                       0.35              0.35              0.36       10000              0.36              0.55              0.59
4                       0.33              0.31              0.34       10000              0.28              0.54              0.58
8                       0.33              0.32              0.34       10000              0.27              0.52              0.57
16                      0.34              0.34              0.35       10000              0.37              0.50              0.56
32                      0.62              0.54              0.73       10000              0.55              1.14              1.26
64                      0.55              0.48              0.65       10000              0.52              0.91              0.99
128                     1.08              0.91              1.43       10000              1.05              1.29              1.40
256                     1.13              0.93              1.50       10000              1.12              1.34              1.51
512                     1.29              1.01              1.74       10000              1.27              1.53              1.69
1024                    1.52              1.22              2.09       10000              1.49              1.82              2.01
2048                    2.35              2.04              3.20       10000              2.32              2.68              2.89
4096                    3.66              3.13              4.78       10000              3.62              4.03              4.22
8192                    5.64              4.78              7.33       10000              5.61              5.94              6.18
16384                   8.32              7.43              9.23       10000              8.06             10.65             11.79
32768                  12.34             10.69             13.42       10000             12.01             15.11             16.66
65536                  19.60             17.24             21.08       10000             19.51             24.00             26.71
131072                 36.25             33.39             38.97       10000             35.12             47.98             53.92
262144                 71.73             66.68             76.17       10000             71.46             98.25            107.31
524288                138.15            130.23            145.90       10000            136.87            187.29            204.33
1048576               307.00            300.51            316.29       10000            310.87            378.70            407.17

Iterations: 20000

# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.45              0.44              0.47       20000              0.49              0.66              0.73
2                       0.35              0.35              0.36       20000              0.35              0.55              0.61
4                       0.32              0.30              0.33       20000              0.25              0.55              0.58
8                       0.33              0.32              0.34       20000              0.25              0.55              0.57
16                      0.35              0.34              0.35       20000              0.37              0.53              0.57
32                      0.61              0.51              0.73       20000              0.56              1.05              1.20
64                      0.55              0.48              0.67       20000              0.54              0.90              0.96
128                     1.05              0.86              1.41       20000              1.03              1.31              1.46
256                     1.11              0.91              1.49       20000              1.09              1.32              1.48
