
Operation: bcast
Node: THIN

--------------------------------------------
Test: 1

Algorithm: 0
Procs: 4
Mapping: numa
Warmup: 1000
--------------------------------------------

Iterations: 10000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.52              0.32              0.64       10000              0.51              0.65              0.77
2                       0.45              0.28              0.57       10000              0.43              0.59              0.66
4                       0.41              0.25              0.51       10000              0.39              0.51              0.57
8                       0.39              0.25              0.51       10000              0.37              0.54              0.61
16                      0.38              0.24              0.49       10000              0.38              0.49              0.55
32                      0.60              0.25              0.97       10000              0.59              0.82              0.92
64                      0.56              0.25              0.86       10000              0.55              0.73              0.83
128                     0.89              0.44              1.31       10000              0.87              1.06              1.17
256                     0.95              0.48              1.39       10000              0.94              1.12              1.21
512                     1.11              0.59              1.65       10000              1.10              1.33              1.48
1024                    1.38              0.73              1.94       10000              1.37              1.55              1.66
2048                    1.91              1.04              2.68       10000              1.90              2.11              2.24
4096                    2.92              1.79              3.86       10000              2.92              3.16              3.31
8192                    5.52              2.00              8.14       10000              5.47              5.89              6.19
16384                   7.22              5.94              8.02       10000              7.06              8.47              9.31
32768                  11.88             10.18             12.81       10000             11.69             13.60             15.08
65536                  20.38             18.22             21.50       10000             20.19             23.42             25.43
131072                 38.00             34.25             39.68       10000             37.67             43.06             50.06
262144                 78.41             73.09             81.09       10000             76.65            101.20            108.95
524288                162.44            156.35            166.81       10000            155.12            211.67            220.10
1048576               418.98            209.71            521.36       10000            418.70            424.24            426.33

Iterations: 20000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.46              0.28              0.59       20000              0.45              0.58              0.67
2                       0.40              0.23              0.53       20000              0.39              0.50              0.57
4                       0.39              0.22              0.52       20000              0.38              0.51              0.58
8                       0.39              0.22              0.52       20000              0.38              0.48              0.55
16                      0.39              0.22              0.52       20000              0.38              0.48              0.54
32                      0.63              0.25              1.02       20000              0.60              0.85              0.95
64                      0.55              0.24              0.83       20000              0.54              0.70              0.81
128                     0.90              0.44              1.33       20000              0.88              1.09              1.21
256                     0.95              0.45              1.39       20000              0.93              1.17              1.29
512                     1.09              0.56              1.62       20000              1.08              1.28              1.40
1024                    1.40              0.69              2.01       20000              1.34              1.54              1.66
2048                    1.93              1.00              2.69       20000              1.91              2.13              2.27
4096                    3.13              2.30              3.91       20000              3.11              3.38              3.54
8192                    5.55              1.97              8.07       20000              5.52              5.93              6.29
16384                   8.04              7.62              8.66       20000              8.00              9.79             10.78
32768                  13.34             12.71             14.23       20000             13.28             16.13             17.41
65536                  22.10             21.33             23.16       20000             22.40             25.76             27.58
131072                 40.24             38.10             41.98       20000             40.40             48.51             53.42
262144                 79.77             76.30             82.90       20000             78.84            103.24            112.42
524288                164.88            161.63            170.82       20000            160.11            214.04            223.75
1048576               411.58            209.39            510.26       20000            411.22            417.47            420.21

Iterations: 50000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.40              0.25              0.51       50000              0.39              0.54              0.62
2                       0.41              0.25              0.52       50000              0.39              0.53              0.61
4                       0.41              0.25              0.52       50000              0.39              0.53              0.61
8                       0.41              0.25              0.52       50000              0.40              0.53              0.60
16                      0.41              0.25              0.52       50000              0.40              0.52              0.59
32                      0.62              0.26              1.01       50000              0.59              0.81              0.92
64                      0.56              0.25              0.86       50000              0.55              0.72              0.82
128                     0.88              0.44              1.29       50000              0.87              1.03              1.15
256                     0.92              0.46              1.33       50000              0.91              1.10              1.23
512                     1.10              0.59              1.59       50000              1.08              1.31              1.43
1024                    1.35              0.71              1.91       50000              1.33              1.52              1.63
2048                    1.85              1.02              2.62       50000              1.83              2.08              2.21
4096                    3.02              1.98              4.00       50000              3.00              3.35              3.50
8192                    5.13              2.02              7.65       50000              5.11              5.48              5.77
16384                   8.23              7.81              8.86       50000              8.19             10.12             11.18
32768                  13.27             12.77             14.16       50000             13.21             16.13             17.53
65536                  21.80             21.11             22.90       50000             21.96             25.77             27.96
131072                 39.78             38.12             41.64       50000             39.88             50.46             54.38
262144                 78.25             74.99             81.66       50000             77.29            102.30            110.14
524288                161.01            157.90            166.66       50000            155.91            209.16            219.02
1048576               419.74            210.48            523.27       50000            419.52            424.98            427.42

Iterations: 100000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.39              0.23              0.50      100000              0.35              0.56              0.66
2                       0.38              0.23              0.50      100000              0.36              0.54              0.62
4                       0.39              0.23              0.51      100000              0.36              0.53              0.61
8                       0.39              0.23              0.51      100000              0.37              0.53              0.61
16                      0.39              0.23              0.50      100000              0.37              0.51              0.59
32                      0.58              0.24              0.91      100000              0.57              0.78              0.88
64                      0.57              0.25              0.90      100000              0.56              0.75              0.87
128                     0.89              0.43              1.31      100000              0.87              1.07              1.18
256                     0.94              0.46              1.36      100000              0.92              1.14              1.30
512                     1.13              0.61              1.63      100000              1.11              1.33              1.46
1024                    1.38              0.73              1.96      100000              1.36              1.56              1.67
2048                    1.85              1.00              2.65      100000              1.83              2.04              2.16
4096                    3.00              1.96              3.99      100000              2.98              3.24              3.37
8192                    5.08              2.03              7.57      100000              5.06              5.42              5.68
16384                   7.99              7.26              8.67      100000              7.92              9.57             10.58
32768                  13.10             12.23             13.99      100000             12.93             15.86             17.22
65536                  22.05             20.97             23.14      100000             22.14             26.02             28.36
131072                 40.98             38.57             42.78      100000             40.90             51.40             55.94
262144                 81.36             77.94             84.81      100000             79.66            106.96            114.89
524288                164.02            159.58            170.19      100000            157.27            216.24            225.75
1048576               422.12            211.97            526.56      100000            422.27            428.26            430.75

-------------------------------------------
