
Operation: bcast
Node: THIN

--------------------------------------------
Test: 1

Algorithm: 2
Procs: 4
Mapping: socket
Warmup: 2000
--------------------------------------------

Iterations: 10000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.39              0.39              0.41       10000              0.40              0.64              0.73
2                       0.41              0.40              0.41       10000              0.43              0.62              0.68
4                       0.40              0.39              0.41       10000              0.42              0.63              0.71
8                       0.40              0.39              0.40       10000              0.42              0.59              0.69
16                      0.41              0.39              0.43       10000              0.42              0.62              0.71
32                      0.65              0.55              0.81       10000              0.58              1.19              1.39
64                      0.61              0.51              0.71       10000              0.57              0.93              1.07
128                     1.14              0.94              1.53       10000              1.12              1.42              1.59
256                     1.21              1.00              1.61       10000              1.19              1.47              1.64
512                     1.45              1.14              1.95       10000              1.42              1.76              1.94
1024                    1.74              1.40              2.33       10000              1.71              2.08              2.30
2048                    2.54              2.18              3.43       10000              2.51              2.91              3.11
4096                    3.75              3.20              5.01       10000              3.72              4.15              4.36
8192                    5.93              5.00              7.93       10000              5.90              6.34              6.74
16384                   8.95              8.05              9.92       10000              9.01             11.30             12.39
32768                  14.37             13.48             15.50       10000             14.44             17.67             19.11
65536                  22.96             21.59             24.47       10000             23.23             27.62             29.94
131072                 41.57             39.73             43.83       10000             41.67             52.40             57.54
262144                 80.26             74.31             85.13       10000             78.42            108.72            116.08
524288                171.90            159.80            179.77       10000            159.71            221.55            232.11
1048576               305.35            288.51            318.21       10000            290.62            395.07            414.57

Iterations: 20000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.34              0.32              0.37       20000              0.30              0.56              0.69
2                       0.34              0.33              0.35       20000              0.31              0.56              0.65
4                       0.34              0.33              0.34       20000              0.29              0.54              0.65
8                       0.33              0.33              0.34       20000              0.31              0.53              0.60
16                      0.39              0.38              0.39       20000              0.38              0.53              0.61
32                      0.63              0.52              0.79       20000              0.56              1.14              1.27
64                      0.56              0.47              0.66       20000              0.53              0.82              0.93
128                     1.07              0.88              1.46       20000              1.04              1.32              1.44
256                     1.13              0.93              1.54       20000              1.09              1.41              1.58
512                     1.36              1.06              1.87       20000              1.34              1.65              1.81
1024                    1.71              1.35              2.34       20000              1.63              2.05              2.29
2048                    2.43              2.11              3.30       20000              2.38              2.78              2.97
4096                    3.65              3.08              4.79       20000              3.62              4.07              4.31
8192                    5.65              4.69              7.48       20000              5.64              6.03              6.26
16384                   8.32              7.56              9.23       20000              8.19             10.24             11.41
32768                  12.91             11.80             13.95       20000             12.76             15.36             16.74
65536                  21.58             20.50             23.01       20000             21.50             25.73             28.49
131072                 38.47             35.81             41.22       20000             38.52             50.41             55.30
262144                 73.09             65.80             78.58       20000             73.14            101.99            109.18
524288                150.64            139.09            159.33       20000            145.51            207.06            220.44
1048576               303.50            279.79            317.49       20000            296.42            390.58            417.41

Iterations: 50000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.39              0.39              0.39       50000              0.37              0.65              0.75
2                       0.39              0.39              0.39       50000              0.40              0.63              0.72
4                       0.39              0.39              0.39       50000              0.40              0.64              0.73
8                       0.39              0.39              0.39       50000              0.40              0.60              0.69
16                      0.40              0.40              0.41       50000              0.41              0.60              0.71
32                      0.71              0.59              0.89       50000              0.60              1.23              1.47
64                      0.64              0.54              0.77       50000              0.61              1.00              1.15
128                     1.18              0.97              1.55       50000              1.16              1.44              1.60
256                     1.24              1.04              1.66       50000              1.22              1.51              1.68
512                     1.47              1.17              1.99       50000              1.44              1.77              1.96
1024                    1.80              1.46              2.42       50000              1.77              2.16              2.43
2048                    2.53              2.16              3.42       50000              2.51              2.92              3.11
4096                    3.75              3.16              4.92       50000              3.73              4.19              4.49
8192                    5.83              4.86              7.66       50000              5.81              6.25              6.59
16384                   8.20              7.43              9.15       50000              8.05             10.08             11.22
32768                  12.82             11.86             13.89       50000             12.69             15.21             16.50
65536                  21.45             20.27             22.91       50000             21.42             25.16             26.99
131072                 39.17             36.93             41.51       50000             39.11             46.67             54.84
262144                 78.37             74.92             82.74       50000             77.74            105.57            112.09
524288                157.09            148.52            165.00       50000            149.49            213.17            225.54
1048576               304.47            286.28            317.89       50000            295.96            399.60            425.38

Iterations: 100000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.37              0.36              0.37      100000              0.33              0.64              0.74
2                       0.35              0.35              0.36      100000              0.29              0.63              0.73
4                       0.37              0.36              0.38      100000              0.34              0.63              0.76
8                       0.36              0.36              0.37      100000              0.32              0.60              0.70
16                      0.38              0.38              0.39      100000              0.38              0.64              0.78
32                      0.66              0.54              0.79      100000              0.58              1.20              1.42
64                      0.62              0.52              0.72      100000              0.60              0.92              1.09
128                     1.13              0.93              1.51      100000              1.09              1.43              1.60
256                     1.21              1.01              1.64      100000              1.19              1.48              1.63
512                     1.43              1.12              1.91      100000              1.39              1.76              1.95
1024                    1.76              1.41              2.36      100000              1.72              2.15              2.38
2048                    2.53              2.13              3.42      100000              2.50              2.89              3.12
4096                    3.89              3.24              5.12      100000              3.88              4.30              4.57
8192                    5.86              4.81              7.74      100000              5.84              6.26              6.54
16384                   8.60              7.72              9.53      100000              8.48             10.59             11.81
32768                  13.31             11.72             14.39      100000             13.15             15.82             17.28
65536                  22.46             20.44             23.90      100000             22.27             26.56             29.65
131072                 41.51             38.80             43.56      100000             41.23             53.66             57.61
262144                 82.81             79.87             86.61      100000             81.53            109.53            116.70
524288                157.98            148.57            166.41      100000            152.50            217.09            229.04
1048576               301.53            295.87            315.74      100000            290.30            408.23            437.65

-------------------------------------------
