
Operation: bcast
Node: EPYC

--------------------------------------------
Test: 1

Algorithm: 1
Procs: 64
Mapping: core
Iterations: 50000
--------------------------------------------

Warmup: 200
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       4.96              0.45             10.80       50000              4.84              5.63              6.65
2                       5.17              0.47             11.27       50000              5.05              5.85              6.84
4                       5.22              0.50             11.30       50000              5.08              5.90              7.14
8                       5.26              0.46             11.46       50000              5.12              6.17              7.19
16                      5.21              0.47             11.33       50000              5.06              6.02              7.05
32                      6.00              0.52             12.51       50000              5.74              7.77              8.61
64                      6.05              0.54             12.67       50000              5.86              7.45              8.43
128                    15.03              0.55             31.47       50000             14.84             16.21             19.29
256                    15.39              0.57             32.18       50000             15.14             16.74             19.84
512                    15.48              0.62             32.17       50000             15.27             16.66             19.95
1024                   17.69              0.69             36.53       50000             17.46             19.31             22.55
2048                   27.12              0.61             56.86       50000             26.89             28.90             32.36
4096                   36.46              0.72             75.81       50000             36.16             38.95             42.38
8192                   54.28              0.93            110.99       50000             52.38             61.34             65.40
16384                  50.47              5.95             83.69       50000             49.91             58.72             63.44
32768                  98.33             13.72            140.96       50000             95.36            126.14            138.13
65536                 243.58             91.85            289.04       50000            245.56            280.02            293.18
131072                501.13            326.59            553.42       50000            501.01            555.30            587.91
262144               1021.92            790.12           1093.53       50000           1021.81           1080.53           1106.63
524288               2164.64           1840.32           2265.85       50000           2166.02           2265.55           2303.01
1048576              4224.90           3779.86           4399.88       50000           4227.15           4364.76           4418.58

Warmup: 1000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       5.03              0.50             10.97       50000              4.86              6.14              7.35
2                       5.18              0.49             11.42       50000              5.07              6.05              6.94
4                       5.25              0.52             11.55       50000              5.15              6.03              6.91
8                       5.19              0.49             11.47       50000              5.10              5.97              6.82
16                      5.21              0.50             11.49       50000              5.11              6.14              7.04
32                      5.85              0.55             12.32       50000              5.58              7.76              9.03
64                      5.81              0.54             12.44       50000              5.68              7.08              7.94
128                    15.07              0.58             31.50       50000             14.89             16.37             18.85
256                    15.39              0.61             32.13       50000             15.17             17.09             19.21
512                    15.72              0.65             32.43       50000             15.56             16.79             19.78
1024                   18.09              0.72             37.07       50000             17.85             19.89             22.54
2048                   27.42              0.60             57.33       50000             27.28             28.87             32.42
4096                   36.84              0.74             76.42       50000             36.56             39.51             42.36
8192                   54.91              0.90            112.09       50000             52.77             61.84             65.71
16384                  51.20              5.77             85.45       50000             50.46             60.55             65.44
32768                 103.77             13.76            146.99       50000            102.65            133.54            141.18
65536                 253.47             93.58            296.76       50000            256.02            284.53            295.38
131072                511.27            330.90            563.62       50000            508.79            569.04            592.90
262144               1033.20            795.83           1105.39       50000           1033.23           1089.56           1113.29
524288               2156.69           1831.34           2257.89       50000           2157.77           2254.89           2293.48
1048576              3808.98           2012.58           4207.21       50000           3820.98           4039.93           4114.32

Warmup: 2000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       5.18              0.52             11.18       50000              5.05              6.06              7.05
2                       5.31              0.47             11.60       50000              5.17              6.26              7.09
4                       5.49              0.53             11.82       50000              5.37              6.45              7.44
8                       5.36              0.46             11.70       50000              5.25              6.32              7.17
16                      5.29              0.47             11.56       50000              5.18              6.17              7.05
32                      6.06              0.52             12.67       50000              5.80              7.79              8.57
64                      6.13              0.54             12.83       50000              5.97              7.44              8.29
128                    15.03              0.55             31.48       50000             14.87             16.13             19.01
256                    15.49              0.56             32.38       50000             15.30             16.95             19.49
512                    15.61              0.58             32.45       50000             15.44             16.75             19.88
1024                   17.93              0.65             37.01       50000             17.73             19.83             22.40
