
Operation: bcast
Node: EPYC

--------------------------------------------
Test: 1

Algorithm: 0
Procs: 16
Mapping: numa
Iterations: 100000
--------------------------------------------

Warmup: 200
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.02              1.43              2.88      100000              1.94              2.40              2.81
2                       2.07              1.45              2.90      100000              2.04              2.45              2.92
4                       1.91              1.31              2.70      100000              1.87              2.40              2.70
8                       1.91              1.30              2.70      100000              1.86              2.44              2.71
16                      1.93              1.31              2.72      100000              1.87              2.47              2.72
32                      2.36              1.61              3.32      100000              2.32              2.90              3.46
64                      2.35              1.59              3.31      100000              2.30              2.88              3.34
128                     3.49              2.44              4.82      100000              3.47              3.99              4.26
256                     3.57              2.49              4.91      100000              3.54              4.06              4.47
512                     3.85              2.81              5.28      100000              3.82              4.31              5.08
1024                    4.19              3.05              5.87      100000              4.12              4.76              5.11
2048                    5.86              3.91              8.17      100000              5.80              6.43              6.92
4096                    7.47              5.20              9.59      100000              7.39              7.96              8.74
8192                   11.70              8.66             14.56      100000             11.59             12.19             14.99
16384                  24.20             10.15             36.55      100000             23.84             26.67             29.61
32768                  42.79             19.06             58.51      100000             42.48             47.58             50.85
65536                  87.86             36.79            119.35      100000             88.01             96.40            100.53
131072                170.30             73.32            249.50      100000            170.19            182.06            188.46
262144                344.32            164.23            511.22      100000            343.09            361.64            378.85
524288                688.21            331.23           1030.03      100000            685.37            712.67            840.48
1048576               580.60            552.51            605.84      100000            579.48            596.30            605.32

Warmup: 1000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.85              1.30              2.62      100000              1.83              2.18              2.52
2                       1.93              1.35              2.72      100000              1.89              2.32              2.69
4                       1.90              1.32              2.67      100000              1.87              2.28              2.65
8                       1.91              1.32              2.71      100000              1.88              2.30              2.59
16                      1.91              1.32              2.71      100000              1.88              2.37              2.61
32                      2.38              1.66              3.31      100000              2.34              2.96              3.38
64                      2.38              1.64              3.34      100000              2.34              2.88              3.17
128                     3.57              2.49              4.95      100000              3.54              4.04              4.48
256                     3.58              2.47              4.98      100000              3.55              4.05              4.41
512                     3.94              2.85              5.49      100000              3.92              4.39              4.72
1024                    4.16              3.01              5.80      100000              4.11              4.71              5.01
2048                    5.92              3.93              8.24      100000              5.87              6.47              6.97
4096                    7.48              5.16              9.68      100000              7.40              7.93              8.59
8192                   11.74              8.71             14.60      100000             11.62             12.24             15.05
16384                  24.61             10.82             36.93      100000             24.15             27.96             30.42
32768                  44.37             20.88             59.08      100000             43.97             49.95             53.50
65536                  89.49             37.41            136.64      100000             89.52             99.32            104.16
131072                169.70             77.83            246.17      100000            169.56            182.92            189.76
262144                343.79            167.43            505.05      100000            342.42            362.74            382.12
524288                687.39            351.54           1016.67      100000            684.60            714.55            839.66
1048576               565.17            549.40            602.80      100000            564.89            573.96            578.39

Warmup: 2000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.86              1.34              2.66      100000              1.84              2.24              2.50
2                       1.97              1.38              2.80      100000              1.91              2.33              2.59
4                       1.97              1.39              2.81      100000              1.92              2.49              2.79
8                       1.91              1.35              2.72      100000              1.87              2.39              2.75
16                      1.97              1.41              2.79      100000              1.90              2.42              2.76
32                      2.45              1.66              3.45      100000              2.40              3.01              3.31
64                      2.43              1.66              3.43      100000              2.39              2.93              3.21
128                     3.51              2.44              4.89      100000              3.50              3.91              4.22
256                     3.61              2.51              4.98      100000              3.56              4.08              4.47
512                     3.90              2.81              5.37      100000              3.86              4.41              4.73
1024                    4.18              3.05              5.87      100000              4.12              4.71              5.11
2048                    5.81              3.81              8.16      100000              5.74              6.40              6.87
4096                    7.47              5.13              9.66      100000              7.39              7.95              8.64
8192                   11.69              8.57             14.58      100000             11.58             12.21             14.80
16384                  24.51              9.77             37.66      100000             24.07             28.06             29.90
32768                  41.55             17.75             57.42      100000             40.84             47.73             50.53
65536                  88.27             37.33            136.98      100000             88.25             98.93            104.06
131072                169.42             74.86            247.73      100000            169.02            182.24            189.48
262144                342.46            163.65            500.06      100000            341.20            359.72            378.51
524288                684.06            331.64           1012.46      100000            681.24            708.24            828.84
1048576               623.43            577.03            660.05      100000            618.08            665.50            674.90

Warmup: 5000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.03              1.45              2.84      100000              1.98              2.38              2.71
2                       2.07              1.46              2.92      100000              2.04              2.39              2.69
4                       1.96              1.39              2.75      100000              1.93              2.42              2.66
8                       1.91              1.34              2.71      100000              1.87              2.41              2.66
16                      1.97              1.42              2.79      100000              1.91              2.50              2.78
32                      2.41              1.66              3.38      100000              2.36              2.97              3.47
64                      2.36              1.64              3.32      100000              2.32              2.89              3.15
128                     3.54              2.49              4.88      100000              3.50              3.93              4.38
256                     3.63              2.54              4.98      100000              3.61              4.06              4.30
512                     3.88              2.77              5.32      100000              3.85              4.33              4.60
1024                    4.16              3.03              5.79      100000              4.12              4.70              5.17
2048                    5.91              3.94              8.22      100000              5.86              6.43              6.84
4096                    7.49              5.20              9.63      100000              7.41              7.98              8.50
8192                   11.70              8.64             14.56      100000             11.58             12.18             15.26
16384                  24.45             10.45             36.90      100000             23.83             28.40             30.75
32768                  42.70             17.40             64.01      100000             42.19             48.88             53.00
65536                  89.11             37.71            156.31      100000             88.89             99.46            103.93
131072                145.26             57.86            222.69      100000            144.82            158.96            168.94
262144                308.12            156.80            452.04      100000            306.77            338.41            354.91
524288                640.31            344.38            929.58      100000            645.16            685.88            750.54
1048576               561.27            552.37            584.42      100000            560.93            570.02            574.52


--------------------------------------------
Test: 2

Algorithm: 4
Procs: 4
Mapping: numa
Iterations: 100000
--------------------------------------------

Warmup: 200
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.80              0.22              1.15      100000              0.78              0.87              0.94
2                       0.90              0.38              1.27      100000              0.89              0.96              1.04
4                       0.91              0.37              1.29      100000              0.90              0.96              1.02
8                       0.90              0.37              1.28      100000              0.89              0.97              1.17
16                      0.90              0.38              1.27      100000              0.89              0.95              1.01
32                      0.90              0.39              1.28      100000              0.90              0.97              1.02
64                      1.06              0.45              1.48      100000              1.03              1.29              1.52
128                     1.05              0.44              1.46      100000              1.04              1.17              1.30
256                     1.50              0.86              1.96      100000              1.50              1.74              1.84
512                     1.57              0.91              2.00      100000              1.56              1.81              1.92
1024                    1.84              1.00              2.37      100000              1.82              2.11              2.25
2048                    2.01              1.10              2.59      100000              1.98              2.38              2.54
4096                    3.06              2.05              3.60      100000              3.05              3.36              3.58
8192                    4.30              2.94              5.03      100000              4.27              4.64              5.01
