
Operation: bcast
Node: THIN

--------------------------------------------
Test: 1

Algorithm: 0
Procs: 2
Mapping: socket
Iterations: 20000
--------------------------------------------

Warmup: 200
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.44              0.27              0.61       20000              0.42              0.58              0.62
2                       0.44              0.27              0.61       20000              0.42              0.58              0.70
4                       0.44              0.27              0.61       20000              0.42              0.58              0.60
8                       0.44              0.27              0.61       20000              0.42              0.58              0.63
16                      0.44              0.27              0.61       20000              0.42              0.58              0.60
32                      0.66              0.41              0.90       20000              0.51              1.19              1.34
64                      0.58              0.35              0.82       20000              0.51              0.87              0.92
128                     1.05              0.77              1.32       20000              1.01              1.29              1.43
256                     1.05              0.75              1.36       20000              1.04              1.24              1.39
512                     0.93              0.35              1.50       20000              0.89              1.19              1.37
1024                    1.03              0.45              1.61       20000              1.01              1.22              1.32
2048                    1.38              0.55              2.21       20000              1.34              1.74              2.08
4096                    2.07              1.11              3.03       20000              2.03              2.43              2.58
8192                    3.21              1.86              4.56       20000              3.17              3.56              3.87
16384                   3.93              3.75              4.11       20000              3.97              4.15              4.44
32768                   6.09              5.86              6.33       20000              6.02              6.48              6.75
65536                   7.76              7.52              7.99       20000              7.70              8.12              8.49
131072                 11.18             10.93             11.43       20000             11.12             11.63             14.12
262144                 17.55             17.39             17.72       20000             17.50             17.99             20.89
524288                 31.58             31.44             31.72       20000             31.43             32.20             35.33
1048576                66.47             66.36             66.58       20000             66.10             70.54             71.54

Warmup: 1000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.37              0.12              0.63       20000              0.34              0.51              0.60
2                       0.35              0.11              0.60       20000              0.33              0.49              0.55
4                       0.36              0.12              0.61       20000              0.33              0.49              0.60
8                       0.36              0.11              0.60       20000              0.33              0.49              0.54
16                      0.37              0.12              0.61       20000              0.34              0.50              0.58
32                      0.49              0.11              0.87       20000              0.42              0.77              0.81
64                      0.49              0.13              0.84       20000              0.43              0.73              0.84
128                     0.79              0.29              1.30       20000              0.77              0.93              1.02
256                     0.75              0.31              1.20       20000              0.73              0.95              1.08
512                     0.90              0.32              1.49       20000              0.87              1.13              1.41
1024                    1.05              0.48              1.63       20000              1.03              1.27              1.40
2048                    1.36              0.49              2.22       20000              1.35              1.57              1.67
4096                    2.01              1.06              2.95       20000              2.00              2.35              2.57
8192                    3.26              1.83              4.68       20000              3.21              3.51              3.70
16384                   3.80              3.68              3.92       20000              3.66              4.19              4.51
32768                   6.06              5.82              6.29       20000              5.94              6.56              6.95
65536                   7.78              7.55              8.00       20000              7.69              8.25              8.64
131072                 11.22             10.98             11.46       20000             11.13             11.64             14.93
262144                 19.39             19.21             19.56       20000             19.28             19.87             22.86
524288                 38.27             38.16             38.37       20000             38.11             39.23             42.20
1048576                76.90             76.85             76.96       20000             76.60             80.61             82.20

Warmup: 2000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.36              0.12              0.61       20000              0.33              0.48              0.56
2                       0.36              0.12              0.60       20000              0.33              0.48              0.51
4                       0.36              0.12              0.60       20000              0.33              0.48              0.50
8                       0.37              0.13              0.60       20000              0.33              0.49              0.56
16                      0.37              0.13              0.61       20000              0.34              0.49              0.54
32                      0.51              0.14              0.89       20000              0.43              0.80              0.92
64                      0.49              0.12              0.85       20000              0.44              0.61              0.69
128                     0.79              0.28              1.29       20000              0.77              0.95              1.05
256                     0.77              0.29              1.25       20000              0.75              0.94              1.04
512                     0.90              0.32              1.49       20000              0.86              1.17              1.29
1024                    1.01              0.44              1.59       20000              0.99              1.21              1.32
2048                    1.34              0.50              2.18       20000              1.30              1.65              1.80
4096                    2.05              1.09              3.00       20000              2.04              2.38              2.56
8192                    3.26              1.89              4.63       20000              3.16              3.52              3.81
16384                   3.69              3.53              3.85       20000              3.68              4.05              4.24
32768                   5.98              5.72              6.23       20000              5.89              6.39              6.67
65536                   7.65              7.39              7.90       20000              7.56              8.03              8.37
131072                 11.34             11.08             11.60       20000             11.25             11.69             15.18
262144                 20.54             20.38             20.70       20000             20.43             20.98             24.72
524288                 37.50             37.35             37.65       20000             37.33             38.19             42.14
1048576                76.37             76.23             76.51       20000             76.00             80.45             81.89

Warmup: 5000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.37              0.12              0.61       20000              0.34              0.50              0.57
2                       0.36              0.12              0.60       20000              0.34              0.50              0.55
4                       0.36              0.12              0.60       20000              0.34              0.49              0.64
8                       0.36              0.12              0.60       20000              0.34              0.50              0.58
16                      0.37              0.13              0.61       20000              0.34              0.50              0.56
32                      0.51              0.13              0.89       20000              0.44              0.77              0.82
64                      0.51              0.14              0.88       20000              0.45              0.77              0.86
128                     0.76              0.27              1.26       20000              0.74              0.91              1.00
256                     0.79              0.29              1.29       20000              0.76              0.97              1.09
512                     0.90              0.31              1.48       20000              0.86              1.17              1.40
1024                    1.05              0.46              1.64       20000              1.01              1.30              1.42
2048                    1.33              0.49              2.17       20000              1.32              1.57              1.69
4096                    2.08              1.08              3.07       20000              2.04              2.38              2.64
8192                    3.44              2.31              4.57       20000              3.40              3.79              4.10
16384                   3.78              3.63              3.93       20000              3.70              4.19              4.49
32768                   6.08              5.84              6.32       20000              5.99              6.48              6.69
65536                   7.71              7.47              7.95       20000              7.60              8.15              8.56
131072                 10.99             10.74             11.24       20000             10.89             11.40             14.03
262144                 18.71             18.55             18.86       20000             18.60             19.15             22.27
