
Operation: bcast
Node: THIN

--------------------------------------------
Test: 1

Algorithm: 3
Procs: 16
Mapping: core
Iterations: 10000
--------------------------------------------

Warmup: 200
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.99              0.18              5.99       10000              2.97              3.35              3.63
2                       2.98              0.17              5.99       10000              2.96              3.27              3.46
4                       3.02              0.18              6.05       10000              2.94              3.26              3.47
8                       2.98              0.18              5.99       10000              2.94              3.25              3.45
16                      2.97              0.18              5.98       10000              2.94              3.31              3.52
32                      3.56              0.20              7.30       10000              3.52              3.96              4.24
64                      4.19              0.20              8.45       10000              3.45              3.81              4.25
128                     4.56              0.23              9.27       10000              4.40              4.70              5.05
256                     4.51              0.27              9.31       10000              4.48              4.81              5.14
512                     4.84              0.25             10.03       10000              4.81              5.15              5.49
1024                    5.66              0.28             11.68       10000              5.62              5.98              6.44
2048                    7.12              0.33             14.76       10000              7.07              7.36              8.31
4096                   10.64              0.63             21.35       10000             10.58             10.98             12.52
8192                   16.91              0.89             33.91       10000             16.84             17.31             19.46
16384                  39.73              3.81             72.81       10000             39.55             40.81             42.38
32768                  57.50              5.39            105.42       10000             57.31             58.90             60.08
65536                  91.47              8.83            167.19       10000             91.10             93.13             94.82
131072                163.04             16.00            298.42       10000            162.84            166.09            167.97
262144                311.51             29.67            567.32       10000            311.24            314.83            317.04
524288                655.03             60.44           1185.37       10000            650.90            670.86            674.75
1048576              1282.16            131.12           2274.08       10000           1280.79           1289.31           1298.19

Warmup: 1000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       3.09              0.21              6.29       10000              3.05              3.43              3.84
2                       3.04              0.19              6.11       10000              2.99              3.33              3.51
4                       3.01              0.19              6.06       10000              2.99              3.32              3.50
8                       2.99              0.19              6.02       10000              2.96              3.29              3.47
16                      3.01              0.19              6.05       10000              2.97              3.33              3.53
32                      4.00              0.21              8.00       10000              3.52              3.98              4.36
64                      3.55              0.20              7.36       10000              3.45              3.80              4.10
128                     4.42              0.23              9.09       10000              4.39              4.70              5.29
256                     4.52              0.24              9.29       10000              4.49              4.85              5.19
512                     4.82              0.25              9.97       10000              4.77              5.13              5.47
1024                    5.61              0.28             11.56       10000              5.56              5.92              6.55
2048                    7.12              0.33             14.72       10000              7.08              7.39              8.25
4096                   10.70              0.49             21.38       10000             10.64             11.08             12.99
8192                   16.85              0.93             33.36       10000             16.74             17.39             19.52
16384                  40.32              3.84             73.71       10000             40.16             41.47             43.05
32768                  58.30              5.74            106.58       10000             58.16             59.88             60.98
65536                  91.24              8.68            167.94       10000             90.82             92.93             94.51
131072                161.56             14.93            297.96       10000            161.10            164.27            166.16
262144                311.87             27.43            571.82       10000            311.50            315.65            318.28
524288                675.91             73.83           1227.03       10000            684.55            691.85            695.54
1048576              1391.70            156.83           2438.42       10000           1390.39           1399.97           1407.92

Warmup: 2000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       3.04              0.19              6.07       10000              3.02              3.40              3.81
2                       2.97              0.19              5.97       10000              2.94              3.26              3.47
4                       2.97              0.19              5.96       10000              2.94              3.28              3.50
8                       3.11              0.19              6.24       10000              2.94              3.27              3.47
16                      2.95              0.19              5.93       10000              2.92              3.27              3.47
32                      4.16              0.19              8.46       10000              3.44              3.91              4.31
64                      3.55              0.20              7.15       10000              3.39              3.75              4.11
128                     4.41              0.23              9.05       10000              4.38              4.68              5.06
256                     4.50              0.24              9.26       10000              4.47              4.83              5.21
512                     4.82              0.24              9.95       10000              4.79              5.13              5.49
1024                    5.68              0.28             11.66       10000              5.64              5.94              6.70
2048                    7.17              0.34             14.84       10000              7.13              7.45              8.33
4096                   10.65              0.65             21.47       10000             10.56             10.92             12.70
8192                   16.44              0.88             33.05       10000             16.37             16.90             19.00
