


--------------------------------------------
Algorithm: 0
--------------------------------------------


Procs: 2

Iter: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.15              0.10              0.20           1              0.15              0.15              0.15
2                       0.16              0.09              0.23           1              0.16              0.16              0.16
4                       0.15              0.10              0.21           1              0.15              0.15              0.15
8                       0.16              0.10              0.22           1              0.16              0.16              0.16
16                      0.15              0.09              0.21           1              0.15              0.15              0.15
32                      0.18              0.12              0.23           1              0.18              0.18              0.18
64                      0.16              0.10              0.22           1              0.16              0.16              0.16
128                     0.23              0.15              0.30           1              0.23              0.23              0.23
256                     0.23              0.15              0.30           1              0.23              0.23              0.23
512                     0.29              0.19              0.38           1              0.29              0.29              0.29
1024                    0.27              0.17              0.36           1              0.27              0.27              0.27
2048                    0.30              0.20              0.40           1              0.30              0.30              0.30
4096                    0.42              0.28              0.56           1              0.42              0.42              0.42
8192                    0.51              0.36              0.66           1              0.51              0.51              0.51
16384                   4.41              4.33              4.49           1              4.41              4.41              4.41
32768                   5.10              4.99              5.21           1              5.10              5.10              5.10
65536                   6.71              6.63              6.79           1              6.71              6.71              6.71
131072                 11.50             11.41             11.59           1             11.50             11.50             11.50
262144                 21.08             21.07             21.09           1             21.08             21.08             21.08
524288                 40.99             40.98             41.00           1             40.99             40.99             40.99
1048576                77.92             77.92             77.93           1             77.92             77.92             77.92

Iter: 10
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.15              0.09              0.22          10              0.15              0.16              0.16
2                       0.16              0.09              0.23          10              0.16              0.19              0.19
4                       0.15              0.09              0.20          10              0.15              0.16              0.16
8                       0.15              0.09              0.21          10              0.15              0.17              0.17
16                      0.15              0.10              0.20          10              0.14              0.16              0.16
32                      0.16              0.10              0.22          10              0.16              0.19              0.19
64                      0.14              0.09              0.19          10              0.14              0.15              0.15
128                     0.21              0.15              0.27          10              0.21              0.22              0.22
256                     0.22              0.15              0.29          10              0.22              0.25              0.25
512                     0.24              0.16              0.32          10              0.24              0.26              0.26
1024                    0.25              0.15              0.35          10              0.25              0.28              0.28
2048                    0.29              0.19              0.40          10              0.29              0.32              0.32
4096                    0.39              0.26              0.51          10              0.39              0.40              0.40
8192                    0.51              0.36              0.66          10              0.51              0.57              0.57
16384                   4.43              4.34              4.52          10              4.42              4.48              4.48
32768                   5.29              5.15              5.42          10              5.23              5.89              5.89
65536                   6.78              6.71              6.85          10              6.69              7.52              7.52
131072                 10.99             10.90             11.09          10             11.03             11.32             11.32
262144                 20.91             20.90             20.93          10             20.99             21.30             21.30
524288                 40.56             40.54             40.58          10             40.33             42.18             42.18
1048576                79.47             79.44             79.49          10             78.65             83.51             83.51

Iter: 100
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.16              0.10              0.22         100              0.16              0.17              0.18
2                       0.16              0.10              0.22         100              0.16              0.18              0.18
4                       0.16              0.09              0.22         100              0.15              0.18              0.18
8                       0.16              0.10              0.22         100              0.15              0.17              0.18
16                      0.16              0.10              0.22         100              0.16              0.18              0.18
32                      0.18              0.10              0.25         100              0.16              0.19              0.23
64                      0.16              0.10              0.22         100              0.16              0.18              0.18
128                     0.22              0.15              0.29         100              0.22              0.25              0.26
256                     0.22              0.15              0.29         100              0.22              0.25              0.26
512                     0.24              0.16              0.31         100              0.23              0.26              0.27
1024                    0.25              0.16              0.35         100              0.25              0.28              0.30
2048                    0.30              0.19              0.41         100              0.30              0.33              0.34
4096                    0.40              0.27              0.53         100              0.39              0.44              0.47
8192                    0.56              0.41              0.72         100              0.56              0.61              0.64
16384                   4.41              4.32              4.49         100              4.40              4.46              4.47
32768                   5.18              5.10              5.25         100              5.17              5.24              5.25
65536                   6.69              6.62              6.77         100              6.64              6.73              7.02
131072                  9.89              9.81              9.96         100              9.73             10.21             10.49
262144                 20.45             20.41             20.50         100             18.39             19.79             26.59
524288                 40.26             40.23             40.29         100             39.56             44.30             47.52
1048576                80.98             80.94             81.02         100             79.14             82.34             84.51

