
Operation: bcast
Node: THIN

--------------------------------------------
Test: 1

Algorithm: 3
Procs: 8
Mapping: core
Warmup: 200
--------------------------------------------

Iterations: 10000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.90              0.24              3.16       10000              1.86              2.23              2.62
2                       1.65              0.17              2.73       10000              1.60              1.94              2.10
4                       1.53              0.17              2.53       10000              1.49              1.81              2.01
8                       1.57              0.19              2.56       10000              1.54              1.87              2.04
16                      1.55              0.17              2.54       10000              1.52              1.83              1.98
32                      2.29              0.17              3.62       10000              2.27              2.88              3.12
64                      2.07              0.19              3.35       10000              2.05              2.43              2.67
128                     2.87              0.27              4.60       10000              2.85              3.19              3.44
256                     3.22              0.29              5.13       10000              2.91              3.32              3.57
512                     3.51              0.26              5.79       10000              3.26              3.69              4.03
1024                    3.94              0.44              6.38       10000              3.91              4.36              4.73
2048                    5.33              0.50              8.69       10000              5.29              5.84              6.18
4096                    7.63              1.40             12.22       10000              7.60              8.18              9.21
8192                   12.01              2.43             19.39       10000             11.95             12.67             14.39
16384                  23.50              4.62             36.30       10000             23.40             24.37             26.35
32768                  34.66              6.20             53.01       10000             34.51             35.80             37.77
65536                  56.42              9.51             86.69       10000             56.04             57.91             59.67
131072                100.36             16.08            153.23       10000            100.16            102.80            104.69
262144                188.26             28.69            287.31       10000            187.79            191.29            193.67
524288                365.09             54.49            555.58       10000            364.90            369.11            372.01
1048576               723.50            114.26           1083.39       10000            712.43            768.89            776.15

Iterations: 20000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.62              0.18              2.66       20000              1.60              1.91              2.08
2                       1.56              0.18              2.56       20000              1.54              1.86              2.04
4                       1.56              0.18              2.56       20000              1.55              1.88              2.07
8                       1.58              0.18              2.59       20000              1.57              1.87              2.04
16                      1.57              0.18              2.57       20000              1.54              1.87              2.04
32                      2.15              0.18              3.42       20000              2.11              2.71              2.95
64                      2.28              0.19              3.71       20000              2.12              2.52              2.77
128                     2.99              0.27              4.77       20000              2.92              3.30              3.54
256                     3.00              0.30              4.81       20000              2.98              3.35              3.57
512                     3.38              0.27              5.50       20000              3.35              3.83              4.15
1024                    4.07              0.44              6.61       20000              4.02              4.50              4.82
2048                    5.30              0.53              8.60       20000              5.26              5.80              6.27
4096                    7.50              1.44             11.99       20000              7.44              8.23              8.85
8192                   11.85              2.44             18.97       20000             11.80             12.46             14.11
16384                  23.57              4.65             36.41       20000             23.40             24.47             26.20
32768                  34.75              6.17             53.24       20000             34.64             35.86             37.58
65536                  56.04              9.19             85.76       20000             55.78             57.72             59.38
131072                109.02             15.66            163.50       20000            102.08            121.11            122.88
262144                193.09             27.84            291.62       20000            188.28            208.33            210.44
524288                363.23             52.91            550.04       20000            362.72            367.80            370.37
1048576               714.52            112.94           1075.83       20000            713.95            731.37            736.19

Iterations: 50000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.60              0.20              2.62       50000              1.56              1.90              2.06
2                       1.59              0.20              2.61       50000              1.58              1.88              2.04
4                       1.69              0.22              2.77       50000              1.60              1.90              2.04
8                       1.61              0.21              2.62       50000              1.56              1.90              2.10
16                      1.58              0.20              2.60       50000              1.55              1.87              2.02
