
Operation: bcast
Node: THIN

--------------------------------------------
Test: 1

Algorithm: 0
Procs: 2
Mapping: L3cache
Warmup: 2000
--------------------------------------------

Iterations: 10000

--------------------------------------------
Test: 1

Algorithm: 1
Procs: 8
Mapping: core
Warmup: 2000
--------------------------------------------

Iterations: 10000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.45              0.19              0.70       10000              0.42              0.59              0.62
2                       0.42              0.17              0.67       10000              0.39              0.55              0.60
4                       0.39              0.14              0.64       10000              0.36              0.53              0.57
8                       0.39              0.14              0.64       10000              0.35              0.51              0.59
16                      0.37              0.13              0.61       10000              0.34              0.50              0.57
32                      0.52              0.15              0.88       10000              0.43              0.87              1.03
64                      0.51              0.13              0.90       10000              0.51              0.64              0.74
128                     0.79              0.29              1.28       10000              0.74              1.01              1.12
256                     0.81              0.31              1.30       10000              0.79              1.06              1.24
512                     0.90              0.33              1.48       10000              0.86              1.15              1.30
1024                    1.02              0.44              1.59       10000              1.00              1.21              1.34
2048                    1.30              0.44              2.15       10000              1.28              1.59              1.73
4096                    2.05              1.07              3.02       10000              2.04              2.38              2.55
8192                    3.22              1.90              4.54       10000              3.20              3.57              3.78
16384                   3.61              3.46              3.77       10000              3.56              4.13              4.25
32768                   5.81              5.57              6.05       10000              5.70              6.32              6.60
65536                   7.66              7.43              7.90       10000              7.46              8.03              8.39
131072                 10.42             10.18             10.66       10000             10.32             10.92             12.80
262144                 15.83             15.56             16.09       10000             15.76             16.37             19.13
524288                 29.18             28.95             29.40       10000             29.04             29.63             32.99
1048576                61.40             61.34             61.45       10000             61.09             64.93             66.13

Iterations: 20000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.37              0.13              0.61       20000              0.34              0.49              0.55
2                       0.36              0.13              0.60       20000              0.34              0.48              0.53
4                       0.37              0.13              0.60       20000              0.34              0.49              0.58
8                       0.36              0.13              0.60       20000              0.34              0.49              0.53
16                      0.37              0.13              0.61       20000              0.34              0.48              0.53
32                      0.49              0.12              0.85       20000              0.43              0.76              0.80
64                      0.49              0.14              0.83       20000              0.43              0.72              0.82
128                     0.75              0.27              1.23       20000              0.73              0.93              1.01
256                     0.81              0.32              1.31       20000              0.79              1.03              1.15
512                     0.88              0.31              1.45       20000              0.85              1.12              1.29
1024                    1.04              0.47              1.61       20000              1.01              1.30              1.43
2048                    1.32              0.45              2.19       20000              1.32              1.51              1.63
4096                    2.00              1.05              2.94       20000              1.98              2.34              2.50
8192                    3.29              1.86              4.71       20000              3.24              3.52              3.68
16384                   3.78              3.63              3.94       20000              3.82              4.19              4.36
32768                   5.94              5.69              6.19       20000              5.85              6.34              6.59
65536                   7.32              7.08              7.56       20000              7.22              7.79              8.06
131072                 10.23              9.98             10.48       20000             10.13             10.66             12.84
262144                 15.87             15.59             16.14       20000             15.80             16.34             19.19
524288                 29.09             28.84             29.33       20000             28.96             29.59             33.21
1048576                61.58             61.50             61.65       20000             61.24             65.24             66.66

Iterations: 50000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.37              0.12              0.61       50000              0.34              0.50              0.57
2                       0.37              0.12              0.61       50000              0.34              0.50              0.57
4                       0.37              0.12              0.61       50000              0.34              0.50              0.57
8                       0.37              0.12              0.61       50000              0.34              0.50              0.56
16                      0.37              0.12              0.62       50000              0.34              0.50              0.57
32                      0.50              0.12              0.87       50000              0.43              0.78              0.82
64                      0.48              0.12              0.83       50000              0.43              0.63              0.74
128                     0.75              0.26              1.25       50000              0.75              0.92              1.03
256                     0.81              0.28              1.33       50000              0.78              0.98              1.11
512                     0.88              0.30              1.46       50000              0.86              1.13              1.33
1024                    1.00              0.42              1.57       50000              0.99              1.18              1.29
2048                    1.30              0.45              2.15       50000              1.30              1.55              1.68
4096                    2.25              1.47              3.03       50000              2.25              2.59              2.78
8192                    3.51              2.47              4.56       50000              3.49              3.84              4.07
16384                   3.80              3.66              3.94       50000              3.80              4.28              4.40
32768                   5.89              5.64              6.13       50000              5.79              6.26              6.48
65536                   7.22              6.97              7.47       50000              7.14              7.64              8.05
131072                 10.08              9.83             10.33       50000              9.99             10.54             12.47
262144                 15.38             15.11             15.64       50000             15.32             16.00             18.66
