
Operation: bcast
Node: THIN

--------------------------------------------
Test: 

Algorithm: 2
Procs: 2
Mapping: socket
Warmup: 5000
--------------------------------------------

Iterations: 10000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.37              0.12              0.62       10000              0.34              0.50              0.55
2                       0.38              0.13              0.62       10000              0.34              0.50              0.55
4                       0.37              0.13              0.62       10000              0.34              0.50              0.57
8                       0.38              0.13              0.62       10000              0.34              0.50              0.57
16                      0.37              0.13              0.62       10000              0.34              0.51              0.59
32                      0.54              0.15              0.93       10000              0.46              0.85              0.97
64                      0.50              0.14              0.86       10000              0.45              0.68              0.74
128                     0.79              0.29              1.29       10000              0.75              1.00              1.11
256                     0.81              0.30              1.32       10000              0.79              1.00              1.09
512                     0.89              0.31              1.47       10000              0.86              1.15              1.32
1024                    1.03              0.45              1.60       10000              1.01              1.22              1.32
2048                    1.46              0.66              2.26       10000              1.45              1.73              1.86
4096                    2.04              1.09              2.98       10000              2.01              2.43              2.57
8192                    3.34              1.95              4.74       10000              3.33              3.69              3.88
16384                   3.53              3.38              3.68       10000              3.50              3.87              4.14
32768                   6.29              5.97              6.60       10000              6.02              6.53              6.82
65536                   7.41              7.15              7.66       10000              7.31              7.85              8.18
131072                 10.30             10.04             10.56       10000             10.21             10.76             12.50
262144                 15.62             15.36             15.88       10000             15.52             16.12             18.69
524288                 28.47             28.20             28.74       10000             28.34             29.06             32.10
1048576                60.19             60.05             60.33       10000             59.92             63.48             64.65

Iterations: 20000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.38              0.13              0.63       20000              0.35              0.52              0.58
2                       0.38              0.13              0.63       20000              0.35              0.52              0.66
4                       0.38              0.13              0.63       20000              0.35              0.52              0.58
8                       0.38              0.13              0.63       20000              0.35              0.51              0.58
16                      0.37              0.13              0.62       20000              0.35              0.51              0.57
32                      0.54              0.14              0.94       20000              0.45              0.85              0.95
64                      0.50              0.13              0.87       20000              0.46              0.64              0.72
128                     0.78              0.28              1.28       20000              0.75              0.95              1.04
256                     0.81              0.30              1.33       20000              0.79              1.02              1.18
512                     0.91              0.33              1.50       20000              0.87              1.19              1.37
1024                    1.04              0.46              1.61       20000              1.03              1.22              1.32
2048                    1.45              0.65              2.25       20000              1.44              1.75              1.91
4096                    2.10              1.10              3.11       20000              2.06              2.42              2.59
8192                    3.64              2.45              4.82       20000              3.57              3.98              4.33
16384                   3.74              3.60              3.88       20000              3.64              4.14              4.64
32768                   6.05              5.81              6.29       20000              6.01              6.46              6.77
65536                   7.33              7.09              7.57       20000              7.23              7.83              8.36
131072                 10.31             10.06             10.57       20000             10.26             10.83             12.47
262144                 15.74             15.48             16.00       20000             15.66             16.31             18.95
524288                 28.48             28.23             28.73       20000             28.36             29.14             32.13
1048576                61.18             61.09             61.28       20000             60.90             64.52             65.83

Iterations: 50000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.38              0.13              0.62       50000              0.35              0.49              0.56
2                       0.39              0.15              0.64       50000              0.37              0.51              0.57
4                       0.37              0.13              0.61       50000              0.34              0.49              0.56
8                       0.38              0.13              0.62       50000              0.35              0.49              0.56
16                      0.38              0.13              0.62       50000              0.34              0.50              0.65
32                      0.50              0.16              0.85       50000              0.46              0.74              0.84
64                      0.48              0.14              0.82       50000              0.44              0.66              0.74
128                     0.79              0.29              1.28       50000              0.75              1.02              1.13
256                     0.85              0.35              1.36       50000              0.80              1.06              1.19
512                     0.92              0.34              1.51       50000              0.88              1.21              1.39
1024                    1.09              0.50              1.67       50000              1.05              1.35              1.53
2048                    1.46              0.66              2.25       50000              1.43              1.85              2.01
4096                    2.34              1.53              3.15       50000              2.34              2.75              3.05
8192                    3.57              2.50              4.65       50000              3.55              3.91              4.18
16384                   3.61              3.45              3.76       50000              3.55              3.99              4.23
32768                   5.90              5.65              6.15       50000              5.84              6.36              6.77
65536                   7.21              6.95              7.47       50000              7.11              7.72              8.13
131072                  9.95              9.69             10.21       50000              9.88             10.46             11.95
262144                 15.14             14.87             15.41       50000             15.06             15.75             18.13
524288                 29.45             29.22             29.69       50000             29.41             30.59             33.27
1048576                60.70             60.56             60.83       50000             60.38             64.28             65.87

Iterations: 100000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.37              0.13              0.62      100000              0.34              0.50              0.57
2                       0.37              0.13              0.62      100000              0.34              0.50              0.57
4                       0.37              0.13              0.61      100000              0.34              0.50              0.56
8                       0.37              0.12              0.62      100000              0.34              0.50              0.57
16                      0.37              0.13              0.62      100000              0.34              0.50              0.64
32                      0.49              0.15              0.83      100000              0.43              0.78              0.99
64                      0.47              0.13              0.81      100000              0.43              0.65              0.79
128                     0.79              0.29              1.29      100000              0.76              1.03              1.14
256                     0.81              0.31              1.31      100000              0.78              1.07              1.19
512                     0.92              0.32              1.52      100000              0.89              1.20              1.35
1024                    1.11              0.52              1.69      100000              1.08              1.36              1.50
2048                    1.45              0.64              2.25      100000              1.43              1.78              1.98
4096                    2.31              1.52              3.11      100000              2.31              2.71              2.92
8192                    3.61              2.52              4.70      100000              3.60              3.98              4.22
16384                   3.81              3.66              3.95      100000              3.73              4.25              4.55
32768                   6.17              5.92              6.42      100000              6.07              6.67              7.02
65536                   7.66              7.41              7.92      100000              7.62              8.21              8.68
131072                 10.35             10.09             10.61      100000             10.31             10.88             12.78
262144                 15.84             15.58             16.10      100000             15.70             16.94             19.02
524288                 28.81             28.56             29.06      100000             28.55             30.96             32.61
1048576                64.60             64.52             64.68      100000             63.79             68.80             71.41

-------------------------------------------
