
Operation: bcast
Node: thin

--------------------------------------------
Test: 1

Algorithm: 3
Procs: 2
Iterations: 10000
Warmup: 1000
--------------------------------------------

Mapping: core
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                       0.33              0.25              0.40       10000
2                       0.26              0.19              0.33       10000
4                       0.26              0.18              0.34       10000
8                       0.29              0.19              0.40       10000
16                      0.26              0.19              0.34       10000
32                      0.27              0.19              0.35       10000
64                      0.28              0.13              0.44       10000
128                     0.33              0.14              0.52       10000
256                     0.32              0.16              0.47       10000
512                     0.43              0.37              0.50       10000
1024                    0.54              0.50              0.57       10000
2048                    0.63              0.61              0.66       10000
4096                    2.04              2.00              2.08       10000
8192                    2.46              2.39              2.54       10000
16384                   3.39              3.35              3.43       10000
32768                   5.11              5.04              5.18       10000
65536                   8.61              8.57              8.65       10000
131072                 16.53             16.49             16.57       10000
262144                 48.20             48.17             48.22       10000
524288                 97.11             97.07             97.15       10000
1048576               270.42            270.34            270.49       10000

Mapping: L3cache
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                       0.45              0.27              0.64       10000
2                       0.41              0.19              0.63       10000
4                       0.43              0.20              0.67       10000
8                       0.39              0.20              0.58       10000
16                      0.41              0.20              0.62       10000
32                      0.44              0.24              0.64       10000
64                      0.47              0.29              0.65       10000
128                     0.57              0.32              0.82       10000
256                     0.54              0.33              0.74       10000
512                     0.79              0.66              0.92       10000
1024                    0.90              0.80              1.01       10000
2048                    1.15              1.02              1.28       10000
4096                    3.53              3.44              3.61       10000
8192                    4.32              4.22              4.42       10000
16384                   6.77              6.28              7.26       10000
32768                   8.99              8.89              9.09       10000
65536                  16.23             16.18             16.29       10000
131072                 30.75             30.68             30.82       10000
262144                 65.09             64.92             65.26       10000
524288                128.12            127.82            128.41       10000
1048576               255.71            255.60            255.81       10000

Mapping: numa
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                       0.43              0.19              0.66       10000
2                       0.42              0.20              0.65       10000
4                       0.46              0.26              0.65       10000
8                       0.40              0.19              0.60       10000
16                      0.41              0.19              0.63       10000
32                      0.51              0.29              0.73       10000
64                      0.46              0.25              0.66       10000
128                     0.53              0.25              0.81       10000
256                     0.56              0.33              0.79       10000
512                     0.86              0.75              0.97       10000
1024                    0.95              0.80              1.10       10000
2048                    1.05              0.94              1.15       10000
4096                    3.55              3.47              3.64       10000
8192                    4.28              4.25              4.31       10000
16384                   5.88              5.79              5.97       10000
32768                   8.63              8.48              8.78       10000
65536                  16.39             16.38             16.40       10000
131072                 35.79             35.72             35.86       10000
262144                 65.40             65.37             65.42       10000
524288                126.73            126.52            126.94       10000
1048576               229.82            229.71            229.93       10000

Mapping: socket
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                       0.33              0.17              0.50       10000
2                       0.29              0.14              0.43       10000
